series_id,date,value,description
DTWEXBGS,2020-01-02,114.9745,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-03,114.9867,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-06,114.9557,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-07,115.1477,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-08,115.1328,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-09,115.2331,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-10,115.0677,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-13,115.0342,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-14,115.0239,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-15,114.9528,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-16,115.0006,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-17,115.0656,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-21,115.1876,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-22,115.2273,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-23,115.5545,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-24,115.5556,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-27,115.8004,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-28,115.7239,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-29,115.7003,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-30,115.8077,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-01-31,115.7345,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-03,116.1172,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-04,115.9291,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-05,116.009,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-06,116.1518,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-07,116.5086,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-10,116.5711,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-11,116.3585,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-12,116.2794,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-13,116.3999,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-14,116.4223,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-18,116.6039,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-19,116.7829,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-20,117.2454,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-21,117.0473,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-24,117.4018,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-25,117.2425,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-26,117.405,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-27,117.3678,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-02-28,117.6568,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-02,116.8144,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-03,116.4958,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-04,116.7802,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-05,116.7901,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-06,116.7106,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-09,117.1871,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-10,117.9027,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-11,118.2505,Trade Weighted US Dollar Index (Daily)
DTWEXBGS,2020-03-12,120.4883,Trade Weighted US Dollar Index (Daily)
