series_id,date,value,description
GDP,2020-01-01,21751.238,Gross Domestic Product (Quarterly)
GDP,2020-04-01,19958.291,Gross Domestic Product (Quarterly)
GDP,2020-07-01,21704.437,Gross Domestic Product (Quarterly)
GDP,2020-10-01,22087.16,Gross Domestic Product (Quarterly)
GDP,2021-01-01,22680.693,Gross Domestic Product (Quarterly)
GDP,2021-04-01,23425.91,Gross Domestic Product (Quarterly)
GDP,2021-07-01,23982.379,Gross Domestic Product (Quarterly)
GDP,2021-10-01,24813.6,Gross Domestic Product (Quarterly)
GDP,2022-01-01,25250.347,Gross Domestic Product (Quarterly)
GDP,2022-04-01,25861.292,Gross Domestic Product (Quarterly)
GDP,2022-07-01,26336.304,Gross Domestic Product (Quarterly)
GDP,2022-10-01,26770.514,Gross Domestic Product (Quarterly)
GDP,2023-01-01,27216.445,Gross Domestic Product (Quarterly)
GDP,2023-04-01,27530.055,Gross Domestic Product (Quarterly)
GDP,2023-07-01,28074.846,Gross Domestic Product (Quarterly)
GDP,2023-10-01,28424.722,Gross Domestic Product (Quarterly)
GDP,2024-01-01,28708.161,Gross Domestic Product (Quarterly)
GDP,2024-04-01,29147.044,Gross Domestic Product (Quarterly)
GDP,2024-07-01,29511.664,Gross Domestic Product (Quarterly)
GDP,2024-10-01,29825.182,Gross Domestic Product (Quarterly)
GDP,2025-01-01,30042.113,Gross Domestic Product (Quarterly)
GDP,2025-04-01,30485.729,Gross Domestic Product (Quarterly)
