series_id,date,value,description
MORTGAGE30US,2020-01-02,3.72,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-01-09,3.64,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-01-16,3.65,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-01-23,3.6,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-01-30,3.51,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-02-06,3.45,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-02-13,3.47,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-02-20,3.49,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-02-27,3.45,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-03-05,3.29,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-03-12,3.36,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-03-19,3.65,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-03-26,3.5,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-04-02,3.33,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-04-09,3.33,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-04-16,3.31,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-04-23,3.33,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-04-30,3.23,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-05-07,3.26,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-05-14,3.28,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-05-21,3.24,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-05-28,3.15,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-06-04,3.18,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-06-11,3.21,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-06-18,3.13,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-06-25,3.13,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-07-02,3.07,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-07-09,3.03,30-Year Fixed Mortgage Rate (Weekly)
MORTGAGE30US,2020-07-16,2.98,30-Year Fixed Mortgage Rate (Weekly)
