series_id,date,value,description
UMCSENT,2020-01-01,99.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-02-01,101.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-03-01,89.1,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-04-01,71.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-05-01,72.3,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-06-01,78.1,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-07-01,72.5,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-08-01,74.1,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-09-01,80.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-10-01,81.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-11-01,76.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2020-12-01,80.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-01-01,79.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-02-01,76.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-03-01,84.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-04-01,88.3,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-05-01,82.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-06-01,85.5,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-07-01,81.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-08-01,70.3,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-09-01,72.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-10-01,71.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-11-01,67.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2021-12-01,70.6,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-01-01,67.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-02-01,62.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-03-01,59.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-04-01,65.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-05-01,58.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-06-01,50.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-07-01,51.5,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-08-01,58.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-09-01,58.6,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-10-01,59.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-11-01,56.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2022-12-01,59.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-01-01,64.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-02-01,66.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-03-01,62.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-04-01,63.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-05-01,59.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-06-01,64.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-07-01,71.5,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-08-01,69.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-09-01,67.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-10-01,63.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-11-01,61.3,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2023-12-01,69.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-01-01,79.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-02-01,76.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-03-01,79.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-04-01,77.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-05-01,69.1,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-06-01,68.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-07-01,66.4,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-08-01,67.9,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-09-01,70.1,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-10-01,70.5,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-11-01,71.8,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2024-12-01,74.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2025-01-01,71.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2025-02-01,64.7,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2025-03-01,57.0,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2025-04-01,52.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2025-05-01,52.2,U of Michigan Consumer Sentiment (Monthly)
UMCSENT,2025-06-01,60.7,U of Michigan Consumer Sentiment (Monthly)
