series_id,date,value,description
UNRATE,2020-01-01,3.6,Unemployment Rate (Monthly)
UNRATE,2020-02-01,3.5,Unemployment Rate (Monthly)
UNRATE,2020-03-01,4.4,Unemployment Rate (Monthly)
UNRATE,2020-04-01,14.8,Unemployment Rate (Monthly)
UNRATE,2020-05-01,13.2,Unemployment Rate (Monthly)
UNRATE,2020-06-01,11.0,Unemployment Rate (Monthly)
UNRATE,2020-07-01,10.2,Unemployment Rate (Monthly)
UNRATE,2020-08-01,8.4,Unemployment Rate (Monthly)
UNRATE,2020-09-01,7.8,Unemployment Rate (Monthly)
UNRATE,2020-10-01,6.9,Unemployment Rate (Monthly)
UNRATE,2020-11-01,6.7,Unemployment Rate (Monthly)
UNRATE,2020-12-01,6.7,Unemployment Rate (Monthly)
UNRATE,2021-01-01,6.4,Unemployment Rate (Monthly)
UNRATE,2021-02-01,6.2,Unemployment Rate (Monthly)
UNRATE,2021-03-01,6.1,Unemployment Rate (Monthly)
UNRATE,2021-04-01,6.1,Unemployment Rate (Monthly)
UNRATE,2021-05-01,5.8,Unemployment Rate (Monthly)
UNRATE,2021-06-01,5.9,Unemployment Rate (Monthly)
UNRATE,2021-07-01,5.4,Unemployment Rate (Monthly)
UNRATE,2021-08-01,5.1,Unemployment Rate (Monthly)
UNRATE,2021-09-01,4.7,Unemployment Rate (Monthly)
UNRATE,2021-10-01,4.5,Unemployment Rate (Monthly)
UNRATE,2021-11-01,4.1,Unemployment Rate (Monthly)
UNRATE,2021-12-01,3.9,Unemployment Rate (Monthly)
UNRATE,2022-01-01,4.0,Unemployment Rate (Monthly)
UNRATE,2022-02-01,3.9,Unemployment Rate (Monthly)
UNRATE,2022-03-01,3.7,Unemployment Rate (Monthly)
UNRATE,2022-04-01,3.7,Unemployment Rate (Monthly)
UNRATE,2022-05-01,3.6,Unemployment Rate (Monthly)
UNRATE,2022-06-01,3.6,Unemployment Rate (Monthly)
UNRATE,2022-07-01,3.5,Unemployment Rate (Monthly)
UNRATE,2022-08-01,3.6,Unemployment Rate (Monthly)
UNRATE,2022-09-01,3.5,Unemployment Rate (Monthly)
UNRATE,2022-10-01,3.6,Unemployment Rate (Monthly)
UNRATE,2022-11-01,3.6,Unemployment Rate (Monthly)
UNRATE,2022-12-01,3.5,Unemployment Rate (Monthly)
UNRATE,2023-01-01,3.5,Unemployment Rate (Monthly)
UNRATE,2023-02-01,3.6,Unemployment Rate (Monthly)
UNRATE,2023-03-01,3.5,Unemployment Rate (Monthly)
UNRATE,2023-04-01,3.4,Unemployment Rate (Monthly)
UNRATE,2023-05-01,3.6,Unemployment Rate (Monthly)
UNRATE,2023-06-01,3.6,Unemployment Rate (Monthly)
UNRATE,2023-07-01,3.5,Unemployment Rate (Monthly)
UNRATE,2023-08-01,3.7,Unemployment Rate (Monthly)
UNRATE,2023-09-01,3.7,Unemployment Rate (Monthly)
UNRATE,2023-10-01,3.9,Unemployment Rate (Monthly)
UNRATE,2023-11-01,3.7,Unemployment Rate (Monthly)
UNRATE,2023-12-01,3.8,Unemployment Rate (Monthly)
UNRATE,2024-01-01,3.7,Unemployment Rate (Monthly)
UNRATE,2024-02-01,3.9,Unemployment Rate (Monthly)
UNRATE,2024-03-01,3.9,Unemployment Rate (Monthly)
UNRATE,2024-04-01,3.9,Unemployment Rate (Monthly)
UNRATE,2024-05-01,3.9,Unemployment Rate (Monthly)
UNRATE,2024-06-01,4.1,Unemployment Rate (Monthly)
UNRATE,2024-07-01,4.2,Unemployment Rate (Monthly)
UNRATE,2024-08-01,4.2,Unemployment Rate (Monthly)
UNRATE,2024-09-01,4.1,Unemployment Rate (Monthly)
UNRATE,2024-10-01,4.1,Unemployment Rate (Monthly)
UNRATE,2024-11-01,4.2,Unemployment Rate (Monthly)
UNRATE,2024-12-01,4.1,Unemployment Rate (Monthly)
UNRATE,2025-01-01,4.0,Unemployment Rate (Monthly)
UNRATE,2025-02-01,4.2,Unemployment Rate (Monthly)
UNRATE,2025-03-01,4.2,Unemployment Rate (Monthly)
UNRATE,2025-04-01,4.2,Unemployment Rate (Monthly)
UNRATE,2025-05-01,4.3,Unemployment Rate (Monthly)
UNRATE,2025-06-01,4.1,Unemployment Rate (Monthly)
