series_id,date,value,description
VIXCLS,2020-01-02,12.47,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-03,14.02,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-06,13.85,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-07,13.79,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-08,13.45,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-09,12.54,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-10,12.56,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-13,12.32,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-14,12.39,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-15,12.42,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-16,12.32,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-17,12.1,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-21,12.85,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-22,12.91,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-23,12.98,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-24,14.56,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-27,18.23,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-28,16.28,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-29,16.39,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-30,15.49,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-01-31,18.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-03,17.97,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-04,16.05,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-05,15.15,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-06,14.96,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-07,15.47,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-10,15.04,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-11,15.18,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-12,13.74,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-13,14.15,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-14,13.68,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-18,14.83,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-19,14.38,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-20,15.56,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-21,17.08,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-24,25.03,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-25,27.85,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-26,27.56,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-27,39.16,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-02-28,40.11,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-02,33.42,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-03,36.82,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-04,31.99,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-05,39.62,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-06,41.94,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-09,54.46,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-10,47.3,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-11,53.9,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-12,75.47,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-13,57.83,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-16,82.69,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-17,75.91,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-18,76.45,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-19,72.0,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-20,66.04,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-23,61.59,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-24,61.67,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-25,63.95,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-26,61.0,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-27,65.54,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-30,57.08,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-03-31,53.54,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-01,57.06,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-02,50.91,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-03,46.8,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-06,45.24,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-07,46.7,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-08,43.35,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-09,41.67,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-13,41.17,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-14,37.76,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-15,40.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-16,40.11,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-17,38.15,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-20,43.83,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-21,45.41,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-22,41.98,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-23,41.38,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-24,35.93,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-27,33.29,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-28,33.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-29,31.23,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-04-30,34.15,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-01,37.19,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-04,35.97,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-05,33.61,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-06,34.12,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-07,31.44,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-08,27.98,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-11,27.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-12,33.04,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-13,35.28,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-14,32.61,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-15,31.89,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-18,29.3,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-19,30.53,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-20,27.99,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-21,29.53,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-22,28.16,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-26,28.01,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-27,27.62,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-28,28.59,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-05-29,27.51,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-01,28.23,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-02,26.84,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-03,25.66,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-04,25.81,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-05,24.52,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-08,25.81,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-09,27.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-10,27.57,CBOE Volatility Index VIX (Daily)
VIXCLS,2020-06-11,40.79,CBOE Volatility Index VIX (Daily)
