ticker,filing_type,filing_date,accession_number,url,summary
AMZN,8-K,2020-01-30,0001018724-20-000002,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000002/amzn-20191231x8k.htm,AMZN 8-K filed on 2020-01-30
AMZN,10-K,2020-01-31,0001018724-20-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm,AMZN 10-K filed on 2020-01-31
AMZN,8-K,2020-04-16,0001193125-20-108427,https://www.sec.gov/Archives/edgar/data/1018724/000119312520108427/d902615d8k.htm,AMZN 8-K filed on 2020-04-16
AMZN,8-K,2020-04-30,0001018724-20-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000008/amzn-20200331x8k.htm,AMZN 8-K filed on 2020-04-30
AMZN,10-Q,2020-05-01,0001018724-20-000010,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000010/amzn-20200331x10q.htm,AMZN 10-Q filed on 2020-05-01
AMZN,8-K,2020-05-29,0001018724-20-000015,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000015/amznx2020x05x29x8k.htm,AMZN 8-K filed on 2020-05-29
AMZN,8-K,2020-06-03,0001193125-20-159531,https://www.sec.gov/Archives/edgar/data/1018724/000119312520159531/d933420d8k.htm,AMZN 8-K filed on 2020-06-03
AMZN,8-K,2020-06-23,0001193125-20-176528,https://www.sec.gov/Archives/edgar/data/1018724/000119312520176528/d948849d8k.htm,AMZN 8-K filed on 2020-06-23
AMZN,8-K,2020-07-30,0001018724-20-000019,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000019/amzn-20200730.htm,AMZN 8-K filed on 2020-07-30
AMZN,10-Q,2020-07-31,0001018724-20-000021,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000021/amzn-20200630.htm,AMZN 10-Q filed on 2020-07-31
AMZN,8-K,2020-08-21,0001193125-20-226520,https://www.sec.gov/Archives/edgar/data/1018724/000119312520226520/d789139d8k.htm,AMZN 8-K filed on 2020-08-21
AMZN,8-K,2020-09-09,0001018724-20-000026,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000026/amzn-20200909.htm,AMZN 8-K filed on 2020-09-09
AMZN,8-K,2020-10-29,0001018724-20-000028,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000028/amzn-20201029.htm,AMZN 8-K filed on 2020-10-29
AMZN,10-Q,2020-10-30,0001018724-20-000030,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000030/amzn-20200930.htm,AMZN 10-Q filed on 2020-10-30
AMZN,8-K,2021-01-27,0001193125-21-018066,https://www.sec.gov/Archives/edgar/data/1018724/000119312521018066/d30366d8k.htm,AMZN 8-K filed on 2021-01-27
AMZN,8-K,2021-02-02,0001018724-21-000002,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000002/amzn-20210202.htm,AMZN 8-K filed on 2021-02-02
AMZN,10-K,2021-02-03,0001018724-21-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm,AMZN 10-K filed on 2021-02-03
AMZN,8-K,2021-04-15,0001104659-21-050346,https://www.sec.gov/Archives/edgar/data/1018724/000110465921050346/tm216818d3_8k.htm,AMZN 8-K filed on 2021-04-15
AMZN,8-K,2021-04-29,0001018724-21-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000008/amzn-20210429.htm,AMZN 8-K filed on 2021-04-29
AMZN,10-Q,2021-04-30,0001018724-21-000010,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000010/amzn-20210331.htm,AMZN 10-Q filed on 2021-04-30
