ticker,filing_type,filing_date,accession_number,url,summary
DIS,10-Q,2020-02-04,0001744489-20-000046,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000046/dis-20191228.htm,DIS 10-Q filed on 2020-02-04
DIS,8-K,2020-02-04,0001744489-20-000044,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000044/dis-20200204.htm,DIS 8-K filed on 2020-02-04
DIS,8-K,2020-02-25,0001744489-20-000054,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000054/dis-20200224.htm,DIS 8-K filed on 2020-02-25
DIS,8-K,2020-03-11,0001744489-20-000066,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000066/dis-20200306.htm,DIS 8-K filed on 2020-03-11
DIS,8-K,2020-03-12,0001744489-20-000070,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000070/dis-20200311.htm,DIS 8-K filed on 2020-03-12
DIS,8-K,2020-03-17,0001104659-20-034800,https://www.sec.gov/Archives/edgar/data/1744489/000110465920034800/tm2012953-1_8k.htm,DIS 8-K filed on 2020-03-17
DIS,8-K,2020-03-19,0001193125-20-078426,https://www.sec.gov/Archives/edgar/data/1744489/000119312520078426/d902851d8k.htm,DIS 8-K filed on 2020-03-19
DIS,8-K,2020-03-23,0001193125-20-081598,https://www.sec.gov/Archives/edgar/data/1744489/000119312520081598/d893090d8k.htm,DIS 8-K filed on 2020-03-23
DIS,8-K,2020-03-30,0001744489-20-000072,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000072/dis-20200330.htm,DIS 8-K filed on 2020-03-30
DIS,8-K,2020-03-30,0001193125-20-090228,https://www.sec.gov/Archives/edgar/data/1744489/000119312520090228/d893789d8k.htm,DIS 8-K filed on 2020-03-30
DIS,8-K,2020-04-13,0001193125-20-105345,https://www.sec.gov/Archives/edgar/data/1744489/000119312520105345/d916954d8k.htm,DIS 8-K filed on 2020-04-13
DIS,8-K,2020-04-15,0001744489-20-000092,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000092/dis-20200414.htm,DIS 8-K filed on 2020-04-15
DIS,10-Q,2020-05-05,0001744489-20-000102,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000102/dis-20200328.htm,DIS 10-Q filed on 2020-05-05
DIS,8-K,2020-05-05,0001744489-20-000101,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000101/dis-20200505.htm,DIS 8-K filed on 2020-05-05
DIS,8-K,2020-05-13,0001193125-20-141148,https://www.sec.gov/Archives/edgar/data/1744489/000119312520141148/d929769d8k.htm,DIS 8-K filed on 2020-05-13
DIS,10-Q,2020-08-04,0001744489-20-000151,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000151/dis-20200627.htm,DIS 10-Q filed on 2020-08-04
DIS,8-K,2020-08-04,0001744489-20-000149,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000149/dis-20200804.htm,DIS 8-K filed on 2020-08-04
DIS,8-K,2020-11-12,0001744489-20-000189,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000189/dis-20201112.htm,DIS 8-K filed on 2020-11-12
DIS,10-K,2020-11-25,0001744489-20-000197,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000197/dis-20201003.htm,DIS 10-K filed on 2020-11-25
DIS,8-K,2020-12-07,0001744489-20-000223,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000223/dis-20201203.htm,DIS 8-K filed on 2020-12-07
DIS,8-K,2021-02-01,0001744489-21-000031,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000031/dis-20210201.htm,DIS 8-K filed on 2021-02-01
DIS,10-Q,2021-02-11,0001744489-21-000047,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000047/dis-20210102.htm,DIS 10-Q filed on 2021-02-11
DIS,8-K,2021-02-11,0001744489-21-000045,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000045/dis-20210211.htm,DIS 8-K filed on 2021-02-11
DIS,8-K,2021-03-08,0001193125-21-073374,https://www.sec.gov/Archives/edgar/data/1744489/000119312521073374/d152591d8k.htm,DIS 8-K filed on 2021-03-08
DIS,8-K,2021-03-10,0001744489-21-000061,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000061/dis-20210309.htm,DIS 8-K filed on 2021-03-10
DIS,8-K,2021-04-01,0001744489-21-000074,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000074/dis-20210401.htm,DIS 8-K filed on 2021-04-01
DIS,8-K,2021-04-06,0001744489-21-000097,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000097/dis-20210330.htm,DIS 8-K filed on 2021-04-06
DIS,10-Q,2021-05-13,0001744489-21-000108,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000108/dis-20210403.htm,DIS 10-Q filed on 2021-05-13
DIS,8-K,2021-05-13,0001744489-21-000105,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000105/dis-20210513.htm,DIS 8-K filed on 2021-05-13
DIS,8-K,2021-05-27,0001744489-21-000121,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000121/dis-20210527.htm,DIS 8-K filed on 2021-05-27
