ticker,filing_type,filing_date,accession_number,url,summary
PFE,10-Q,2020-08-06,0000078003-20-000060,https://www.sec.gov/Archives/edgar/data/78003/000007800320000060/pfe-06282020x10q.htm,PFE 10-Q filed on 2020-08-06
PFE,8-K,2020-08-06,0001193125-20-212094,https://www.sec.gov/Archives/edgar/data/78003/000119312520212094/d202107d8k.htm,PFE 8-K filed on 2020-08-06
PFE,8-K,2020-10-27,0000078003-20-000065,https://www.sec.gov/Archives/edgar/data/78003/000007800320000065/pfe-20201027.htm,PFE 8-K filed on 2020-10-27
PFE,8-K,2020-10-30,0001193125-20-282739,https://www.sec.gov/Archives/edgar/data/78003/000119312520282739/d88394d8k.htm,PFE 8-K filed on 2020-10-30
PFE,10-Q,2020-11-05,0000078003-20-000070,https://www.sec.gov/Archives/edgar/data/78003/000007800320000070/pfe-20200927.htm,PFE 10-Q filed on 2020-11-05
PFE,8-K,2020-11-05,0001193125-20-286896,https://www.sec.gov/Archives/edgar/data/78003/000119312520286896/d81265d8k.htm,PFE 8-K filed on 2020-11-05
PFE,8-K,2020-11-13,0001193125-20-293176,https://www.sec.gov/Archives/edgar/data/78003/000119312520293176/d97992d8k.htm,PFE 8-K filed on 2020-11-13
PFE,8-K,2020-11-16,0001193125-20-294847,https://www.sec.gov/Archives/edgar/data/78003/000119312520294847/d82880d8k.htm,PFE 8-K filed on 2020-11-16
PFE,8-K,2020-11-18,0001193125-20-296989,https://www.sec.gov/Archives/edgar/data/78003/000119312520296989/d80787d8k.htm,PFE 8-K filed on 2020-11-18
PFE,8-K,2020-11-20,0001193125-20-298356,https://www.sec.gov/Archives/edgar/data/78003/000119312520298356/d72492d8k.htm,PFE 8-K filed on 2020-11-20
PFE,8-K,2020-12-14,0001193125-20-317074,https://www.sec.gov/Archives/edgar/data/78003/000119312520317074/d36307d8k.htm,PFE 8-K filed on 2020-12-14
PFE,8-K,2021-01-12,0001193125-21-006923,https://www.sec.gov/Archives/edgar/data/78003/000119312521006923/d102109d8k.htm,PFE 8-K filed on 2021-01-12
PFE,8-K,2021-02-02,0000078003-21-000003,https://www.sec.gov/Archives/edgar/data/78003/000007800321000003/pfe-20210202.htm,PFE 8-K filed on 2021-02-02
PFE,10-K,2021-02-25,0000078003-21-000038,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/pfe-20201231.htm,PFE 10-K filed on 2021-02-25
PFE,8-K,2021-04-26,0000078003-21-000059,https://www.sec.gov/Archives/edgar/data/78003/000007800321000059/pfe-20210422.htm,PFE 8-K filed on 2021-04-26
PFE,8-K,2021-05-04,0000078003-21-000062,https://www.sec.gov/Archives/edgar/data/78003/000007800321000062/pfe-20210504.htm,PFE 8-K filed on 2021-05-04
PFE,10-Q,2021-05-13,0000078003-21-000065,https://www.sec.gov/Archives/edgar/data/78003/000007800321000065/pfe-20210404.htm,PFE 10-Q filed on 2021-05-13
PFE,8-K,2021-07-09,0000078003-21-000087,https://www.sec.gov/Archives/edgar/data/78003/000007800321000087/pfe-20210706.htm,PFE 8-K filed on 2021-07-09
PFE,8-K,2021-07-28,0000078003-21-000090,https://www.sec.gov/Archives/edgar/data/78003/000007800321000090/pfe-20210728.htm,PFE 8-K filed on 2021-07-28
PFE,10-Q,2021-08-12,0000078003-21-000093,https://www.sec.gov/Archives/edgar/data/78003/000007800321000093/pfe-20210704.htm,PFE 10-Q filed on 2021-08-12
PFE,8-K,2021-08-18,0001193125-21-250347,https://www.sec.gov/Archives/edgar/data/78003/000119312521250347/d340659d8k.htm,PFE 8-K filed on 2021-08-18
PFE,8-K,2021-11-02,0000078003-21-000104,https://www.sec.gov/Archives/edgar/data/78003/000007800321000104/pfe-20211102.htm,PFE 8-K filed on 2021-11-02
PFE,10-Q,2021-11-12,0000078003-21-000107,https://www.sec.gov/Archives/edgar/data/78003/000007800321000107/pfe-20211003.htm,PFE 10-Q filed on 2021-11-12
PFE,8-K,2021-11-19,0000078003-21-000114,https://www.sec.gov/Archives/edgar/data/78003/000007800321000114/pfe-20211115.htm,PFE 8-K filed on 2021-11-19
PFE,8-K,2021-12-15,0000078003-21-000118,https://www.sec.gov/Archives/edgar/data/78003/000007800321000118/pfe-20211209.htm,PFE 8-K filed on 2021-12-15
PFE,8-K,2022-02-08,0000078003-22-000003,https://www.sec.gov/Archives/edgar/data/78003/000007800322000003/pfe-20220208.htm,PFE 8-K filed on 2022-02-08
PFE,10-K,2022-02-24,0000078003-22-000027,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/pfe-20211231.htm,PFE 10-K filed on 2022-02-24
PFE,8-K,2022-03-29,0001193125-22-088144,https://www.sec.gov/Archives/edgar/data/78003/000119312522088144/d284315d8k.htm,PFE 8-K filed on 2022-03-29
PFE,8-K,2022-04-12,0000078003-22-000057,https://www.sec.gov/Archives/edgar/data/78003/000007800322000057/pfe-20220411.htm,PFE 8-K filed on 2022-04-12
PFE,8-K,2022-04-20,0000078003-22-000062,https://www.sec.gov/Archives/edgar/data/78003/000007800322000062/pfe-20220420.htm,PFE 8-K filed on 2022-04-20
PFE,8-K,2022-05-02,0000078003-22-000066,https://www.sec.gov/Archives/edgar/data/78003/000007800322000066/pfe-20220428.htm,PFE 8-K filed on 2022-05-02
PFE,8-K,2022-05-03,0000078003-22-000068,https://www.sec.gov/Archives/edgar/data/78003/000007800322000068/pfe-20220503.htm,PFE 8-K filed on 2022-05-03
PFE,8-K,2022-05-10,0001193125-22-145661,https://www.sec.gov/Archives/edgar/data/78003/000119312522145661/d336582d8k.htm,PFE 8-K filed on 2022-05-10
PFE,10-Q,2022-05-11,0000078003-22-000071,https://www.sec.gov/Archives/edgar/data/78003/000007800322000071/pfe-20220403.htm,PFE 10-Q filed on 2022-05-11
PFE,8-K,2022-07-28,0000078003-22-000091,https://www.sec.gov/Archives/edgar/data/78003/000007800322000091/pfe-20220728.htm,PFE 8-K filed on 2022-07-28
PFE,10-Q,2022-08-10,0000078003-22-000094,https://www.sec.gov/Archives/edgar/data/78003/000007800322000094/pfe-20220703.htm,PFE 10-Q filed on 2022-08-10
PFE,8-K,2022-11-01,0000078003-22-000098,https://www.sec.gov/Archives/edgar/data/78003/000007800322000098/pfe-20221101.htm,PFE 8-K filed on 2022-11-01
PFE,10-Q,2022-11-09,0000078003-22-000101,https://www.sec.gov/Archives/edgar/data/78003/000007800322000101/pfe-20221002.htm,PFE 10-Q filed on 2022-11-09
PFE,8-K,2022-12-13,0000078003-22-000107,https://www.sec.gov/Archives/edgar/data/78003/000007800322000107/pfe-20221209.htm,PFE 8-K filed on 2022-12-13
PFE,8-K,2023-01-31,0000078003-23-000004,https://www.sec.gov/Archives/edgar/data/78003/000007800323000004/pfe-20230131.htm,PFE 8-K filed on 2023-01-31
PFE,8-K,2023-02-21,0000078003-23-000019,https://www.sec.gov/Archives/edgar/data/78003/000007800323000019/pfe-20230221.htm,PFE 8-K filed on 2023-02-21
PFE,10-K,2023-02-23,0000078003-23-000024,https://www.sec.gov/Archives/edgar/data/78003/000007800323000024/pfe-20221231.htm,PFE 10-K filed on 2023-02-23
PFE,8-K,2023-03-13,0001193125-23-068538,https://www.sec.gov/Archives/edgar/data/78003/000119312523068538/d408093d8k.htm,PFE 8-K filed on 2023-03-13
PFE,8-K,2023-05-01,0001628280-23-014368,https://www.sec.gov/Archives/edgar/data/78003/000162828023014368/pfe-20230427.htm,PFE 8-K filed on 2023-05-01
PFE,8-K,2023-05-02,0001628280-23-014759,https://www.sec.gov/Archives/edgar/data/78003/000162828023014759/pfe-20230502.htm,PFE 8-K filed on 2023-05-02
PFE,10-Q,2023-05-10,0001628280-23-017196,https://www.sec.gov/Archives/edgar/data/78003/000162828023017196/pfe-20230402.htm,PFE 10-Q filed on 2023-05-10
PFE,8-K,2023-05-15,0001193125-23-144089,https://www.sec.gov/Archives/edgar/data/78003/000119312523144089/d474141d8k.htm,PFE 8-K filed on 2023-05-15
PFE,8-K,2023-05-19,0001193125-23-149364,https://www.sec.gov/Archives/edgar/data/78003/000119312523149364/d414076d8k.htm,PFE 8-K filed on 2023-05-19
