ticker,filing_type,filing_date,accession_number,url,summary
TSLA,8-K,2020-01-03,0001564590-20-000161,https://www.sec.gov/Archives/edgar/data/1318605/000156459020000161/tsla-8k_20200103.htm,TSLA 8-K filed on 2020-01-03
TSLA,8-K,2020-01-29,0001564590-20-002489,https://www.sec.gov/Archives/edgar/data/1318605/000156459020002489/tsla-8k_20200129.htm,TSLA 8-K filed on 2020-01-29
TSLA,10-K,2020-02-13,0001564590-20-004475,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,TSLA 10-K filed on 2020-02-13
TSLA,8-K,2020-02-19,0001564590-20-005288,https://www.sec.gov/Archives/edgar/data/1318605/000156459020005288/tsla-8k_20200213.htm,TSLA 8-K filed on 2020-02-19
TSLA,8-K,2020-03-19,0001564590-20-011823,https://www.sec.gov/Archives/edgar/data/1318605/000156459020011823/tsla-8k_20200319.htm,TSLA 8-K filed on 2020-03-19
TSLA,8-K,2020-04-02,0001564590-20-014992,https://www.sec.gov/Archives/edgar/data/1318605/000156459020014992/tsla-8k_20200402.htm,TSLA 8-K filed on 2020-04-02
TSLA,8-K,2020-04-23,0001564590-20-018196,https://www.sec.gov/Archives/edgar/data/1318605/000156459020018196/tsla-8k_20200423.htm,TSLA 8-K filed on 2020-04-23
TSLA,8-K,2020-04-29,0001564590-20-019776,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019776/tsla-8k_20200429.htm,TSLA 8-K filed on 2020-04-29
TSLA,10-Q,2020-04-30,0001564590-20-019931,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019931/tsla-10q_20200331.htm,TSLA 10-Q filed on 2020-04-30
TSLA,8-K,2020-05-06,0001564590-20-022062,https://www.sec.gov/Archives/edgar/data/1318605/000156459020022062/tsla-8k_20200430.htm,TSLA 8-K filed on 2020-05-06
TSLA,8-K,2020-05-08,0001564590-20-023655,https://www.sec.gov/Archives/edgar/data/1318605/000156459020023655/tsla-8k_20200507.htm,TSLA 8-K filed on 2020-05-08
TSLA,8-K,2020-06-16,0001564590-20-029536,https://www.sec.gov/Archives/edgar/data/1318605/000156459020029536/tsla-8k_20200610.htm,TSLA 8-K filed on 2020-06-16
