ticker,filing_type,filing_date,accession_number,url,summary
UNH,8-K,2020-04-15,0000731766-20-000020,https://www.sec.gov/Archives/edgar/data/731766/000073176620000020/a2020q1er8-k.htm,UNH 8-K filed on 2020-04-15
UNH,8-K,2020-04-17,0000731766-20-000022,https://www.sec.gov/Archives/edgar/data/731766/000073176620000022/a2020witty8-k.htm,UNH 8-K filed on 2020-04-17
UNH,10-Q,2020-05-06,0000731766-20-000026,https://www.sec.gov/Archives/edgar/data/731766/000073176620000026/unh202033110-q.htm,UNH 10-Q filed on 2020-05-06
UNH,8-K,2020-05-18,0001193125-20-145044,https://www.sec.gov/Archives/edgar/data/731766/000119312520145044/d812945d8k.htm,UNH 8-K filed on 2020-05-18
UNH,8-K,2020-06-05,0000731766-20-000034,https://www.sec.gov/Archives/edgar/data/731766/000073176620000034/unh-20200601.htm,UNH 8-K filed on 2020-06-05
UNH,8-K,2020-07-15,0000731766-20-000038,https://www.sec.gov/Archives/edgar/data/731766/000073176620000038/unh-20200715.htm,UNH 8-K filed on 2020-07-15
UNH,10-Q,2020-08-03,0000731766-20-000042,https://www.sec.gov/Archives/edgar/data/731766/000073176620000042/unh-20200630.htm,UNH 10-Q filed on 2020-08-03
UNH,8-K,2020-10-14,0000731766-20-000045,https://www.sec.gov/Archives/edgar/data/731766/000073176620000045/unh-20201014.htm,UNH 8-K filed on 2020-10-14
UNH,10-Q,2020-11-02,0000731766-20-000049,https://www.sec.gov/Archives/edgar/data/731766/000073176620000049/unh-20200930.htm,UNH 10-Q filed on 2020-11-02
UNH,8-K,2020-11-20,0000731766-20-000053,https://www.sec.gov/Archives/edgar/data/731766/000073176620000053/unh-20201120.htm,UNH 8-K filed on 2020-11-20
UNH,8-K,2020-11-25,0000731766-20-000056,https://www.sec.gov/Archives/edgar/data/731766/000073176620000056/unh-20201125.htm,UNH 8-K filed on 2020-11-25
UNH,8-K,2020-12-01,0000731766-20-000058,https://www.sec.gov/Archives/edgar/data/731766/000073176620000058/unh-20201201.htm,UNH 8-K filed on 2020-12-01
UNH,8-K,2020-12-02,0000731766-20-000060,https://www.sec.gov/Archives/edgar/data/731766/000073176620000060/unh-20201201.htm,UNH 8-K filed on 2020-12-02
UNH,8-K,2021-01-06,0001193125-21-002419,https://www.sec.gov/Archives/edgar/data/731766/000119312521002419/d60247d8k.htm,UNH 8-K filed on 2021-01-06
UNH,8-K,2021-01-20,0000731766-21-000002,https://www.sec.gov/Archives/edgar/data/731766/000073176621000002/unh-20210120.htm,UNH 8-K filed on 2021-01-20
UNH,8-K,2021-02-08,0000731766-21-000004,https://www.sec.gov/Archives/edgar/data/731766/000073176621000004/unh-20210202.htm,UNH 8-K filed on 2021-02-08
