ticker,filing_type,filing_date,accession_number,url,summary
WMT,8-K,2022-09-09,0001193125-22-241984,https://www.sec.gov/Archives/edgar/data/104169/000119312522241984/d359217d8k.htm,WMT 8-K filed on 2022-09-09
WMT,8-K,2022-11-15,0000104169-22-000077,https://www.sec.gov/Archives/edgar/data/104169/000010416922000077/wmt-20221115.htm,WMT 8-K filed on 2022-11-15
WMT,8-K,2022-11-16,0000104169-22-000080,https://www.sec.gov/Archives/edgar/data/104169/000010416922000080/wmt-20221110.htm,WMT 8-K filed on 2022-11-16
WMT,10-Q,2022-12-01,0000104169-22-000083,https://www.sec.gov/Archives/edgar/data/104169/000010416922000083/wmt-20221031.htm,WMT 10-Q filed on 2022-12-01
WMT,8-K,2022-12-20,0000104169-22-000085,https://www.sec.gov/Archives/edgar/data/104169/000010416922000085/wmt-20221220.htm,WMT 8-K filed on 2022-12-20
WMT,8-K,2022-12-23,0000104169-22-000088,https://www.sec.gov/Archives/edgar/data/104169/000010416922000088/wmt-20221223.htm,WMT 8-K filed on 2022-12-23
WMT,8-K,2023-02-21,0000104169-23-000010,https://www.sec.gov/Archives/edgar/data/104169/000010416923000010/wmt-20230221.htm,WMT 8-K filed on 2023-02-21
WMT,8-K,2023-02-24,0000104169-23-000013,https://www.sec.gov/Archives/edgar/data/104169/000010416923000013/wmt-20230224.htm,WMT 8-K filed on 2023-02-24
WMT,8-K,2023-03-06,0000104169-23-000015,https://www.sec.gov/Archives/edgar/data/104169/000010416923000015/wmt-20230306.htm,WMT 8-K filed on 2023-03-06
WMT,10-K,2023-03-17,0000104169-23-000020,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,WMT 10-K filed on 2023-03-17
WMT,8-K,2023-03-24,0000104169-23-000022,https://www.sec.gov/Archives/edgar/data/104169/000010416923000022/wmt-20230324.htm,WMT 8-K filed on 2023-03-24
WMT,8-K,2023-04-04,0000104169-23-000026,https://www.sec.gov/Archives/edgar/data/104169/000010416923000026/wmt-20230404.htm,WMT 8-K filed on 2023-04-04
WMT,8-K,2023-04-17,0001193125-23-103832,https://www.sec.gov/Archives/edgar/data/104169/000119312523103832/d484375d8k.htm,WMT 8-K filed on 2023-04-17
WMT,8-K,2023-05-18,0000104169-23-000043,https://www.sec.gov/Archives/edgar/data/104169/000010416923000043/wmt-20230518.htm,WMT 8-K filed on 2023-05-18
WMT,10-Q,2023-06-02,0000104169-23-000052,https://www.sec.gov/Archives/edgar/data/104169/000010416923000052/wmt-20230430.htm,WMT 10-Q filed on 2023-06-02
WMT,8-K,2023-06-02,0000104169-23-000054,https://www.sec.gov/Archives/edgar/data/104169/000010416923000054/wmt-20230531.htm,WMT 8-K filed on 2023-06-02
WMT,8-K,2023-08-16,0000104169-23-000082,https://www.sec.gov/Archives/edgar/data/104169/000010416923000082/wmt-20230814.htm,WMT 8-K filed on 2023-08-16
WMT,8-K,2023-08-17,0000104169-23-000088,https://www.sec.gov/Archives/edgar/data/104169/000010416923000088/wmt-20230817.htm,WMT 8-K filed on 2023-08-17
WMT,8-K,2023-08-22,0000104169-23-000091,https://www.sec.gov/Archives/edgar/data/104169/000010416923000091/wmt-20230822.htm,WMT 8-K filed on 2023-08-22
WMT,10-Q,2023-09-01,0000104169-23-000097,https://www.sec.gov/Archives/edgar/data/104169/000010416923000097/wmt-20230731.htm,WMT 10-Q filed on 2023-09-01
WMT,8-K,2023-11-16,0000104169-23-000124,https://www.sec.gov/Archives/edgar/data/104169/000010416923000124/wmt-20231116.htm,WMT 8-K filed on 2023-11-16
WMT,10-Q,2023-11-30,0000104169-23-000132,https://www.sec.gov/Archives/edgar/data/104169/000010416923000132/wmt-20231031.htm,WMT 10-Q filed on 2023-11-30
WMT,8-K,2024-01-31,0000104169-24-000004,https://www.sec.gov/Archives/edgar/data/104169/000010416924000004/wmt-20240130.htm,WMT 8-K filed on 2024-01-31
WMT,8-K,2024-02-20,0000104169-24-000019,https://www.sec.gov/Archives/edgar/data/104169/000010416924000019/wmt-20240220.htm,WMT 8-K filed on 2024-02-20
WMT,8-K,2024-02-23,0000104169-24-000033,https://www.sec.gov/Archives/edgar/data/104169/000010416924000033/wmt-20240223.htm,WMT 8-K filed on 2024-02-23
WMT,8-K,2024-02-28,0000104169-24-000039,https://www.sec.gov/Archives/edgar/data/104169/000010416924000039/wmt-20240228.htm,WMT 8-K filed on 2024-02-28
WMT,10-K,2024-03-15,0000104169-24-000056,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,WMT 10-K filed on 2024-03-15
WMT,8-K,2024-03-28,0000104169-24-000064,https://www.sec.gov/Archives/edgar/data/104169/000010416924000064/wmt-20240328.htm,WMT 8-K filed on 2024-03-28
WMT,8-K,2024-05-16,0000104169-24-000088,https://www.sec.gov/Archives/edgar/data/104169/000010416924000088/wmt-20240516.htm,WMT 8-K filed on 2024-05-16
WMT,10-Q,2024-06-07,0000104169-24-000105,https://www.sec.gov/Archives/edgar/data/104169/000010416924000105/wmt-20240430.htm,WMT 10-Q filed on 2024-06-07
WMT,8-K,2024-06-07,0000104169-24-000103,https://www.sec.gov/Archives/edgar/data/104169/000010416924000103/wmt-20240605.htm,WMT 8-K filed on 2024-06-07
WMT,8-K,2024-08-15,0000104169-24-000132,https://www.sec.gov/Archives/edgar/data/104169/000010416924000132/wmt-20240815.htm,WMT 8-K filed on 2024-08-15
WMT,8-K,2024-08-15,0000104169-24-000131,https://www.sec.gov/Archives/edgar/data/104169/000010416924000131/wmt-20240815.htm,WMT 8-K filed on 2024-08-15
WMT,10-Q,2024-08-30,0000104169-24-000141,https://www.sec.gov/Archives/edgar/data/104169/000010416924000141/wmt-20240731.htm,WMT 10-Q filed on 2024-08-30
WMT,8-K,2024-09-06,0000104169-24-000146,https://www.sec.gov/Archives/edgar/data/104169/000010416924000146/wmt-20240906.htm,WMT 8-K filed on 2024-09-06
WMT,8-K,2024-10-18,0000104169-24-000166,https://www.sec.gov/Archives/edgar/data/104169/000010416924000166/wmt-20241018.htm,WMT 8-K filed on 2024-10-18
WMT,8-K,2024-11-19,0000104169-24-000170,https://www.sec.gov/Archives/edgar/data/104169/000010416924000170/wmt-20241119.htm,WMT 8-K filed on 2024-11-19
WMT,8-K,2024-11-22,0000104169-24-000173,https://www.sec.gov/Archives/edgar/data/104169/000010416924000173/wmt-20241122.htm,WMT 8-K filed on 2024-11-22
WMT,10-Q,2024-12-06,0000104169-24-000178,https://www.sec.gov/Archives/edgar/data/104169/000010416924000178/wmt-20241031.htm,WMT 10-Q filed on 2024-12-06
WMT,8-K,2025-02-20,0000104169-25-000010,https://www.sec.gov/Archives/edgar/data/104169/000010416925000010/wmt-20250220.htm,WMT 8-K filed on 2025-02-20
WMT,10-K,2025-03-14,0000104169-25-000021,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,WMT 10-K filed on 2025-03-14
WMT,8-K,2025-03-17,0000104169-25-000027,https://www.sec.gov/Archives/edgar/data/104169/000010416925000027/wmt-20250317.htm,WMT 8-K filed on 2025-03-17
WMT,8-K,2025-03-17,0000104169-25-000025,https://www.sec.gov/Archives/edgar/data/104169/000010416925000025/wmt-20250317.htm,WMT 8-K filed on 2025-03-17
WMT,8-K,2025-04-09,0000104169-25-000036,https://www.sec.gov/Archives/edgar/data/104169/000010416925000036/wmt-20250409.htm,WMT 8-K filed on 2025-04-09
WMT,8-K,2025-04-28,0001193125-25-098253,https://www.sec.gov/Archives/edgar/data/104169/000119312525098253/d926281d8k.htm,WMT 8-K filed on 2025-04-28
WMT,8-K,2025-05-15,0000104169-25-000069,https://www.sec.gov/Archives/edgar/data/104169/000010416925000069/wmt-20250515.htm,WMT 8-K filed on 2025-05-15
WMT,10-Q,2025-06-06,0000104169-25-000090,https://www.sec.gov/Archives/edgar/data/104169/000010416925000090/wmt-20250430.htm,WMT 10-Q filed on 2025-06-06
WMT,8-K,2025-06-06,0000104169-25-000092,https://www.sec.gov/Archives/edgar/data/104169/000010416925000092/wmt-20250605.htm,WMT 8-K filed on 2025-06-06
