ticker,filing_type,filing_date,accession_number,url,summary
AAPL,8-K,2020-01-28,0000320193-20-000008,https://www.sec.gov/Archives/edgar/data/320193/000032019320000008/a8-kq1202012282019.htm,AAPL 8-K filed on 2020-01-28
AAPL,10-Q,2020-01-29,0000320193-20-000010,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm,AAPL 10-Q filed on 2020-01-29
AAPL,8-K,2020-02-18,0001193125-20-039203,https://www.sec.gov/Archives/edgar/data/320193/000119312520039203/d845033d8k.htm,AAPL 8-K filed on 2020-02-18
AAPL,8-K,2020-02-27,0001193125-20-050884,https://www.sec.gov/Archives/edgar/data/320193/000119312520050884/d865740d8k.htm,AAPL 8-K filed on 2020-02-27
AAPL,8-K,2020-04-30,0000320193-20-000050,https://www.sec.gov/Archives/edgar/data/320193/000032019320000050/a8-kq220203282020.htm,AAPL 8-K filed on 2020-04-30
AAPL,10-Q,2020-05-01,0000320193-20-000052,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm,AAPL 10-Q filed on 2020-05-01
AAPL,8-K,2020-05-11,0001193125-20-139112,https://www.sec.gov/Archives/edgar/data/320193/000119312520139112/d926511d8k.htm,AAPL 8-K filed on 2020-05-11
AAPL,8-K,2020-07-30,0000320193-20-000060,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/aapl-20200730.htm,AAPL 8-K filed on 2020-07-30
AAPL,10-Q,2020-07-31,0000320193-20-000062,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,AAPL 10-Q filed on 2020-07-31
AAPL,8-K,2020-08-07,0001193125-20-213158,https://www.sec.gov/Archives/edgar/data/320193/000119312520213158/d49399d8k.htm,AAPL 8-K filed on 2020-08-07
AAPL,8-K,2020-08-20,0001193125-20-225672,https://www.sec.gov/Archives/edgar/data/320193/000119312520225672/d937363d8k.htm,AAPL 8-K filed on 2020-08-20
AAPL,8-K,2020-10-29,0000320193-20-000094,https://www.sec.gov/Archives/edgar/data/320193/000032019320000094/aapl-20201029.htm,AAPL 8-K filed on 2020-10-29
AAPL,10-K,2020-10-30,0000320193-20-000096,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,AAPL 10-K filed on 2020-10-30
AAPL,8-K,2021-01-05,0001193125-21-001982,https://www.sec.gov/Archives/edgar/data/320193/000119312521001982/d29637d8k.htm,AAPL 8-K filed on 2021-01-05
AAPL,8-K,2021-01-27,0000320193-21-000009,https://www.sec.gov/Archives/edgar/data/320193/000032019321000009/aapl-20210127.htm,AAPL 8-K filed on 2021-01-27
AAPL,10-Q,2021-01-28,0000320193-21-000010,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/aapl-20201226.htm,AAPL 10-Q filed on 2021-01-28
AAPL,8-K,2021-02-08,0001193125-21-032394,https://www.sec.gov/Archives/edgar/data/320193/000119312521032394/d70217d8k.htm,AAPL 8-K filed on 2021-02-08
AAPL,8-K,2021-02-24,0001193125-21-054710,https://www.sec.gov/Archives/edgar/data/320193/000119312521054710/d101693d8k.htm,AAPL 8-K filed on 2021-02-24
AAPL,8-K,2021-04-28,0000320193-21-000055,https://www.sec.gov/Archives/edgar/data/320193/000032019321000055/aapl-20210428.htm,AAPL 8-K filed on 2021-04-28
AAPL,10-Q,2021-04-29,0000320193-21-000056,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/aapl-20210327.htm,AAPL 10-Q filed on 2021-04-29
AAPL,8-K,2021-07-27,0000320193-21-000063,https://www.sec.gov/Archives/edgar/data/320193/000032019321000063/aapl-20210727.htm,AAPL 8-K filed on 2021-07-27
AAPL,10-Q,2021-07-28,0000320193-21-000065,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm,AAPL 10-Q filed on 2021-07-28
AAPL,8-K,2021-08-05,0001193125-21-237787,https://www.sec.gov/Archives/edgar/data/320193/000119312521237787/d199884d8k.htm,AAPL 8-K filed on 2021-08-05
AAPL,8-K,2021-10-28,0000320193-21-000104,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/aapl-20211028.htm,AAPL 8-K filed on 2021-10-28
AAPL,10-K,2021-10-29,0000320193-21-000105,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,AAPL 10-K filed on 2021-10-29
AAPL,8-K,2021-11-12,0001193125-21-328151,https://www.sec.gov/Archives/edgar/data/320193/000119312521328151/d259993d8k.htm,AAPL 8-K filed on 2021-11-12
AAPL,8-K,2022-01-27,0000320193-22-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/aapl-20220127.htm,AAPL 8-K filed on 2022-01-27
AAPL,10-Q,2022-01-28,0000320193-22-000007,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,AAPL 10-Q filed on 2022-01-28
AAPL,8-K,2022-03-04,0001193125-22-066169,https://www.sec.gov/Archives/edgar/data/320193/000119312522066169/d294699d8k.htm,AAPL 8-K filed on 2022-03-04
AAPL,8-K,2022-04-28,0000320193-22-000058,https://www.sec.gov/Archives/edgar/data/320193/000032019322000058/aapl-20220428.htm,AAPL 8-K filed on 2022-04-28
AAPL,10-Q,2022-04-29,0000320193-22-000059,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,AAPL 10-Q filed on 2022-04-29
AAPL,8-K,2022-07-28,0000320193-22-000069,https://www.sec.gov/Archives/edgar/data/320193/000032019322000069/aapl-20220728.htm,AAPL 8-K filed on 2022-07-28
AAPL,10-Q,2022-07-29,0000320193-22-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,AAPL 10-Q filed on 2022-07-29
AAPL,8-K,2022-08-08,0001193125-22-214914,https://www.sec.gov/Archives/edgar/data/320193/000119312522214914/d297151d8k.htm,AAPL 8-K filed on 2022-08-08
AAPL,8-K,2022-08-19,0001193125-22-225365,https://www.sec.gov/Archives/edgar/data/320193/000119312522225365/d366128d8k.htm,AAPL 8-K filed on 2022-08-19
AAPL,8-K,2022-10-27,0000320193-22-000107,https://www.sec.gov/Archives/edgar/data/320193/000032019322000107/aapl-20221027.htm,AAPL 8-K filed on 2022-10-27
AAPL,10-K,2022-10-28,0000320193-22-000108,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,AAPL 10-K filed on 2022-10-28
AAPL,8-K,2022-11-07,0001193125-22-278435,https://www.sec.gov/Archives/edgar/data/320193/000119312522278435/d400465d8k.htm,AAPL 8-K filed on 2022-11-07
AAPL,8-K,2023-02-02,0000320193-23-000005,https://www.sec.gov/Archives/edgar/data/320193/000032019323000005/aapl-20230202.htm,AAPL 8-K filed on 2023-02-02
AAPL,10-Q,2023-02-03,0000320193-23-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,AAPL 10-Q filed on 2023-02-03
AAPL,8-K,2023-03-10,0001140361-23-011192,https://www.sec.gov/Archives/edgar/data/320193/000114036123011192/brhc10049413_8k.htm,AAPL 8-K filed on 2023-03-10
AAPL,8-K,2023-05-04,0000320193-23-000063,https://www.sec.gov/Archives/edgar/data/320193/000032019323000063/aapl-20230504.htm,AAPL 8-K filed on 2023-05-04
AAPL,10-Q,2023-05-05,0000320193-23-000064,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,AAPL 10-Q filed on 2023-05-05
AAPL,8-K,2023-05-10,0001140361-23-023909,https://www.sec.gov/Archives/edgar/data/320193/000114036123023909/ny20007635x4_8k.htm,AAPL 8-K filed on 2023-05-10
AAPL,8-K,2023-08-03,0000320193-23-000075,https://www.sec.gov/Archives/edgar/data/320193/000032019323000075/aapl-20230803.htm,AAPL 8-K filed on 2023-08-03
AAPL,10-Q,2023-08-04,0000320193-23-000077,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,AAPL 10-Q filed on 2023-08-04
AAPL,8-K,2023-11-02,0000320193-23-000104,https://www.sec.gov/Archives/edgar/data/320193/000032019323000104/aapl-20231102.htm,AAPL 8-K filed on 2023-11-02
