ticker,date,open,high,low,close,volume
ABBV,2020-01-02,68.9,69.28,68.46,69.27,5639200
ABBV,2020-01-03,68.2,69.14,67.99,68.61,5988500
ABBV,2020-01-06,68.24,69.32,68.05,69.15,6786600
ABBV,2020-01-07,68.79,69.26,68.27,68.76,7242500
ABBV,2020-01-08,68.96,69.66,68.74,69.24,7696800
ABBV,2020-01-09,69.62,69.79,68.88,69.78,7518000
ABBV,2020-01-10,69.79,69.84,68.71,68.89,8581400
ABBV,2020-01-13,69.23,69.23,68.01,68.47,9292200
ABBV,2020-01-14,68.28,69.33,68.02,69.14,8876900
ABBV,2020-01-15,69.13,70.46,69.13,69.97,8490100
ABBV,2020-01-16,70.01,70.4,69.71,69.97,7073200
ABBV,2020-01-17,69.87,69.98,68.82,68.99,10122300
ABBV,2020-01-21,68.74,69.4,68.65,68.98,13552000
ABBV,2020-01-22,69.01,69.12,68.32,68.37,6438900
ABBV,2020-01-23,68.24,68.26,66.63,66.85,12266800
ABBV,2020-01-24,66.97,67.01,64.88,65.49,13215400
ABBV,2020-01-27,66.67,67.36,65.85,65.87,13832000
ABBV,2020-01-28,66.63,66.63,65.57,65.67,8614400
ABBV,2020-01-29,65.69,65.85,65.17,65.22,5703200
ABBV,2020-01-30,64.74,64.9,63.64,64.11,10870000
ABBV,2020-01-31,63.92,64.06,63.04,63.51,13870100
ABBV,2020-02-03,63.74,64.75,63.44,64.52,10143700
ABBV,2020-02-04,65.53,66.41,65.53,66.13,8251500
ABBV,2020-02-05,66.68,68.31,66.54,67.91,10020600
ABBV,2020-02-06,68.9,68.96,67.59,68.34,7769700
ABBV,2020-02-07,70.35,72.89,69.68,72.35,19090300
ABBV,2020-02-10,72.4,74.87,72.21,74.28,13998300
ABBV,2020-02-11,74.68,76.11,74.48,75.26,10682800
ABBV,2020-02-12,75.24,76.72,75.03,76.66,10591000
ABBV,2020-02-13,75.92,76.32,74.65,74.75,10613000
ABBV,2020-02-14,74.65,74.71,73.51,73.73,11175800
ABBV,2020-02-18,73.43,74.08,73.11,73.38,9406300
