ticker,date,open,high,low,close,volume
AXP,2020-01-02,115.28,116.77,114.88,116.38,2708000
AXP,2020-01-03,114.97,115.69,114.61,115.22,2090600
AXP,2020-01-06,114.09,114.82,113.86,114.72,2855200
AXP,2020-01-07,114.18,115.04,114.08,114.12,2042300
AXP,2020-01-08,114.72,116.85,114.48,116.09,3458200
AXP,2020-01-09,116.97,118.26,116.88,118.19,2787100
AXP,2020-01-10,117.98,118.53,117.37,117.7,2789200
AXP,2020-01-13,118.22,119.25,118.03,118.87,3285700
AXP,2020-01-14,118.94,120.3,118.68,119.11,3836000
AXP,2020-01-15,119.01,120.07,118.78,120.05,3187200
AXP,2020-01-16,120.68,121.08,119.95,120.73,2424500
AXP,2020-01-17,121.56,121.94,120.95,121.62,3659400
AXP,2020-01-21,121.24,121.9,120.58,120.71,3102700
AXP,2020-01-22,121.08,122.32,121.08,121.6,2483800
AXP,2020-01-23,121.38,121.67,120.35,121.48,3841000
AXP,2020-01-24,126.1,127.74,123.78,124.94,8612500
AXP,2020-01-27,121.28,122.05,119.17,120.81,6432400
AXP,2020-01-28,122.07,123.8,121.27,122.48,3712700
AXP,2020-01-29,122.51,123.11,121.55,121.77,2518400
AXP,2020-01-30,120.91,123.3,120.62,123.2,2428500
AXP,2020-01-31,122.22,122.3,119.64,120.1,3522600
AXP,2020-02-03,120.73,122.27,120.63,121.14,2721900
AXP,2020-02-04,122.88,123.31,121.81,121.93,2547500
AXP,2020-02-05,123.39,123.73,121.41,123.55,4084500
AXP,2020-02-06,124.06,124.24,123.09,123.22,1708600
AXP,2020-02-07,122.59,122.76,121.46,121.9,2885600
AXP,2020-02-10,121.71,122.53,121.47,122.29,1816500
AXP,2020-02-11,123.02,123.59,122.36,122.65,1733300
AXP,2020-02-12,123.35,123.66,122.56,123.21,1715400
AXP,2020-02-13,123.13,124.54,123.05,124.34,3178300
AXP,2020-02-14,124.57,126.11,124.41,125.65,2360300
AXP,2020-02-18,125.65,126.46,124.79,125.4,2428200
AXP,2020-02-19,126.04,127.08,125.88,126.63,1785000
AXP,2020-02-20,126.15,127.65,124.75,126.3,2541700
AXP,2020-02-21,125.95,126.02,123.82,124.75,3106100
AXP,2020-02-24,119.69,121.11,117.66,118.54,6329300
AXP,2020-02-25,118.1,118.36,110.89,111.8,7628100
AXP,2020-02-26,112.14,113.22,109.56,109.58,5268000
AXP,2020-02-27,107.18,108.64,104.29,104.32,8279800
AXP,2020-02-28,100.84,102.68,98.95,101.66,11362100
AXP,2020-03-02,102.75,105.41,100.42,105.3,9851600
AXP,2020-03-03,106.36,107.64,98.95,99.88,9285000
AXP,2020-03-04,101.95,107.08,101.03,106.99,7470900
AXP,2020-03-05,103.22,104.12,101.45,102.59,12060600
AXP,2020-03-06,97.77,100.59,95.98,100.1,9897700
AXP,2020-03-09,93.28,93.81,89.65,90.89,12266300
AXP,2020-03-10,94.26,95.59,90.12,95.53,9793200
AXP,2020-03-11,92.75,93.36,86.81,88.2,8822900
AXP,2020-03-12,81.06,82.87,75.65,77.24,12206600
AXP,2020-03-13,83.58,92.55,77.96,92.11,12680400
AXP,2020-03-16,76.24,86.17,74.32,79.41,15072400
AXP,2020-03-17,81.02,82.25,76.96,80.07,10512200
AXP,2020-03-18,74.0,75.39,61.96,68.2,14359300
AXP,2020-03-19,67.08,72.03,64.54,71.27,12330400
AXP,2020-03-20,73.04,76.24,67.1,68.54,12208600
AXP,2020-03-23,67.34,69.74,62.99,63.77,8907600
AXP,2020-03-24,67.98,78.39,66.3,77.73,10593900
AXP,2020-03-25,81.02,89.2,78.9,83.38,11046500
AXP,2020-03-26,85.3,92.19,84.0,86.27,9459400
AXP,2020-03-27,81.32,85.05,79.36,82.05,6999800
AXP,2020-03-30,81.85,84.51,78.85,83.48,5565000
AXP,2020-03-31,83.17,84.06,78.67,79.17,6075900
AXP,2020-04-01,74.58,75.19,71.21,71.98,8313400
AXP,2020-04-02,71.66,73.57,70.51,71.29,8338100
AXP,2020-04-03,70.67,71.29,67.52,68.44,10023100
AXP,2020-04-06,74.6,78.34,73.22,77.99,11253000
AXP,2020-04-07,85.02,86.76,81.29,81.44,8693200
AXP,2020-04-08,82.96,86.48,81.94,85.62,6122800
