ticker,date,open,high,low,close,volume
BMY,2020-01-02,50.75,50.86,50.18,50.34,13163700
BMY,2020-01-03,49.76,50.33,49.71,49.89,12984600
BMY,2020-01-06,49.99,50.26,49.81,50.05,11311400
BMY,2020-01-07,49.94,51.01,49.89,50.81,15551700
BMY,2020-01-08,50.9,51.35,50.75,50.75,18527000
BMY,2020-01-09,50.98,52.28,50.96,52.02,16169300
BMY,2020-01-10,52.02,52.43,51.69,51.84,11698000
BMY,2020-01-13,52.0,53.24,51.95,52.57,19243300
BMY,2020-01-14,52.3,52.88,52.11,52.8,30560500
BMY,2020-01-15,52.8,53.32,52.8,52.91,10937400
BMY,2020-01-16,52.95,53.22,52.86,53.07,8435800
BMY,2020-01-17,53.05,53.42,53.01,53.03,14375000
BMY,2020-01-21,53.01,53.74,52.88,53.59,12519400
BMY,2020-01-22,53.97,54.31,53.42,53.59,15186700
BMY,2020-01-23,53.35,53.45,52.48,53.15,13183300
BMY,2020-01-24,52.76,53.04,50.55,50.99,22453000
BMY,2020-01-27,50.28,51.37,50.14,50.63,20951100
BMY,2020-01-28,50.97,51.95,50.78,51.51,12761900
BMY,2020-01-29,51.68,51.73,50.97,50.98,10763200
BMY,2020-01-30,50.71,51.11,50.38,50.71,10783700
BMY,2020-01-31,50.57,50.62,49.68,50.03,12898000
BMY,2020-02-03,50.15,51.06,50.11,50.53,15986500
BMY,2020-02-04,50.92,51.61,50.9,51.09,11740200
BMY,2020-02-05,51.6,52.33,51.54,52.13,14991600
BMY,2020-02-06,53.25,53.88,52.76,53.33,16488500
BMY,2020-02-07,52.99,53.26,52.33,52.65,13093400
BMY,2020-02-10,52.36,53.34,52.3,53.18,13218500
BMY,2020-02-11,53.53,53.69,53.22,53.24,7261400
BMY,2020-02-12,53.32,53.65,52.91,53.25,11213700
BMY,2020-02-13,53.03,53.21,52.49,52.52,9149500
BMY,2020-02-14,52.65,53.11,52.44,52.76,7530700
BMY,2020-02-18,52.86,53.22,52.01,52.51,13831900
BMY,2020-02-19,52.45,52.49,51.95,52.22,9905400
BMY,2020-02-20,52.16,52.44,51.57,51.79,11360500
BMY,2020-02-21,51.56,52.35,51.5,52.16,10134800
BMY,2020-02-24,50.93,51.71,50.62,50.84,12105000
BMY,2020-02-25,50.78,50.79,48.96,49.39,15706000
BMY,2020-02-26,49.08,50.38,48.96,49.31,11264600
BMY,2020-02-27,48.48,48.94,47.34,47.35,20624800
BMY,2020-02-28,45.91,47.06,44.8,46.94,28292500
BMY,2020-03-02,47.34,48.31,46.64,47.96,19500300
BMY,2020-03-03,48.37,49.16,46.37,47.05,18250100
BMY,2020-03-04,47.84,49.02,47.44,48.86,18228300
BMY,2020-03-05,48.24,48.67,47.56,48.08,15119400
BMY,2020-03-06,46.8,48.02,46.7,47.93,14833900
BMY,2020-03-09,44.51,47.0,44.51,45.83,22385900
BMY,2020-03-10,46.75,46.85,44.43,46.04,24831000
BMY,2020-03-11,45.13,46.06,44.36,44.91,19768800
BMY,2020-03-12,41.59,43.63,40.23,41.92,22963000
BMY,2020-03-13,43.62,44.11,41.15,43.7,23503600
BMY,2020-03-16,39.84,42.73,38.16,40.62,20582800
BMY,2020-03-17,41.19,43.0,40.69,42.99,17519600
BMY,2020-03-18,41.03,41.64,38.16,39.93,27384200
BMY,2020-03-19,39.83,40.31,38.25,38.78,20058300
BMY,2020-03-20,38.98,40.25,37.55,38.47,20370800
BMY,2020-03-23,37.5,38.47,36.37,36.88,21237000
BMY,2020-03-24,38.29,39.34,37.66,39.13,16484800
BMY,2020-03-25,38.97,41.29,38.28,39.22,20921300
BMY,2020-03-26,40.1,42.38,39.98,41.53,21600200
BMY,2020-03-27,40.62,42.74,40.43,41.96,14498400
BMY,2020-03-30,42.28,43.78,42.28,43.23,18013500
BMY,2020-03-31,43.16,44.7,43.11,44.3,28455600
BMY,2020-04-01,42.61,44.27,42.54,43.57,13441300
BMY,2020-04-02,43.95,44.33,42.94,44.24,12929400
BMY,2020-04-03,44.07,45.25,43.99,44.5,14654200
BMY,2020-04-06,45.73,46.53,45.34,46.37,22589700
BMY,2020-04-07,46.9,46.95,45.42,45.6,19224400
BMY,2020-04-08,45.72,47.38,45.16,46.68,15268700
BMY,2020-04-09,47.12,47.74,46.77,47.21,13256000
BMY,2020-04-13,46.88,47.6,46.53,47.21,13921600
BMY,2020-04-14,47.94,48.67,47.78,48.11,14259000
BMY,2020-04-15,47.52,47.99,47.2,47.65,14402100
BMY,2020-04-16,47.92,48.36,47.68,47.73,12984900
BMY,2020-04-17,48.38,48.7,47.98,48.56,16697800
BMY,2020-04-20,48.68,50.36,48.56,49.43,17446000
BMY,2020-04-21,48.77,49.14,48.29,48.55,22203000
BMY,2020-04-22,49.09,49.61,48.79,48.83,12081000
BMY,2020-04-23,49.14,49.67,48.75,48.84,11897400
BMY,2020-04-24,49.42,50.12,49.09,49.88,10460800
BMY,2020-04-27,50.2,50.5,50.01,50.13,13994600
BMY,2020-04-28,50.43,50.63,49.5,49.79,10858900
BMY,2020-04-29,49.98,50.18,49.31,49.39,11035100
BMY,2020-04-30,48.76,48.97,48.37,48.73,17554500
BMY,2020-05-01,48.76,48.78,47.82,48.29,15582800
BMY,2020-05-04,48.67,48.82,47.86,48.22,16989600
BMY,2020-05-05,48.56,49.52,48.42,49.17,13340800
BMY,2020-05-06,49.4,49.87,48.83,48.99,14589000
BMY,2020-05-07,50.1,50.16,48.58,48.91,17531500
BMY,2020-05-08,49.55,49.83,48.84,48.92,16960100
BMY,2020-05-11,48.78,50.33,48.7,50.21,14146800
BMY,2020-05-12,50.62,51.5,50.39,50.76,18928100
BMY,2020-05-13,50.62,51.23,50.15,50.7,17287900
BMY,2020-05-14,50.08,51.39,49.79,51.1,18221700
BMY,2020-05-15,51.45,52.36,51.13,51.36,35224400
BMY,2020-05-18,52.02,52.26,50.87,50.96,15170500
BMY,2020-05-19,50.83,51.14,50.08,50.25,11052100
BMY,2020-05-20,50.48,50.68,48.75,49.43,16658200
BMY,2020-05-21,49.38,49.58,48.43,48.99,16016000
BMY,2020-05-22,48.89,49.41,48.55,48.71,9228600
BMY,2020-05-26,49.29,49.29,48.22,48.34,18447800
BMY,2020-05-27,48.08,48.5,47.37,48.4,19071700
BMY,2020-05-28,48.85,48.87,47.82,47.93,14977400
BMY,2020-05-29,48.32,48.46,47.58,47.86,27224800
BMY,2020-06-01,47.65,49.23,47.62,48.31,11507900
BMY,2020-06-02,48.31,48.63,47.5,48.6,15460100
