ticker,date,open,high,low,close,volume
C,2020-01-02,64.09,65.0,64.01,64.97,12728900
C,2020-01-03,63.83,64.4,63.55,63.75,12437400
C,2020-01-06,62.96,63.63,62.96,63.55,10059500
C,2020-01-07,63.42,63.43,62.97,63.0,10469100
C,2020-01-08,63.0,63.99,62.93,63.48,11292400
C,2020-01-09,64.77,64.77,63.77,64.05,12895900
C,2020-01-10,63.99,64.0,63.24,63.39,10062100
C,2020-01-13,63.59,64.56,63.19,64.51,16566300
C,2020-01-14,64.95,66.48,64.76,65.52,24971800
C,2020-01-15,65.37,65.63,64.57,64.98,16063600
C,2020-01-16,65.56,65.69,64.67,64.79,10426000
C,2020-01-17,64.92,65.11,64.64,64.88,12413100
C,2020-01-21,64.37,64.72,63.88,63.91,10522000
C,2020-01-22,64.15,64.37,63.88,64.07,8045600
C,2020-01-23,63.65,64.05,63.12,63.83,11618200
C,2020-01-24,63.68,63.72,62.1,62.72,15036100
C,2020-01-27,61.0,61.59,60.67,61.36,15859600
C,2020-01-28,61.76,62.49,61.41,61.78,10960200
C,2020-01-29,62.02,62.31,61.12,61.17,9478900
C,2020-01-30,60.58,62.02,60.39,61.93,12498200
C,2020-01-31,61.16,61.34,59.51,59.91,17101200
C,2020-02-03,60.15,61.36,60.15,60.49,11096500
C,2020-02-04,61.8,62.21,61.54,61.59,12173200
C,2020-02-05,62.74,63.59,62.65,63.49,13070400
C,2020-02-06,64.25,64.3,63.12,63.58,12826400
C,2020-02-07,62.91,63.65,62.85,63.36,8341700
C,2020-02-10,62.87,63.4,62.84,63.19,8418300
C,2020-02-11,63.41,64.05,63.32,63.68,9437200
C,2020-02-12,64.33,65.03,63.85,63.87,9484100
C,2020-02-13,63.52,63.83,63.3,63.61,8946200
C,2020-02-14,63.52,63.68,63.16,63.44,9056600
C,2020-02-18,63.29,63.49,62.41,62.46,10343500
C,2020-02-19,62.7,63.12,62.5,62.84,9145200
C,2020-02-20,62.53,63.36,62.25,62.98,11763400
C,2020-02-21,62.45,62.77,61.31,61.55,14020000
C,2020-02-24,59.08,59.62,58.33,58.4,21096200
C,2020-02-25,58.48,58.95,55.56,55.9,27451000
C,2020-02-26,56.38,56.85,54.88,54.9,25552100
C,2020-02-27,53.22,53.86,51.85,51.89,34656800
C,2020-02-28,49.92,51.89,49.39,51.1,46013200
C,2020-03-02,51.41,54.44,50.82,54.42,29006400
C,2020-03-03,54.64,55.1,51.91,52.38,29547700
C,2020-03-04,53.18,54.36,51.82,54.26,24188500
C,2020-03-05,52.17,52.43,50.73,51.12,27277600
C,2020-03-06,48.68,50.17,48.1,49.34,29916600
C,2020-03-09,43.73,44.77,41.06,41.36,35625600
C,2020-03-10,44.07,44.85,41.47,44.75,32527500
C,2020-03-11,43.44,43.74,40.27,40.89,36709000
C,2020-03-12,36.47,39.45,34.48,34.83,45941600
