ticker,date,open,high,low,close,volume
CAT,2020-01-02,131.22,132.58,130.32,132.56,3311900
CAT,2020-01-03,131.01,132.06,129.85,130.72,3100600
CAT,2020-01-06,129.69,130.83,129.05,130.64,2549600
CAT,2020-01-07,129.76,129.96,128.14,128.91,2841900
CAT,2020-01-08,129.31,130.84,128.98,130.05,2153200
CAT,2020-01-09,130.17,130.31,129.02,129.73,2272500
CAT,2020-01-10,129.85,130.09,128.43,128.69,2393700
CAT,2020-01-13,129.04,129.31,128.18,129.3,3355200
CAT,2020-01-14,129.85,130.32,128.85,129.17,2742200
CAT,2020-01-15,128.77,129.23,127.87,128.2,2640500
CAT,2020-01-16,128.95,130.28,128.79,130.22,3070900
CAT,2020-01-17,130.55,131.49,130.01,131.06,3331500
CAT,2020-01-21,130.54,131.14,129.2,129.34,2476700
CAT,2020-01-22,129.7,129.97,126.39,126.49,3602400
CAT,2020-01-23,125.76,127.0,123.98,126.6,3182700
CAT,2020-01-24,126.42,126.55,123.5,124.49,2526200
CAT,2020-01-27,121.41,122.21,120.23,120.37,2920500
CAT,2020-01-28,121.51,122.03,120.27,121.27,2763800
CAT,2020-01-29,122.02,122.17,120.32,120.41,2620000
CAT,2020-01-30,119.51,120.58,117.87,120.05,3862600
CAT,2020-01-31,118.68,119.71,115.77,116.49,6785700
CAT,2020-02-03,116.57,118.09,114.67,115.08,4385300
CAT,2020-02-04,117.95,119.53,117.66,118.4,3501600
CAT,2020-02-05,120.21,121.91,120.11,121.89,4448100
CAT,2020-02-06,122.56,122.68,120.72,121.72,2283800
CAT,2020-02-07,120.64,121.04,117.95,118.28,3812300
CAT,2020-02-10,117.98,119.13,117.75,119.12,2331600
CAT,2020-02-11,120.16,121.7,119.78,120.78,2381900
CAT,2020-02-12,122.74,124.1,122.46,123.79,3222000
CAT,2020-02-13,124.16,124.6,122.76,123.91,3318800
CAT,2020-02-14,123.7,123.82,121.4,122.37,2813400
CAT,2020-02-18,121.9,122.89,119.79,121.12,3869700
CAT,2020-02-19,121.31,121.68,120.66,121.37,2134900
CAT,2020-02-20,120.84,123.17,120.79,121.43,2678200
CAT,2020-02-21,121.05,121.89,119.82,121.68,2855600
CAT,2020-02-24,117.53,118.71,117.11,117.21,4964800
CAT,2020-02-25,117.92,118.07,113.74,114.4,4840200
CAT,2020-02-26,114.98,116.17,113.12,113.74,3902500
CAT,2020-02-27,111.39,113.98,109.28,109.32,7369000
CAT,2020-02-28,106.04,110.18,105.56,110.18,8300700
CAT,2020-03-02,110.9,113.41,109.09,113.16,6100200
CAT,2020-03-03,112.63,114.9,109.77,110.3,6358100
CAT,2020-03-04,111.8,113.02,110.24,112.98,5074700
CAT,2020-03-05,109.21,110.72,107.52,108.17,6015300
CAT,2020-03-06,105.53,108.06,105.38,107.67,5767900
CAT,2020-03-09,100.2,100.2,92.26,92.29,8636200
CAT,2020-03-10,96.35,96.72,87.89,94.44,8293200
CAT,2020-03-11,92.05,92.9,88.75,89.29,6543600
CAT,2020-03-12,82.92,83.61,77.6,81.82,10285900
CAT,2020-03-13,87.26,88.6,79.94,88.36,8718600
CAT,2020-03-16,78.93,93.87,78.48,82.84,9899000
CAT,2020-03-17,85.14,89.07,82.45,88.86,7206100
CAT,2020-03-18,83.35,91.3,82.57,88.79,6995100
CAT,2020-03-19,88.0,92.59,86.24,91.35,6870800
CAT,2020-03-20,91.45,92.22,83.5,84.69,7650300
CAT,2020-03-23,83.27,85.35,80.38,81.46,6737500
CAT,2020-03-24,85.19,90.48,84.4,89.87,7417100
CAT,2020-03-25,89.72,96.22,87.35,92.82,6578100
CAT,2020-03-26,92.98,98.41,91.25,97.99,6059600
CAT,2020-03-27,92.61,97.23,91.7,93.51,5746500
CAT,2020-03-30,94.3,100.07,93.06,99.07,5725600
CAT,2020-03-31,98.2,103.68,97.78,102.91,8970800
CAT,2020-04-01,99.4,103.54,97.11,98.75,6847000
CAT,2020-04-02,98.64,105.11,98.55,103.53,8106500
CAT,2020-04-03,102.43,103.62,99.43,101.69,5036400
CAT,2020-04-06,106.46,107.95,104.76,106.8,5785600
CAT,2020-04-07,108.98,114.22,106.87,108.12,8489900
CAT,2020-04-08,109.07,113.67,107.34,112.98,4686100
CAT,2020-04-09,114.09,114.93,109.21,110.88,4752100
CAT,2020-04-13,106.38,106.46,100.73,101.22,10519600
CAT,2020-04-14,103.32,104.5,101.55,103.3,7166300
CAT,2020-04-15,100.18,100.3,97.37,98.91,5652800
CAT,2020-04-16,99.19,100.63,96.54,100.41,5926400
CAT,2020-04-17,102.43,104.3,101.89,104.09,4132300
CAT,2020-04-20,102.42,104.77,100.34,102.56,4083800
CAT,2020-04-21,99.38,99.38,97.19,98.31,5743300
CAT,2020-04-22,100.26,100.33,97.74,99.02,3794000
CAT,2020-04-23,99.64,103.13,99.3,101.05,3545400
CAT,2020-04-24,102.02,102.37,99.53,102.06,3045300
CAT,2020-04-27,99.21,103.93,98.21,103.1,5344800
CAT,2020-04-28,105.48,105.61,101.46,103.33,5604600
CAT,2020-04-29,104.68,108.13,104.29,107.45,4261100
CAT,2020-04-30,105.61,105.83,103.22,104.16,4040500
CAT,2020-05-01,102.03,102.55,98.96,99.23,3960400
CAT,2020-05-04,98.46,98.7,95.39,96.41,4500700
CAT,2020-05-05,97.77,99.42,97.32,97.47,3477400
CAT,2020-05-06,98.47,98.66,95.49,96.36,4465300
CAT,2020-05-07,97.57,98.49,95.57,96.02,4377900
CAT,2020-05-08,97.53,100.42,96.93,100.34,3911300
CAT,2020-05-11,98.59,99.14,96.82,97.2,4207300
CAT,2020-05-12,97.65,97.85,93.97,93.97,3874100
CAT,2020-05-13,94.1,94.23,91.78,93.51,5376100
CAT,2020-05-14,91.73,95.12,89.69,95.04,5542400
CAT,2020-05-15,94.13,96.65,93.33,96.59,6583100
CAT,2020-05-18,100.43,103.51,100.25,102.94,5603500
CAT,2020-05-19,102.88,103.32,100.25,100.31,3404900
CAT,2020-05-20,101.41,105.14,101.18,103.54,3735700
CAT,2020-05-21,102.88,103.53,101.87,102.08,2342300
CAT,2020-05-22,102.14,102.17,99.76,100.66,2735100
CAT,2020-05-26,103.8,106.11,103.8,105.08,4185100
CAT,2020-05-27,107.15,109.63,106.98,109.56,4462700
CAT,2020-05-28,111.65,111.72,107.65,108.06,3743700
CAT,2020-05-29,107.07,108.03,105.22,107.51,4219000
CAT,2020-06-01,107.27,108.47,105.26,107.84,2131300
CAT,2020-06-02,109.04,110.82,108.54,110.37,2977500
CAT,2020-06-03,112.27,113.97,111.88,113.74,3712600
CAT,2020-06-04,112.24,115.48,111.64,115.42,3076700
CAT,2020-06-05,123.37,124.73,119.38,120.93,5591900
CAT,2020-06-08,121.11,125.24,121.11,123.26,4139200
CAT,2020-06-09,120.84,121.19,119.22,120.1,3819600
CAT,2020-06-10,119.68,121.16,116.85,118.53,4018700
CAT,2020-06-11,113.13,113.52,108.76,108.78,5969300
CAT,2020-06-12,111.33,112.02,106.81,110.22,4492700
CAT,2020-06-15,106.06,111.32,105.62,110.63,4093100
CAT,2020-06-16,117.57,118.53,113.12,116.44,6892400
CAT,2020-06-17,116.49,116.77,114.34,114.76,3228100
CAT,2020-06-18,113.79,115.43,113.39,114.19,2467700
CAT,2020-06-19,116.35,116.35,112.52,114.07,6488000
CAT,2020-06-22,113.09,113.2,111.51,112.58,2806300
CAT,2020-06-23,114.01,114.17,112.61,112.99,2357100
CAT,2020-06-24,111.68,111.73,109.03,109.24,3766500
CAT,2020-06-25,108.84,111.72,108.11,111.61,2903400
CAT,2020-06-26,111.27,111.37,108.69,109.54,3645800
CAT,2020-06-29,110.73,112.8,110.33,112.1,2798700
CAT,2020-06-30,110.99,113.72,110.99,113.21,2778800
CAT,2020-07-01,115.79,115.81,112.66,112.82,2807800
CAT,2020-07-02,114.78,116.65,113.83,114.31,2527500
CAT,2020-07-06,116.46,116.79,114.71,115.84,2491900
CAT,2020-07-07,114.32,115.23,113.48,113.84,2018100
CAT,2020-07-08,115.75,115.75,113.19,114.67,2279500
CAT,2020-07-09,114.14,114.87,111.98,112.52,2663500
CAT,2020-07-10,112.74,114.76,112.61,114.57,2691400
CAT,2020-07-13,115.83,118.22,115.32,116.86,3708400
CAT,2020-07-14,116.63,122.89,115.66,122.5,6540800
CAT,2020-07-15,125.45,125.45,122.71,123.83,4915200
CAT,2020-07-16,123.77,126.18,123.15,124.01,3621500
CAT,2020-07-17,124.31,124.82,123.11,123.44,2458200
CAT,2020-07-20,122.41,123.48,121.06,121.39,2478000
CAT,2020-07-21,121.52,123.69,121.21,122.51,3221100
CAT,2020-07-22,121.95,124.31,121.9,123.51,2156800
CAT,2020-07-23,123.44,124.0,122.37,123.17,1613700
CAT,2020-07-24,123.71,125.05,123.39,124.05,2036300
CAT,2020-07-27,123.66,126.54,123.58,126.14,2506900
CAT,2020-07-28,125.28,126.23,124.36,124.46,2029900
CAT,2020-07-29,124.95,127.21,124.25,126.71,2338300
CAT,2020-07-30,125.41,125.42,122.6,123.29,3063500
CAT,2020-07-31,119.41,121.86,117.41,119.81,6780900
CAT,2020-08-03,119.29,119.92,118.21,118.82,2851100
CAT,2020-08-04,118.45,119.42,117.82,118.59,2301800
CAT,2020-08-05,119.72,122.57,119.57,121.7,2767800
CAT,2020-08-06,121.29,121.92,120.55,121.18,2446400
CAT,2020-08-07,120.82,121.83,119.49,121.65,2223700
CAT,2020-08-10,122.38,128.18,122.34,128.06,5181600
CAT,2020-08-11,129.86,131.82,128.3,128.52,4206000
CAT,2020-08-12,129.8,129.99,127.43,128.55,2541200
CAT,2020-08-13,127.68,128.71,126.03,126.84,2939900
CAT,2020-08-14,125.74,127.04,125.13,126.2,2038500
CAT,2020-08-17,126.37,126.78,124.7,125.08,2284000
CAT,2020-08-18,125.29,126.33,124.5,124.76,1563200
CAT,2020-08-19,124.88,126.16,123.94,124.45,1849500
CAT,2020-08-20,122.65,124.41,122.31,123.96,2279700
CAT,2020-08-21,123.35,125.33,123.35,124.82,2524600
CAT,2020-08-24,126.02,128.26,125.41,127.75,2921700
CAT,2020-08-25,128.64,130.68,126.72,127.27,2467500
CAT,2020-08-26,126.67,128.43,126.06,127.88,2379900
CAT,2020-08-27,128.16,130.15,127.39,129.27,3010300
CAT,2020-08-28,130.09,131.51,128.66,129.51,3698700
CAT,2020-08-31,129.39,129.48,128.28,128.32,2886500
CAT,2020-09-01,127.74,131.75,127.06,131.69,2673900
CAT,2020-09-02,132.43,134.85,132.01,134.59,4515500
CAT,2020-09-03,133.98,136.33,131.01,132.33,4479100
CAT,2020-09-04,134.08,135.95,131.68,133.61,5129400
CAT,2020-09-08,132.55,135.94,131.39,133.92,4775200
CAT,2020-09-09,135.07,140.19,134.54,137.68,5345100
CAT,2020-09-10,137.06,138.18,134.12,135.13,4387000
CAT,2020-09-11,135.68,139.22,135.47,138.7,3237100
CAT,2020-09-14,138.86,139.58,137.24,138.42,2569300
CAT,2020-09-15,139.04,139.28,133.77,133.99,4092400
CAT,2020-09-16,135.25,137.04,133.78,136.25,3302000
CAT,2020-09-17,135.12,140.89,134.48,138.74,4487000
CAT,2020-09-18,138.57,140.85,137.11,137.41,5113500
CAT,2020-09-21,133.95,134.8,129.72,131.04,4278200
CAT,2020-09-22,130.75,133.0,130.29,132.68,2579500
CAT,2020-09-23,132.98,134.27,129.48,130.18,2420100
