ticker,date,open,high,low,close,volume
COP,2020-01-02,52.42,52.74,52.07,52.56,4122800
COP,2020-01-03,53.83,53.9,52.25,52.76,6333200
COP,2020-01-06,53.22,53.75,52.9,53.38,8823800
COP,2020-01-07,53.35,53.39,52.79,53.38,5974800
COP,2020-01-08,53.36,53.5,51.81,52.15,6470100
COP,2020-01-09,51.85,53.12,51.62,53.05,6005100
COP,2020-01-10,52.88,53.16,52.46,52.53,7233100
COP,2020-01-13,52.48,52.6,52.1,52.3,3675300
COP,2020-01-14,52.37,52.46,51.92,52.31,6119400
COP,2020-01-15,52.19,52.46,51.74,52.19,3933300
COP,2020-01-16,52.51,52.68,52.0,52.25,4315200
COP,2020-01-17,52.42,52.54,52.07,52.25,4765500
COP,2020-01-21,51.85,52.07,51.34,51.42,6974000
COP,2020-01-22,51.23,51.23,50.45,50.6,6755800
COP,2020-01-23,49.79,50.88,49.48,50.7,6199900
COP,2020-01-24,50.35,50.35,49.83,50.28,5689500
COP,2020-01-27,49.28,49.65,48.85,49.01,7321100
COP,2020-01-28,49.47,49.53,48.9,49.13,4824700
COP,2020-01-29,49.46,49.53,48.4,48.57,4102500
COP,2020-01-30,47.98,48.97,47.85,48.89,6931500
COP,2020-01-31,48.18,48.51,47.47,47.72,7673000
COP,2020-02-03,47.71,48.45,47.26,47.52,7015300
COP,2020-02-04,47.32,48.03,45.31,45.36,13403000
COP,2020-02-05,46.0,47.34,45.63,47.2,12891800
COP,2020-02-06,47.43,47.43,46.52,46.9,5901700
COP,2020-02-07,46.42,46.87,46.22,46.57,5081800
COP,2020-02-10,46.14,46.69,45.94,46.47,6756300
COP,2020-02-11,47.26,47.38,46.74,47.14,6143000
COP,2020-02-12,48.1,49.1,47.81,47.99,5906800
COP,2020-02-13,47.78,48.08,47.39,47.57,5995600
COP,2020-02-14,47.61,47.79,47.05,47.4,4204500
COP,2020-02-18,47.23,47.36,46.67,47.15,3937800
COP,2020-02-19,47.51,48.0,47.45,47.92,5267400
COP,2020-02-20,47.91,48.16,47.37,47.61,5755000
COP,2020-02-21,47.16,47.4,46.72,47.26,5216300
COP,2020-02-24,45.41,46.05,45.28,45.59,10350200
COP,2020-02-25,45.71,45.84,43.3,43.53,10447900
COP,2020-02-26,43.68,43.87,41.33,41.38,11646700
COP,2020-02-27,40.11,40.12,38.11,38.11,14676100
COP,2020-02-28,36.73,39.17,36.49,39.16,16558800
COP,2020-03-02,39.88,39.93,37.91,39.81,10672800
COP,2020-03-03,40.05,41.64,38.37,38.91,11785400
COP,2020-03-04,39.42,40.07,38.61,39.97,8924200
COP,2020-03-05,38.8,39.33,37.83,38.57,9603800
COP,2020-03-06,37.18,37.6,36.13,36.66,14504800
COP,2020-03-09,27.45,29.27,25.88,27.55,29828600
COP,2020-03-10,29.63,30.26,26.69,28.21,20337700
COP,2020-03-11,27.16,27.45,25.48,26.33,18460700
COP,2020-03-12,24.54,25.4,22.5,22.8,16581700
COP,2020-03-13,24.75,25.67,22.31,25.38,17506900
COP,2020-03-16,22.23,25.19,20.95,21.09,13774100
COP,2020-03-17,21.32,21.71,19.72,21.23,18692900
COP,2020-03-18,19.61,20.7,16.85,18.33,17039700
COP,2020-03-19,18.7,21.02,16.98,20.69,15655100
COP,2020-03-20,21.88,22.96,20.94,21.7,23790200
COP,2020-03-23,21.63,21.81,18.88,19.85,16239400
COP,2020-03-24,21.39,24.96,21.39,24.86,16724400
COP,2020-03-25,25.25,26.33,23.85,25.02,14295900
COP,2020-03-26,25.17,26.25,24.58,25.95,13576900
COP,2020-03-27,24.36,24.48,23.29,23.65,10647200
COP,2020-03-30,23.06,24.37,22.25,23.69,11089600
COP,2020-03-31,24.28,25.81,24.03,24.91,13481100
COP,2020-04-01,23.71,24.69,23.31,23.95,11101400
COP,2020-04-02,25.27,28.64,24.83,27.38,14693200
COP,2020-04-03,27.99,28.29,25.56,26.61,11505000
COP,2020-04-06,27.07,27.33,25.71,26.52,13532900
COP,2020-04-07,28.21,29.06,26.7,26.9,11704200
COP,2020-04-08,27.54,29.02,27.39,28.85,8171100
COP,2020-04-09,30.67,30.71,26.92,28.09,14176800
COP,2020-04-13,29.06,29.1,27.31,27.74,10222000
COP,2020-04-14,27.79,27.87,27.23,27.56,11082200
COP,2020-04-15,26.02,26.69,24.85,26.04,11354700
COP,2020-04-16,25.75,26.06,24.68,25.13,13220600
COP,2020-04-17,25.86,28.6,25.76,28.51,13162600
COP,2020-04-20,26.26,28.85,26.2,27.96,13226400
COP,2020-04-21,26.65,27.6,26.37,26.84,13639500
COP,2020-04-22,28.47,28.73,27.93,28.29,12048400
COP,2020-04-23,29.61,30.08,28.6,29.26,9849600
COP,2020-04-24,29.9,30.16,28.93,29.19,8683900
COP,2020-04-27,29.01,30.25,28.04,30.04,8302500
COP,2020-04-28,30.64,31.53,30.37,31.12,9445700
COP,2020-04-29,32.4,34.41,32.06,34.13,12958100
COP,2020-04-30,34.43,35.24,33.03,34.05,11760700
COP,2020-05-01,32.78,33.4,31.3,31.65,9256700
COP,2020-05-04,31.23,32.67,30.85,32.64,12515600
COP,2020-05-05,34.85,35.23,32.88,33.09,10096700
COP,2020-05-06,33.23,33.83,32.2,32.74,8213000
COP,2020-05-07,33.96,35.06,33.89,34.3,9520700
COP,2020-05-08,35.22,35.41,34.35,35.19,6974200
COP,2020-05-11,34.49,35.35,34.37,34.52,7076800
COP,2020-05-12,34.81,35.24,33.92,33.96,7375900
COP,2020-05-13,33.5,33.63,32.29,32.58,7666400
COP,2020-05-14,31.8,33.05,30.86,32.61,6718700
COP,2020-05-15,32.56,33.94,32.44,33.38,7242300
COP,2020-05-18,35.49,36.44,35.26,35.61,9047300
COP,2020-05-19,35.69,35.84,34.8,34.85,6126300
COP,2020-05-20,35.6,36.59,35.37,36.06,7203000
COP,2020-05-21,36.26,36.65,35.63,35.71,6646000
COP,2020-05-22,35.05,35.41,34.55,35.35,4674000
COP,2020-05-26,36.6,36.85,35.53,35.67,7702600
COP,2020-05-27,36.22,36.49,35.09,36.48,5768100
COP,2020-05-28,36.53,36.53,34.94,35.13,5871500
COP,2020-05-29,34.8,34.94,34.03,34.45,10172200
COP,2020-06-01,34.52,35.69,34.01,35.44,6344300
COP,2020-06-02,35.95,36.5,35.69,36.1,5858300
COP,2020-06-03,36.84,36.94,35.95,36.85,8024200
COP,2020-06-04,36.49,36.86,36.08,36.52,5577000
COP,2020-06-05,38.71,39.84,38.41,39.69,11578800
COP,2020-06-08,41.01,41.48,39.87,41.09,10242200
COP,2020-06-09,39.41,40.18,39.11,39.72,8203600
COP,2020-06-10,39.24,39.44,37.46,37.5,7882300
COP,2020-06-11,34.37,36.14,34.14,34.4,8435200
COP,2020-06-12,37.01,37.09,34.39,35.72,8928400
COP,2020-06-15,33.54,35.86,33.36,35.41,7992100
COP,2020-06-16,37.0,37.31,35.61,36.84,6932400
COP,2020-06-17,36.75,36.84,35.86,35.95,5967200
COP,2020-06-18,35.55,36.62,35.27,36.31,7293700
COP,2020-06-19,37.49,37.49,35.43,35.69,13702800
COP,2020-06-22,35.32,35.92,34.84,35.58,5009100
COP,2020-06-23,36.04,36.37,35.6,35.78,4962200
COP,2020-06-24,35.12,35.26,33.43,33.48,7137200
COP,2020-06-25,33.21,34.4,33.09,34.35,5981000
COP,2020-06-26,33.95,33.99,32.8,32.96,8399400
COP,2020-06-29,33.0,33.77,32.61,33.73,5764800
COP,2020-06-30,33.38,34.58,32.9,34.32,6313900
COP,2020-07-01,34.59,34.98,33.23,33.27,5600000
COP,2020-07-02,34.16,34.72,33.96,34.12,4775000
COP,2020-07-06,34.82,35.01,33.78,34.0,5825100
COP,2020-07-07,33.61,34.0,33.14,33.19,5995100
COP,2020-07-08,33.14,33.95,32.92,33.52,4896800
COP,2020-07-09,33.21,33.4,31.27,31.32,9189500
COP,2020-07-10,31.33,32.52,31.22,32.42,9218300
COP,2020-07-13,32.78,33.09,31.85,32.39,5887000
COP,2020-07-14,32.21,33.76,32.07,33.74,4953500
COP,2020-07-15,34.46,34.65,33.53,33.99,5777100
COP,2020-07-16,33.72,34.35,33.21,33.97,4655700
COP,2020-07-17,34.12,34.38,32.82,32.97,6699300
COP,2020-07-20,32.97,33.28,32.38,32.45,6407600
COP,2020-07-21,33.09,34.72,33.0,34.37,7950900
COP,2020-07-22,33.89,34.04,33.27,33.74,5158400
COP,2020-07-23,33.44,33.94,33.19,33.38,5953500
COP,2020-07-24,33.61,34.13,33.14,33.23,5202600
COP,2020-07-27,32.94,33.4,32.54,32.81,5312400
COP,2020-07-28,32.65,32.97,32.01,32.15,6188300
COP,2020-07-29,32.15,32.95,31.85,32.95,6305200
COP,2020-07-30,31.45,31.74,29.62,31.06,13421000
COP,2020-07-31,30.57,31.02,30.29,30.85,7719900
COP,2020-08-03,30.75,30.85,30.27,30.29,8064700
COP,2020-08-04,30.25,31.41,30.09,31.06,5808100
COP,2020-08-05,31.77,31.92,31.11,31.37,7315000
COP,2020-08-06,31.06,31.71,31.03,31.39,6588700
COP,2020-08-07,31.25,31.68,30.82,31.6,4445300
COP,2020-08-10,31.77,32.73,31.72,32.71,5612600
COP,2020-08-11,33.47,33.95,32.66,32.76,7975900
COP,2020-08-12,33.31,34.39,33.21,34.37,11822500
COP,2020-08-13,33.95,34.51,33.52,33.52,8286400
COP,2020-08-14,33.19,33.83,32.97,33.68,3349800
COP,2020-08-17,33.62,33.81,32.93,33.58,6089300
COP,2020-08-18,33.52,34.1,33.11,33.28,5711500
COP,2020-08-19,33.09,33.27,32.61,32.71,4526200
COP,2020-08-20,32.23,32.43,31.96,31.99,3943200
COP,2020-08-21,31.88,32.02,31.31,31.49,5034200
COP,2020-08-24,31.63,32.64,31.43,32.07,5357400
COP,2020-08-25,32.52,32.55,31.72,32.05,4160600
COP,2020-08-26,32.04,32.15,30.96,30.99,6753300
COP,2020-08-27,31.16,31.58,30.94,31.48,6231600
COP,2020-08-28,31.63,31.73,31.25,31.67,5058100
COP,2020-08-31,31.64,31.72,31.0,31.26,6165700
COP,2020-09-01,30.87,31.02,30.21,30.66,6267700
COP,2020-09-02,30.53,30.67,30.02,30.02,7441600
COP,2020-09-03,29.73,30.42,29.57,29.7,8733400
COP,2020-09-04,30.0,30.27,29.43,29.59,8285300
COP,2020-09-08,29.13,29.13,27.84,28.1,9338600
COP,2020-09-09,28.75,28.75,28.23,28.43,6440000
COP,2020-09-10,28.41,28.48,27.11,27.16,8582800
COP,2020-09-11,27.13,27.59,26.93,27.32,6769100
COP,2020-09-14,27.43,27.95,27.24,27.66,5436000
COP,2020-09-15,27.83,28.23,27.73,27.89,8333400
