ticker,date,open,high,low,close,volume
COST,2020-01-02,268.48,268.96,265.69,266.13,2103600
COST,2020-01-03,264.82,267.42,264.16,266.35,1926000
COST,2020-01-06,265.28,266.66,263.51,266.43,2655100
COST,2020-01-07,265.98,266.32,264.12,266.01,1963400
COST,2020-01-08,265.68,269.78,265.23,269.06,2492800
COST,2020-01-09,272.58,275.69,271.81,273.37,3261200
COST,2020-01-10,273.9,274.15,270.85,271.38,2024200
COST,2020-01-13,271.09,274.5,270.98,273.78,1778600
COST,2020-01-14,273.22,274.82,272.61,273.68,1459900
COST,2020-01-15,272.4,274.85,272.11,274.65,1604000
COST,2020-01-16,275.17,277.61,274.8,276.67,1758600
COST,2020-01-17,277.01,278.74,276.67,278.18,2506500
COST,2020-01-21,279.56,286.08,279.16,286.01,3585900
COST,2020-01-22,286.14,286.28,283.23,284.76,2218900
COST,2020-01-23,284.88,286.14,283.7,285.66,1535900
COST,2020-01-24,286.7,286.94,282.21,283.5,1986100
COST,2020-01-27,279.52,284.65,279.06,282.53,2265100
COST,2020-01-28,283.5,284.6,282.21,283.81,1571700
COST,2020-01-29,283.82,284.83,282.48,282.65,1713700
COST,2020-01-30,281.97,282.71,279.99,282.55,1232600
COST,2020-01-31,281.71,282.29,278.07,278.94,1837000
COST,2020-02-03,280.29,281.74,275.43,275.73,2816800
COST,2020-02-04,278.08,279.3,276.42,278.38,1982300
COST,2020-02-05,280.29,282.66,278.83,282.08,1731800
COST,2020-02-06,283.04,285.31,281.66,284.19,1917900
COST,2020-02-07,283.63,287.12,282.83,286.95,1903500
COST,2020-02-10,287.07,289.98,286.01,287.1,2336300
COST,2020-02-11,287.32,287.68,284.06,284.25,2047500
COST,2020-02-12,284.34,288.64,284.34,288.32,1384600
COST,2020-02-13,288.07,291.67,286.87,291.13,1438000
COST,2020-02-14,291.75,292.61,289.99,291.23,1113400
COST,2020-02-18,291.87,295.96,291.51,294.66,1547100
COST,2020-02-19,294.68,296.92,294.36,295.54,1413600
COST,2020-02-20,294.9,297.42,293.7,296.51,1427500
COST,2020-02-21,295.12,297.59,293.72,294.56,2239000
COST,2020-02-24,288.66,292.78,286.61,286.94,2300400
COST,2020-02-25,288.21,289.64,278.51,278.94,2881800
COST,2020-02-26,281.39,284.82,278.76,279.69,2236000
COST,2020-02-27,276.29,279.06,268.08,268.2,3625300
COST,2020-02-28,260.99,262.89,248.2,257.23,7091800
COST,2020-03-02,269.39,283.18,266.59,282.84,7563800
COST,2020-03-03,282.84,287.45,275.42,276.98,5131400
COST,2020-03-04,282.07,293.67,279.07,293.46,4219300
COST,2020-03-05,288.91,296.91,286.56,288.9,6407700
COST,2020-03-06,285.59,290.48,277.0,284.86,6185500
COST,2020-03-09,270.68,283.93,268.08,276.29,5203100
COST,2020-03-10,281.77,283.38,269.38,283.08,4245500
COST,2020-03-11,275.27,281.61,269.17,272.13,3622700
COST,2020-03-12,256.58,270.48,252.83,256.05,7307600
COST,2020-03-13,264.26,277.45,254.6,276.56,6100100
COST,2020-03-16,257.86,274.05,255.73,259.09,5465500
COST,2020-03-17,264.42,281.06,261.95,280.88,7170600
COST,2020-03-18,272.65,290.95,270.82,281.34,6701800
COST,2020-03-19,284.01,287.15,276.89,279.26,5429500
COST,2020-03-20,281.73,281.81,262.61,265.72,6581200
COST,2020-03-23,267.17,270.52,254.74,261.24,5646400
COST,2020-03-24,269.53,272.06,258.77,260.7,7124200
COST,2020-03-25,260.03,265.99,255.46,256.97,5639600
COST,2020-03-26,257.41,268.74,256.97,267.44,5463100
COST,2020-03-27,262.71,268.52,259.23,260.14,4250400
COST,2020-03-30,263.04,266.87,261.53,266.36,4396000
COST,2020-03-31,262.97,266.72,259.84,260.88,5618600
COST,2020-04-01,258.34,264.23,257.01,262.39,3745800
COST,2020-04-02,260.19,267.88,258.76,266.69,3500600
COST,2020-04-03,264.56,267.47,261.49,264.1,2650100
COST,2020-04-06,268.08,279.5,264.94,279.17,5272500
COST,2020-04-07,280.43,283.63,277.43,277.8,4036500
COST,2020-04-08,279.16,281.27,276.57,279.94,3964400
COST,2020-04-09,273.98,278.46,272.27,274.49,6487600
COST,2020-04-13,273.18,278.1,272.34,274.13,3120400
COST,2020-04-14,277.0,287.98,275.62,287.42,4288300
COST,2020-04-15,285.13,287.06,280.72,283.88,2937300
COST,2020-04-16,287.96,295.19,285.5,294.21,3940000
COST,2020-04-17,293.98,294.73,287.31,290.88,3688000
COST,2020-04-20,290.9,291.3,285.03,285.53,3156300
COST,2020-04-21,284.67,285.36,273.89,275.7,3833000
COST,2020-04-22,278.14,284.66,276.35,283.1,2970600
COST,2020-04-23,280.91,283.3,278.86,279.42,2625200
COST,2020-04-24,281.19,284.39,279.52,284.13,2019400
COST,2020-04-27,286.42,286.64,281.43,282.51,2287300
COST,2020-04-28,284.39,284.79,278.4,279.01,2425900
COST,2020-04-29,279.01,282.42,275.51,280.97,3667700
COST,2020-04-30,280.75,282.35,277.47,277.86,3794300
COST,2020-05-01,276.74,279.53,275.27,276.87,2525400
COST,2020-05-04,277.86,280.18,275.17,279.23,2477500
COST,2020-05-05,279.75,284.1,278.26,282.37,2460900
COST,2020-05-06,284.21,285.23,281.11,283.26,2406700
COST,2020-05-07,283.67,284.16,279.26,279.69,2601800
COST,2020-05-08,280.52,281.69,278.5,280.56,2337400
COST,2020-05-11,280.28,285.96,279.69,284.58,1865900
COST,2020-05-12,285.05,285.7,279.5,279.55,2264900
COST,2020-05-13,279.55,280.98,275.22,277.07,2954900
COST,2020-05-14,276.03,277.75,270.1,274.87,3718900
COST,2020-05-15,274.26,274.95,271.31,274.38,4577200
COST,2020-05-18,276.69,278.03,275.03,277.64,3987300
COST,2020-05-19,279.34,283.38,278.0,279.35,3523000
COST,2020-05-20,281.32,282.37,278.04,279.61,2827000
COST,2020-05-21,279.5,279.73,276.25,276.91,2492100
COST,2020-05-22,276.95,278.72,275.87,277.34,2366400
COST,2020-05-26,280.62,281.44,278.35,279.51,3234600
COST,2020-05-27,279.29,280.89,274.62,280.62,2980200
COST,2020-05-28,281.76,285.2,281.44,283.88,4301900
COST,2020-05-29,278.96,283.25,277.26,282.88,4971800
COST,2020-06-01,282.35,284.04,281.03,282.71,2293700
COST,2020-06-02,282.4,283.38,279.44,281.61,2528900
COST,2020-06-03,281.99,282.63,280.54,281.2,2165900
COST,2020-06-04,285.06,289.18,283.44,284.97,4553900
COST,2020-06-05,287.15,287.61,281.79,286.15,4375600
COST,2020-06-08,284.88,285.46,281.03,281.7,3764500
COST,2020-06-09,281.99,282.99,279.85,280.2,3155800
COST,2020-06-10,281.05,283.02,280.29,281.83,2713700
COST,2020-06-11,281.52,283.54,275.7,275.87,3443000
COST,2020-06-12,277.56,279.83,271.67,273.92,4020000
COST,2020-06-15,272.4,273.34,269.46,272.52,3266800
COST,2020-06-16,276.35,277.62,274.39,276.36,2633800
COST,2020-06-17,276.04,276.94,274.1,274.75,2188400
COST,2020-06-18,275.11,275.85,273.08,274.71,1881800
COST,2020-06-19,275.27,276.85,273.86,275.02,3438000
COST,2020-06-22,274.83,276.47,273.5,275.52,2094400
COST,2020-06-23,276.69,279.6,275.78,276.29,2409600
COST,2020-06-24,275.81,276.28,271.99,273.29,2398100
COST,2020-06-25,272.41,276.16,270.89,275.59,2274300
COST,2020-06-26,275.48,277.05,271.39,271.95,2866000
COST,2020-06-29,272.76,276.6,272.2,276.57,1841700
COST,2020-06-30,276.03,279.34,275.24,278.05,2391700
COST,2020-07-01,277.4,280.23,275.8,279.46,1906100
COST,2020-07-02,280.61,283.29,279.33,280.37,2540500
COST,2020-07-06,282.01,285.71,281.75,285.64,2332400
COST,2020-07-07,284.3,291.66,284.02,289.99,3346600
COST,2020-07-08,290.83,291.66,287.96,290.07,2364500
COST,2020-07-09,293.45,301.68,293.16,298.53,5313600
COST,2020-07-10,298.95,300.23,296.3,299.16,2484100
COST,2020-07-13,299.23,301.8,294.82,296.13,2583200
COST,2020-07-14,294.66,301.39,293.86,300.79,1844800
COST,2020-07-15,300.88,302.0,298.6,299.59,1770700
COST,2020-07-16,299.52,300.69,297.17,299.2,1402000
COST,2020-07-17,300.14,300.6,297.65,297.84,1768100
COST,2020-07-20,297.93,300.27,295.89,299.42,1863300
COST,2020-07-21,299.87,303.99,299.41,300.55,1874200
COST,2020-07-22,302.3,302.31,298.04,301.06,1312600
COST,2020-07-23,300.88,302.97,298.34,299.05,1561700
COST,2020-07-24,299.15,301.47,297.73,298.75,1423400
COST,2020-07-27,298.66,301.7,298.2,300.42,2083300
COST,2020-07-28,300.76,302.62,298.79,300.39,1374000
COST,2020-07-29,299.89,300.82,298.39,299.08,1341300
COST,2020-07-30,296.55,300.01,295.92,298.51,1390300
COST,2020-07-31,298.51,299.88,296.42,299.16,2149900
COST,2020-08-03,299.18,303.17,298.03,302.65,2480200
COST,2020-08-04,302.87,312.29,302.28,312.27,3933300
COST,2020-08-05,314.17,314.97,310.25,312.43,2923700
COST,2020-08-06,314.67,317.17,313.94,315.5,2104300
COST,2020-08-07,315.35,316.81,312.12,313.3,1759000
COST,2020-08-10,313.11,313.44,311.15,312.46,1503800
COST,2020-08-11,313.24,313.24,304.92,305.5,2065600
COST,2020-08-12,306.72,311.45,306.18,309.48,1853900
COST,2020-08-13,309.69,311.96,307.98,308.51,1536500
COST,2020-08-14,309.27,311.32,308.42,309.04,1522900
COST,2020-08-17,310.3,312.8,310.03,312.42,1504700
COST,2020-08-18,313.38,315.03,309.53,313.15,1489400
COST,2020-08-19,313.49,314.24,312.41,313.29,1730100
COST,2020-08-20,312.59,313.99,311.3,313.26,1717500
COST,2020-08-21,312.52,317.83,311.84,316.7,2372600
COST,2020-08-24,317.16,318.08,314.4,316.26,1461500
COST,2020-08-25,316.26,316.97,313.8,316.79,1176200
COST,2020-08-26,315.23,316.9,314.01,316.38,1757000
COST,2020-08-27,317.62,319.57,314.8,318.3,2220700
COST,2020-08-28,319.32,320.79,317.51,320.15,1487300
COST,2020-08-31,318.76,320.5,316.4,319.5,1586900
COST,2020-09-01,317.71,323.02,317.43,322.92,1773700
COST,2020-09-02,324.97,330.77,322.85,329.79,2434900
COST,2020-09-03,333.66,334.21,317.53,320.09,3630400
COST,2020-09-04,325.31,325.31,312.83,318.5,2557000
COST,2020-09-08,315.99,316.98,310.79,311.41,2144300
COST,2020-09-09,313.29,321.37,312.82,318.37,2100900
COST,2020-09-10,318.22,319.81,311.32,312.03,1959600
COST,2020-09-11,312.72,315.46,308.88,311.66,1599600
COST,2020-09-14,313.37,316.91,312.89,315.14,1522300
COST,2020-09-15,317.07,319.59,314.99,316.05,1362500
COST,2020-09-16,319.14,320.51,315.45,315.89,1656500
COST,2020-09-17,312.07,315.12,309.12,311.43,2681500
COST,2020-09-18,312.64,313.58,304.37,308.75,3409300
COST,2020-09-21,306.92,312.11,306.68,312.06,2427400
COST,2020-09-22,313.1,316.96,312.08,316.55,2128100
COST,2020-09-23,319.81,320.04,316.19,316.71,3577100
COST,2020-09-24,317.05,319.2,310.91,318.89,5779300
COST,2020-09-25,313.14,315.92,308.2,314.83,7338500
COST,2020-09-28,315.92,321.44,315.31,321.3,3459200
COST,2020-09-29,320.69,325.59,318.98,323.62,2526000
COST,2020-09-30,324.0,328.73,322.73,326.24,2525800
COST,2020-10-01,327.4,330.56,326.08,329.42,2053000
COST,2020-10-02,326.0,328.85,324.27,326.25,2125000
COST,2020-10-05,326.55,329.9,326.55,329.53,2093500
COST,2020-10-06,332.59,333.6,328.12,329.32,2760400
COST,2020-10-07,331.27,335.2,330.53,333.62,1959100
COST,2020-10-08,335.25,336.33,332.45,335.52,1793100
COST,2020-10-09,336.35,339.8,336.08,339.53,1730700
COST,2020-10-12,340.95,349.83,340.74,345.99,2806900
COST,2020-10-13,347.77,351.32,345.99,349.84,1823300
COST,2020-10-14,351.88,352.78,346.19,347.69,1904400
COST,2020-10-15,345.97,347.71,342.84,346.08,1697800
COST,2020-10-16,349.68,353.7,348.41,350.64,2459400
