ticker,date,open,high,low,close,volume
CRM,2020-01-02,161.95,165.06,161.62,164.99,5189300
CRM,2020-01-03,163.08,164.77,163.02,164.18,3205400
CRM,2020-01-06,163.02,171.59,162.48,171.37,8836200
CRM,2020-01-07,171.15,174.75,170.02,173.89,8272700
CRM,2020-01-08,173.13,176.7,172.65,175.2,7225100
CRM,2020-01-09,176.69,177.74,175.16,177.44,5952900
CRM,2020-01-10,177.68,178.51,176.54,178.04,5111800
CRM,2020-01-13,179.08,182.24,178.96,181.64,6202600
CRM,2020-01-14,181.3,181.64,179.85,179.93,4342300
CRM,2020-01-15,179.5,180.89,178.45,178.89,3886600
CRM,2020-01-16,180.04,180.91,178.79,180.5,3485300
CRM,2020-01-17,181.03,181.14,179.18,180.04,4577000
CRM,2020-01-21,179.33,183.77,179.32,183.05,6302400
CRM,2020-01-22,183.16,184.2,180.5,180.56,4781800
CRM,2020-01-23,181.01,182.09,179.12,181.77,4369000
CRM,2020-01-24,182.78,183.9,178.96,179.92,4653600
CRM,2020-01-27,176.62,179.55,175.17,178.54,4239400
CRM,2020-01-28,178.97,181.65,178.19,180.66,3445300
CRM,2020-01-29,181.79,181.89,179.44,179.59,2785500
CRM,2020-01-30,178.73,183.71,178.37,183.44,3715700
CRM,2020-01-31,182.64,183.8,178.62,180.12,4193300
CRM,2020-02-03,181.06,183.64,179.67,183.19,4755200
CRM,2020-02-04,185.74,187.41,184.41,186.08,3983200
CRM,2020-02-05,188.11,188.26,180.66,183.26,6162700
CRM,2020-02-06,184.59,185.31,182.03,184.49,4102700
CRM,2020-02-07,184.61,186.39,183.42,183.49,3713100
CRM,2020-02-10,183.94,187.0,183.33,186.85,3873500
CRM,2020-02-11,189.18,190.29,186.39,186.84,4299200
CRM,2020-02-12,187.43,188.23,184.53,187.19,4535400
CRM,2020-02-13,186.24,188.76,186.16,186.38,3132100
CRM,2020-02-14,187.08,187.97,185.84,187.67,3599400
CRM,2020-02-18,188.66,189.2,186.65,188.8,4957000
CRM,2020-02-19,189.7,191.59,189.5,190.55,3903200
CRM,2020-02-20,191.67,193.37,187.49,191.04,5451200
CRM,2020-02-21,189.54,189.73,184.48,187.23,5242100
CRM,2020-02-24,176.64,184.9,176.64,183.71,8463300
CRM,2020-02-25,186.21,187.7,177.28,179.09,11361100
CRM,2020-02-26,174.42,180.48,172.16,176.72,13923100
CRM,2020-02-27,170.14,176.19,168.01,170.08,9927300
CRM,2020-02-28,163.01,169.71,161.16,168.35,12640800
CRM,2020-03-02,170.13,174.67,166.57,174.64,7761000
CRM,2020-03-03,176.27,176.28,165.08,167.34,8323500
CRM,2020-03-04,170.18,173.7,167.59,173.58,5846300
CRM,2020-03-05,170.5,171.66,166.08,167.56,5797500
CRM,2020-03-06,163.68,165.56,156.64,162.11,9757700
CRM,2020-03-09,149.88,155.82,148.83,149.39,9657100
CRM,2020-03-10,155.34,159.53,149.19,159.4,11443900
CRM,2020-03-11,155.79,157.7,148.35,152.71,10341300
CRM,2020-03-12,142.61,149.41,138.42,138.9,13213000
CRM,2020-03-13,147.68,147.71,133.7,146.01,13765400
CRM,2020-03-16,132.4,139.85,121.91,122.81,13845300
CRM,2020-03-17,125.48,136.35,121.44,133.79,12191500
CRM,2020-03-18,124.03,131.82,113.91,130.65,12988200
CRM,2020-03-19,130.01,142.27,127.31,137.79,10444000
CRM,2020-03-20,138.73,144.44,132.98,137.68,12450100
CRM,2020-03-23,137.09,141.99,132.48,138.83,11898300
CRM,2020-03-24,142.89,152.29,141.46,151.8,11834400
CRM,2020-03-25,150.84,156.12,145.2,145.29,10639300
CRM,2020-03-26,146.52,153.22,145.96,152.87,8573100
CRM,2020-03-27,148.82,149.63,143.17,144.25,8273500
CRM,2020-03-30,145.95,151.16,144.8,148.05,7650400
CRM,2020-03-31,147.24,150.13,141.07,142.25,10429700
CRM,2020-04-01,136.66,137.39,131.5,132.45,8737600
CRM,2020-04-02,132.4,133.76,128.48,132.71,8150500
CRM,2020-04-03,132.84,134.56,130.08,132.7,6004400
CRM,2020-04-06,137.33,148.05,136.64,145.78,12296800
CRM,2020-04-07,148.53,148.99,142.78,143.33,7859500
CRM,2020-04-08,144.54,150.33,143.26,149.31,7665500
CRM,2020-04-09,150.56,154.23,149.86,152.69,7094600
CRM,2020-04-13,152.27,153.45,148.2,150.67,5138600
CRM,2020-04-14,153.84,156.88,153.29,155.82,7334300
CRM,2020-04-15,153.22,155.38,152.15,153.76,4042600
CRM,2020-04-16,155.12,156.1,152.4,155.17,4391500
CRM,2020-04-17,158.08,161.3,155.74,160.67,7312900
CRM,2020-04-20,158.82,162.34,158.59,160.81,4686000
CRM,2020-04-21,158.08,158.17,146.22,148.75,13737900
CRM,2020-04-22,152.15,153.83,148.86,152.29,6660900
CRM,2020-04-23,151.66,154.59,149.68,149.9,6281400
CRM,2020-04-24,151.75,152.65,149.48,152.13,6710500
CRM,2020-04-27,153.67,156.54,152.35,155.74,5036400
CRM,2020-04-28,157.59,158.88,152.33,152.61,4731800
CRM,2020-04-29,155.98,159.95,154.64,158.5,5256700
CRM,2020-04-30,159.69,163.32,158.09,160.01,6830700
CRM,2020-05-01,156.59,158.25,153.4,154.49,4276900
CRM,2020-05-04,153.71,160.08,153.22,159.53,5974200
CRM,2020-05-05,160.58,162.17,158.33,161.29,5264800
CRM,2020-05-06,162.47,163.72,160.96,161.71,4112600
CRM,2020-05-07,164.5,169.21,164.03,167.86,6460900
CRM,2020-05-08,170.87,173.97,169.1,173.79,5403400
CRM,2020-05-11,173.45,181.1,172.07,180.48,8696000
CRM,2020-05-12,180.8,180.82,174.89,175.41,5904600
CRM,2020-05-13,173.07,173.11,164.27,167.6,12534900
CRM,2020-05-14,166.42,166.55,162.59,165.0,7442300
CRM,2020-05-15,165.26,169.66,164.19,169.27,5673800
CRM,2020-05-18,171.91,174.88,170.06,170.43,6398300
CRM,2020-05-19,170.68,176.06,170.68,173.93,5264000
CRM,2020-05-20,176.43,176.99,172.8,174.81,4951200
CRM,2020-05-21,174.81,176.15,172.83,173.16,4429700
CRM,2020-05-22,174.48,176.5,173.34,175.72,4965100
CRM,2020-05-26,179.82,179.82,174.1,174.4,8353600
CRM,2020-05-27,174.17,174.49,169.31,174.48,6340200
CRM,2020-05-28,177.84,182.58,174.97,178.93,10275200
CRM,2020-05-29,172.21,172.9,168.64,172.69,19588900
CRM,2020-06-01,171.02,175.39,170.61,174.24,5711600
CRM,2020-06-02,172.75,172.8,169.16,172.14,8571800
CRM,2020-06-03,172.73,173.82,170.77,172.89,6004000
CRM,2020-06-04,172.9,173.32,167.96,169.38,7301600
CRM,2020-06-05,168.07,172.1,165.0,171.79,8232200
CRM,2020-06-08,171.55,174.45,170.59,174.43,4592600
CRM,2020-06-09,173.89,173.89,171.45,172.46,4025600
CRM,2020-06-10,174.13,180.31,173.94,179.91,8127200
CRM,2020-06-11,174.52,176.29,169.94,169.98,6521200
CRM,2020-06-12,173.79,175.56,169.8,173.01,5443800
