ticker,date,open,high,low,close,volume
CVX,2020-01-02,92.44,93.07,92.41,92.92,5205000
CVX,2020-01-03,93.19,93.9,92.39,92.6,6360900
CVX,2020-01-06,92.77,93.1,92.08,92.28,9953000
CVX,2020-01-07,91.07,91.62,90.12,91.1,7856900
CVX,2020-01-08,90.71,91.13,90.03,90.06,7295900
CVX,2020-01-09,89.98,90.23,88.9,89.92,7345300
CVX,2020-01-10,89.93,90.06,89.07,89.1,6393800
CVX,2020-01-13,89.12,89.46,88.82,89.27,6846700
CVX,2020-01-14,89.15,89.44,88.54,88.99,7189100
CVX,2020-01-15,88.99,89.08,88.5,88.86,5808800
CVX,2020-01-16,89.19,89.74,89.11,89.44,7022000
CVX,2020-01-17,89.54,89.75,88.4,88.44,7885900
CVX,2020-01-21,88.07,88.11,86.6,86.7,8470300
CVX,2020-01-22,86.54,86.87,86.05,86.39,5589900
CVX,2020-01-23,86.01,86.84,85.59,86.54,8007800
CVX,2020-01-24,86.31,86.45,85.2,85.59,6920000
CVX,2020-01-27,84.36,84.81,84.16,84.47,7609800
CVX,2020-01-28,84.92,85.41,84.76,85.03,5771900
CVX,2020-01-29,85.28,85.58,84.31,84.45,4772800
CVX,2020-01-30,84.03,85.38,83.45,85.24,8382700
CVX,2020-01-31,84.03,84.17,81.42,81.98,13699600
CVX,2020-02-03,81.84,82.07,80.65,81.33,8785500
CVX,2020-02-04,82.4,82.9,81.57,81.76,9909000
CVX,2020-02-05,82.85,84.67,82.73,84.39,6914100
CVX,2020-02-06,84.65,84.68,83.49,83.78,6274000
CVX,2020-02-07,83.35,83.74,83.0,83.36,4830100
CVX,2020-02-10,83.05,84.02,82.89,84.01,6011800
CVX,2020-02-11,84.77,85.22,84.22,85.1,6072700
CVX,2020-02-12,86.09,86.16,85.4,85.73,5725700
CVX,2020-02-13,85.22,85.95,85.11,85.44,5991900
CVX,2020-02-14,85.81,85.91,84.83,85.22,5148700
CVX,2020-02-18,84.38,85.36,84.25,85.34,4975800
CVX,2020-02-19,85.56,86.01,85.07,85.73,5887500
CVX,2020-02-20,85.76,85.98,84.92,85.01,4466600
CVX,2020-02-21,84.37,84.53,83.34,84.39,6443900
CVX,2020-02-24,81.83,82.8,80.84,81.06,9539800
CVX,2020-02-25,81.13,81.22,77.41,77.96,12871900
CVX,2020-02-26,78.08,78.66,75.87,75.9,11990400
CVX,2020-02-27,74.28,76.02,72.83,72.87,15783700
CVX,2020-02-28,70.16,72.34,69.76,72.26,20835100
CVX,2020-03-02,72.78,74.84,71.38,74.77,15050800
CVX,2020-03-03,74.93,76.24,72.28,73.07,16525500
CVX,2020-03-04,74.6,76.66,74.06,76.28,14753000
CVX,2020-03-05,74.09,75.39,73.5,75.24,12814400
CVX,2020-03-06,72.71,74.36,72.32,73.79,16861900
CVX,2020-03-09,63.66,68.13,61.93,62.45,30595500
CVX,2020-03-10,66.76,66.81,62.74,65.79,22642900
CVX,2020-03-11,63.66,65.68,63.29,64.28,18412800
CVX,2020-03-12,59.79,60.48,56.4,59.04,25768200
CVX,2020-03-13,61.92,64.64,57.37,64.58,23497500
CVX,2020-03-16,56.18,60.76,53.95,53.96,17535300
CVX,2020-03-17,54.5,56.5,50.7,54.72,22684200
CVX,2020-03-18,51.26,51.27,42.24,42.62,24947300
CVX,2020-03-19,42.78,45.28,39.95,44.43,29871000
CVX,2020-03-20,46.08,46.95,43.63,45.98,26960400
CVX,2020-03-23,45.1,45.98,41.01,41.97,23764000
CVX,2020-03-24,47.59,52.37,46.7,51.52,29198800
CVX,2020-03-25,52.87,56.62,51.59,53.62,22560100
CVX,2020-03-26,54.42,59.69,52.56,59.13,24129100
CVX,2020-03-27,55.83,56.93,53.03,53.25,20411500
CVX,2020-03-30,52.65,56.46,51.88,55.7,18486800
CVX,2020-03-31,56.72,58.09,54.82,56.09,18514200
CVX,2020-04-01,53.81,55.96,52.34,53.08,14362000
CVX,2020-04-02,55.54,60.92,53.86,58.93,23220600
CVX,2020-04-03,60.38,61.15,56.54,58.15,14905400
CVX,2020-04-06,59.61,62.67,58.46,62.23,17334900
CVX,2020-04-07,65.23,66.34,62.59,62.64,16394800
CVX,2020-04-08,63.7,66.81,63.11,66.56,12284800
CVX,2020-04-09,68.7,69.6,63.11,65.27,17023800
CVX,2020-04-13,67.49,67.63,64.56,65.73,13854700
