ticker,date,open,high,low,close,volume
DIS,2020-01-02,141.95,144.79,141.76,144.79,9502100
DIS,2020-01-03,143.03,144.5,142.69,143.13,7320200
DIS,2020-01-06,142.19,142.67,140.99,142.3,8262500
DIS,2020-01-07,142.63,143.49,142.07,142.35,6906500
DIS,2020-01-08,142.14,142.77,141.49,142.05,6984200
DIS,2020-01-09,143.1,143.26,141.28,141.5,6664200
DIS,2020-01-10,141.96,142.15,140.94,141.29,5152500
DIS,2020-01-13,141.42,141.42,140.06,140.57,9921300
DIS,2020-01-14,140.11,143.34,139.02,141.86,14839100
DIS,2020-01-15,142.36,142.36,140.62,141.0,6818200
DIS,2020-01-16,141.75,142.08,141.12,141.78,6948400
DIS,2020-01-17,142.19,142.29,140.7,141.01,10355300
DIS,2020-01-21,140.92,141.26,139.72,140.26,9250200
DIS,2020-01-22,141.13,141.46,140.24,140.7,7550000
DIS,2020-01-23,140.3,140.31,137.41,138.93,11082000
DIS,2020-01-24,138.15,138.98,136.0,136.86,13076300
DIS,2020-01-27,132.73,134.56,131.89,132.77,12831800
DIS,2020-01-28,133.36,135.73,132.73,135.19,10390000
DIS,2020-01-29,135.41,135.49,132.67,132.93,9382700
DIS,2020-01-30,131.98,134.68,131.73,134.64,11847300
DIS,2020-01-31,135.22,135.48,133.91,135.13,12379100
DIS,2020-02-03,136.57,138.56,136.53,138.07,12639900
DIS,2020-02-04,142.14,142.24,139.95,141.4,23519700
DIS,2020-02-05,143.23,143.91,135.38,138.12,27824100
DIS,2020-02-06,138.65,140.64,137.97,139.42,9504600
DIS,2020-02-07,138.63,138.72,136.9,137.78,10948900
DIS,2020-02-10,137.79,139.31,137.23,139.31,8162100
DIS,2020-02-11,139.56,139.7,137.23,137.77,10790100
DIS,2020-02-12,138.09,138.95,137.63,138.59,8168200
DIS,2020-02-13,137.92,138.64,137.58,137.66,7543100
DIS,2020-02-14,137.85,138.03,135.93,136.33,9110500
DIS,2020-02-18,135.82,136.45,134.92,135.94,8214900
DIS,2020-02-19,136.42,138.61,136.03,138.05,7080900
DIS,2020-02-20,138.37,138.37,135.66,137.14,5981700
DIS,2020-02-21,136.64,136.66,135.39,135.77,7725800
DIS,2020-02-24,129.84,131.35,128.19,129.95,19336500
DIS,2020-02-25,130.67,130.86,125.04,125.24,21032500
DIS,2020-02-26,123.22,125.42,119.32,120.52,31195900
DIS,2020-02-27,117.05,120.07,115.21,115.32,30827500
DIS,2020-02-28,111.88,115.59,110.61,114.94,35389900
DIS,2020-03-02,116.39,117.22,113.36,117.22,21775900
DIS,2020-03-03,118.36,118.98,112.5,113.77,19529700
DIS,2020-03-04,116.22,116.5,112.82,116.44,13842100
DIS,2020-03-05,114.17,114.27,109.53,111.36,22397200
DIS,2020-03-06,108.21,113.2,107.78,112.62,22899600
DIS,2020-03-09,106.19,107.89,101.88,101.95,26233600
DIS,2020-03-10,105.61,109.01,100.07,108.9,24083700
DIS,2020-03-11,105.93,106.39,100.49,103.08,24771300
DIS,2020-03-12,95.37,97.7,89.53,89.7,40392900
DIS,2020-03-13,98.46,100.5,90.13,100.16,40960100
DIS,2020-03-16,89.69,96.02,87.93,92.82,35379500
DIS,2020-03-17,93.6,95.22,89.05,91.38,27526200
DIS,2020-03-18,85.57,87.28,77.25,86.76,43592500
DIS,2020-03-19,85.98,95.16,83.15,92.75,30866800
DIS,2020-03-20,93.78,94.76,83.87,84.0,31957800
DIS,2020-03-23,82.55,85.27,79.22,83.79,32246600
DIS,2020-03-24,90.21,96.89,89.69,95.86,32538100
DIS,2020-03-25,98.34,103.48,93.31,98.41,28533000
DIS,2020-03-26,98.51,105.25,98.48,102.94,24520300
DIS,2020-03-27,98.14,99.15,93.34,94.18,30591500
DIS,2020-03-30,93.79,98.15,89.98,97.5,23119200
DIS,2020-03-31,97.91,100.79,93.95,94.38,21563200
DIS,2020-04-01,91.35,95.16,90.43,92.74,18303900
DIS,2020-04-02,92.03,95.02,92.03,94.74,13936500
DIS,2020-04-03,94.09,94.69,90.58,91.72,14814600
DIS,2020-04-06,95.02,97.88,92.35,97.29,20407400
DIS,2020-04-07,102.45,103.45,97.94,98.91,22899600
DIS,2020-04-08,98.22,100.0,96.38,98.74,22562500
DIS,2020-04-09,105.44,105.51,101.15,102.1,31453600
DIS,2020-04-13,102.3,102.46,97.32,101.12,17306000
DIS,2020-04-14,103.07,105.16,101.51,103.59,19866900
DIS,2020-04-15,101.99,102.47,100.34,100.99,14157600
DIS,2020-04-16,101.15,101.33,98.57,99.67,18029300
DIS,2020-04-17,103.77,104.33,101.95,104.18,17926900
DIS,2020-04-20,101.2,102.45,99.65,99.91,17021000
DIS,2020-04-21,97.71,99.17,96.85,98.23,16101400
DIS,2020-04-22,99.46,100.27,98.57,98.67,11463800
DIS,2020-04-23,98.33,100.17,97.17,98.68,17132200
DIS,2020-04-24,99.44,99.58,97.23,98.86,13614100
DIS,2020-04-27,99.65,104.07,99.27,103.62,15518300
DIS,2020-04-28,106.29,107.53,103.54,103.77,16503700
DIS,2020-04-29,107.41,110.11,106.06,109.67,20139800
DIS,2020-04-30,106.92,107.77,104.4,105.66,18638700
DIS,2020-05-01,103.91,104.45,102.07,103.07,13209100
DIS,2020-05-04,99.66,101.44,98.24,100.81,19514800
DIS,2020-05-05,99.17,102.76,98.58,98.73,30169800
DIS,2020-05-06,99.15,102.85,96.59,98.56,51992400
DIS,2020-05-07,99.51,103.18,99.49,103.14,20868800
DIS,2020-05-08,106.54,106.67,104.18,106.65,24079700
DIS,2020-05-11,105.91,106.31,103.96,105.29,20555900
DIS,2020-05-12,106.55,106.92,102.09,102.15,17049700
DIS,2020-05-13,102.1,102.13,99.26,100.55,21085800
DIS,2020-05-14,99.63,103.48,97.37,103.47,22002200
DIS,2020-05-15,102.56,106.86,101.87,106.54,29766000
DIS,2020-05-18,111.84,117.02,111.84,114.16,40044600
DIS,2020-05-19,112.45,113.79,110.81,111.74,20332600
DIS,2020-05-20,113.74,118.09,113.37,117.16,25749900
DIS,2020-05-21,116.59,117.53,113.82,115.12,17578300
DIS,2020-05-22,114.8,115.84,114.14,115.3,9288200
DIS,2020-05-26,118.26,119.69,117.66,118.17,16466400
DIS,2020-05-27,120.83,120.93,116.96,118.73,19345400
DIS,2020-05-28,118.8,119.17,113.33,114.06,18606000
DIS,2020-05-29,113.52,115.04,111.49,114.6,17745100
DIS,2020-06-01,114.56,116.9,114.24,116.04,10538300
DIS,2020-06-02,116.26,117.09,115.12,116.02,10753100
DIS,2020-06-03,117.23,119.63,116.57,119.37,12584300
DIS,2020-06-04,119.14,121.64,119.05,120.84,14195100
DIS,2020-06-05,123.4,124.88,121.42,121.95,16581600
DIS,2020-06-08,122.22,124.51,121.09,124.35,13858100
DIS,2020-06-09,122.74,122.9,120.67,121.04,10882800
DIS,2020-06-10,121.17,121.24,118.15,119.37,11497100
DIS,2020-06-11,114.89,115.29,109.67,110.05,26078800
DIS,2020-06-12,112.52,114.31,110.29,112.83,18361900
DIS,2020-06-15,109.5,115.4,109.14,114.39,14156400
DIS,2020-06-16,118.45,118.7,113.38,115.71,12951200
