ticker,date,open,high,low,close,volume
GE,2020-01-02,54.44,57.98,54.44,57.83,17540015
GE,2020-01-03,56.09,58.17,55.89,58.03,17231837
GE,2020-01-06,57.4,59.19,57.4,58.85,22461009
GE,2020-01-07,58.9,59.33,57.78,58.41,14160793
GE,2020-01-08,58.12,58.41,57.54,57.88,11115771
GE,2020-01-09,58.51,58.61,57.35,57.73,7900488
GE,2020-01-10,57.4,57.73,56.18,56.57,11767739
GE,2020-01-13,56.91,58.9,56.62,58.75,13274420
GE,2020-01-14,58.95,59.09,58.12,58.32,9034667
GE,2020-01-15,58.27,58.27,57.35,57.54,9239517
GE,2020-01-16,57.88,58.07,57.3,57.4,7358067
GE,2020-01-17,57.44,57.83,57.01,57.25,9345794
GE,2020-01-21,56.91,57.2,56.28,56.52,8775485
GE,2020-01-22,56.77,56.77,55.02,55.12,12428998
GE,2020-01-23,56.86,57.44,56.23,57.06,14679157
GE,2020-01-24,57.59,57.64,56.33,56.77,11912960
GE,2020-01-27,55.5,56.18,55.17,55.46,9602991
GE,2020-01-28,55.84,57.3,55.6,56.86,12625782
GE,2020-01-29,60.93,63.02,60.55,62.73,44278356
GE,2020-01-30,62.49,62.97,60.59,61.71,19154638
GE,2020-01-31,61.47,61.76,59.82,60.35,15646447
GE,2020-02-03,60.4,61.47,59.38,59.43,10105766
GE,2020-02-04,60.55,61.18,60.06,60.98,8905297
GE,2020-02-05,61.86,62.34,60.93,62.34,10046658
GE,2020-02-06,62.73,63.02,62.19,62.78,12763278
GE,2020-02-07,63.12,63.45,62.1,62.19,13369743
GE,2020-02-10,62.24,62.87,61.9,62.58,6720424
GE,2020-02-11,62.78,62.92,61.95,62.29,8202487
GE,2020-02-12,62.78,64.28,62.44,63.79,13184414
GE,2020-02-13,63.41,63.79,62.53,62.73,10234936
GE,2020-02-14,62.87,63.36,61.81,62.19,7416954
GE,2020-02-18,61.61,62.78,61.42,61.81,8820688
GE,2020-02-19,61.56,62.73,61.03,61.13,11010597
GE,2020-02-20,61.32,61.47,60.16,60.74,7937566
GE,2020-02-21,60.35,60.4,59.24,59.38,8611565
GE,2020-02-24,56.67,58.46,56.23,57.49,14240786
GE,2020-02-25,58.03,58.17,54.2,54.87,16269102
GE,2020-02-26,55.12,55.94,52.35,53.08,18682881
GE,2020-02-27,51.48,53.08,49.98,50.37,18910102
GE,2020-02-28,48.23,54.24,47.8,52.74,30359552
GE,2020-03-02,54.34,54.97,52.16,54.34,25039892
GE,2020-03-03,54.54,55.17,51.72,52.74,21919391
GE,2020-03-04,53.61,53.91,51.87,53.08,16665500
GE,2020-03-05,51.38,52.01,48.23,48.86,21686251
GE,2020-03-06,47.26,47.36,44.54,45.61,29787216
GE,2020-03-09,40.42,42.02,39.35,39.84,24558063
GE,2020-03-10,42.6,42.94,39.6,42.94,19850767
GE,2020-03-11,41.83,42.02,39.6,39.84,20746329
GE,2020-03-12,35.08,37.75,33.14,35.08,31583435
GE,2020-03-13,37.85,39.01,34.89,38.09,22099041
GE,2020-03-16,33.92,34.69,32.27,32.32,23255932
GE,2020-03-17,33.53,35.57,30.57,34.35,24121739
GE,2020-03-18,31.59,33.0,28.63,32.03,27873844
GE,2020-03-19,31.06,33.53,29.84,31.44,19861762
GE,2020-03-20,34.02,34.21,31.3,31.64,25306037
GE,2020-03-23,31.3,32.17,29.26,29.65,21193467
GE,2020-03-24,32.32,34.26,31.39,34.02,23974833
GE,2020-03-25,36.15,38.82,33.77,36.68,27665082
GE,2020-03-26,37.02,40.27,36.44,39.4,24714600
GE,2020-03-27,37.27,38.19,36.59,36.98,18719196
GE,2020-03-30,36.59,38.53,35.67,38.29,17425331
GE,2020-03-31,38.19,39.69,37.95,38.53,24307107
GE,2020-04-01,36.49,36.64,33.97,34.16,19974760
GE,2020-04-02,34.06,35.86,32.85,33.48,19561750
GE,2020-04-03,34.11,34.21,31.93,32.66,19622924
GE,2020-04-06,34.31,35.42,33.68,35.08,19672140
GE,2020-04-07,37.31,37.61,33.97,34.11,19278732
GE,2020-04-08,34.84,35.81,34.26,35.42,18589124
GE,2020-04-09,36.15,36.59,34.4,34.65,25701070
GE,2020-04-13,34.6,34.6,32.8,34.06,18874790
GE,2020-04-14,34.45,35.13,33.19,33.63,21481602
GE,2020-04-15,32.66,32.66,30.81,31.54,27732155
GE,2020-04-16,31.44,31.73,30.08,30.28,33241115
GE,2020-04-17,31.39,33.68,30.76,33.19,33287181
GE,2020-04-20,32.07,32.75,31.35,31.59,20001786
GE,2020-04-21,31.01,31.93,30.57,31.44,15539929
GE,2020-04-22,31.98,32.22,31.06,31.2,15398901
