ticker,date,open,high,low,close,volume
GS,2020-01-02,200.3,203.46,199.58,203.18,3736300
GS,2020-01-03,200.82,201.7,199.7,200.81,2274500
GS,2020-01-06,199.38,202.92,198.99,202.86,3329300
GS,2020-01-07,203.77,206.17,203.56,204.2,5255200
GS,2020-01-08,204.36,207.89,204.19,206.17,3564700
GS,2020-01-09,209.27,211.06,207.95,210.36,3980700
GS,2020-01-10,210.49,211.05,209.31,209.94,2248100
GS,2020-01-13,211.96,213.41,210.71,212.63,3359200
GS,2020-01-14,212.72,215.5,212.1,213.02,4302800
GS,2020-01-15,209.84,216.35,207.38,212.63,5411200
GS,2020-01-16,214.19,216.62,213.51,216.54,3968400
GS,2020-01-17,216.98,217.18,215.04,216.31,3108400
GS,2020-01-21,214.36,215.78,212.96,213.05,2492400
GS,2020-01-22,213.84,215.5,213.61,214.22,2030900
GS,2020-01-23,212.01,214.18,210.61,212.95,2806800
GS,2020-01-24,212.5,213.06,208.63,209.77,2877400
GS,2020-01-27,204.96,207.23,203.78,206.49,2506200
GS,2020-01-28,207.67,211.21,206.42,210.35,3123000
GS,2020-01-29,212.03,213.74,207.73,208.21,3711600
GS,2020-01-30,206.1,211.87,205.27,211.69,3261700
GS,2020-01-31,209.83,210.61,205.4,206.16,3482800
GS,2020-02-03,206.69,210.18,206.42,207.25,2733000
GS,2020-02-04,210.61,211.35,209.45,209.79,3052500
GS,2020-02-05,212.43,212.56,210.71,211.84,3126600
GS,2020-02-06,212.75,213.11,209.13,209.69,2225600
GS,2020-02-07,207.89,208.56,205.12,206.37,3006500
GS,2020-02-10,205.85,206.26,204.17,205.82,2591300
GS,2020-02-11,207.24,207.72,204.83,205.04,2238800
GS,2020-02-12,206.38,209.13,206.13,206.94,2119200
GS,2020-02-13,206.24,207.21,205.13,206.68,1461300
GS,2020-02-14,206.32,207.25,204.84,205.58,1718700
GS,2020-02-18,205.12,205.57,200.48,202.22,2736500
GS,2020-02-19,203.77,206.2,202.28,205.79,2207100
GS,2020-02-20,204.99,205.42,200.52,201.8,3183700
GS,2020-02-21,200.23,201.0,198.02,199.97,3081600
GS,2020-02-24,193.57,196.57,192.97,194.7,4139400
GS,2020-02-25,194.91,195.86,187.2,188.69,5343100
GS,2020-02-26,189.64,190.77,186.22,187.11,4171100
GS,2020-02-27,182.52,185.11,178.08,178.36,5848200
GS,2020-02-28,173.69,176.45,169.99,175.16,6727100
GS,2020-03-02,175.71,182.88,172.42,182.75,5285500
GS,2020-03-03,182.34,184.77,176.33,177.48,5677200
GS,2020-03-04,179.58,182.27,176.84,182.11,3520400
GS,2020-03-05,175.64,177.51,171.82,173.43,4151500
GS,2020-03-06,166.35,171.26,165.13,168.25,5071900
GS,2020-03-09,151.43,156.38,148.45,150.76,6443000
GS,2020-03-10,158.45,161.75,151.18,160.83,6803900
GS,2020-03-11,155.71,157.71,149.16,149.96,5314000
GS,2020-03-12,139.59,145.48,130.86,131.46,8357700
GS,2020-03-13,142.05,154.91,132.91,154.57,6368400
GS,2020-03-16,131.06,147.91,130.86,134.93,6888000
GS,2020-03-17,136.97,145.47,130.86,138.43,6876300
GS,2020-03-18,130.86,136.07,118.13,122.16,9543200
GS,2020-03-19,119.85,133.03,114.16,130.42,6548200
GS,2020-03-20,129.98,130.16,120.65,120.75,7561300
GS,2020-03-23,118.67,123.83,116.26,117.75,5472600
GS,2020-03-24,125.91,134.27,125.31,134.0,6647400
GS,2020-03-25,134.88,141.51,126.78,135.34,8587800
GS,2020-03-26,136.42,146.27,134.62,144.64,6762200
GS,2020-03-27,138.78,142.84,136.97,138.14,4186700
GS,2020-03-30,138.3,139.96,133.64,139.26,4152800
GS,2020-03-31,137.96,140.55,134.11,134.87,3588200
GS,2020-04-01,127.46,130.49,126.5,126.75,4689100
GS,2020-04-02,124.77,131.26,123.6,130.8,4446900
GS,2020-04-03,130.16,131.67,126.7,128.18,2801600
GS,2020-04-06,135.63,138.65,134.15,138.04,4689400
GS,2020-04-07,144.82,147.56,141.72,144.84,4953500
GS,2020-04-08,147.05,155.38,147.05,154.38,5194800
GS,2020-04-09,157.54,163.43,156.83,160.75,6445800
GS,2020-04-13,160.39,161.37,156.28,156.32,4774300
GS,2020-04-14,159.09,159.98,152.27,155.49,4149600
GS,2020-04-15,148.86,158.5,147.57,155.74,6042700
GS,2020-04-16,154.61,155.67,150.4,154.45,4662200
GS,2020-04-17,160.08,161.64,155.54,160.08,5426700
GS,2020-04-20,156.77,162.55,155.31,157.38,4674800
GS,2020-04-21,153.06,156.34,151.5,151.63,3819000
GS,2020-04-22,154.85,155.45,152.21,153.53,2314500
GS,2020-04-23,154.42,156.22,152.19,152.72,2013300
GS,2020-04-24,154.42,155.25,151.36,154.42,2024400
GS,2020-04-27,156.25,160.74,155.92,160.12,2743100
GS,2020-04-28,165.03,166.13,161.28,163.15,3344700
GS,2020-04-29,168.04,169.0,165.38,165.79,3086300
GS,2020-04-30,162.27,163.62,159.57,160.02,2695400
GS,2020-05-01,156.16,156.69,154.11,154.51,2650200
GS,2020-05-04,152.67,153.82,149.81,153.57,2990100
GS,2020-05-05,156.25,159.3,155.41,155.55,3272600
GS,2020-05-06,156.76,158.08,152.86,154.35,2408700
GS,2020-05-07,156.32,159.98,156.32,159.06,2480100
GS,2020-05-08,161.42,162.19,159.43,161.74,2277500
GS,2020-05-11,159.25,161.27,158.13,159.79,2212200
GS,2020-05-12,160.43,160.79,154.2,154.6,3549200
GS,2020-05-13,153.25,154.31,148.97,149.88,3445300
GS,2020-05-14,147.47,152.48,144.26,152.19,4176700
GS,2020-05-15,151.35,151.88,148.82,149.94,2867800
GS,2020-05-18,155.04,159.74,152.88,158.68,4505800
GS,2020-05-19,157.52,158.95,155.05,155.14,2210500
GS,2020-05-20,157.86,160.38,157.3,158.29,2599900
GS,2020-05-21,157.21,158.06,155.01,157.12,2153500
GS,2020-05-22,157.06,157.59,155.34,156.97,2176400
GS,2020-05-26,161.95,171.95,161.59,171.05,5971200
GS,2020-05-27,177.1,183.83,174.49,182.91,8182100
GS,2020-05-28,183.94,184.35,175.54,175.55,4886100
GS,2020-05-29,173.14,176.38,170.88,172.49,3822600
GS,2020-06-01,173.21,177.13,171.29,175.51,2230800
GS,2020-06-02,178.88,181.28,176.73,179.21,4128700
GS,2020-06-03,183.03,186.05,181.22,184.85,3471900
GS,2020-06-04,183.29,188.73,182.56,188.58,3522300
GS,2020-06-05,194.89,195.75,191.08,191.31,4737600
GS,2020-06-08,193.15,195.12,191.59,193.84,3260300
GS,2020-06-09,189.39,193.15,188.88,191.46,2478400
GS,2020-06-10,190.84,193.0,186.81,187.44,3091200
GS,2020-06-11,179.7,181.63,170.32,170.42,4923400
GS,2020-06-12,176.12,178.16,172.25,177.14,3380800
GS,2020-06-15,171.83,181.71,171.32,181.11,3467400
GS,2020-06-16,188.72,188.72,178.85,183.99,3099100
GS,2020-06-17,184.35,185.05,180.35,181.01,1798300
GS,2020-06-18,179.08,181.95,177.92,178.95,2051700
GS,2020-06-19,181.76,182.09,176.43,177.01,4962400
GS,2020-06-22,176.44,179.59,175.57,178.58,1806900
GS,2020-06-23,181.28,182.17,178.77,179.77,2451800
GS,2020-06-24,177.63,177.87,173.27,173.84,2756700
GS,2020-06-25,173.7,182.06,173.48,181.81,3466500
GS,2020-06-26,174.7,175.78,165.49,166.08,9530700
GS,2020-06-29,168.01,170.22,165.62,169.84,3736000
GS,2020-06-30,170.17,174.18,169.97,173.48,3102800
GS,2020-07-01,174.59,175.35,171.64,173.44,2620100
GS,2020-07-02,177.77,178.21,173.05,173.29,2699400
GS,2020-07-06,176.75,182.41,176.57,182.04,3567700
GS,2020-07-07,180.4,180.59,174.86,175.01,2853500
GS,2020-07-08,175.17,178.43,174.71,177.55,2789700
GS,2020-07-09,177.43,177.77,171.18,172.79,3160100
GS,2020-07-10,172.83,181.12,172.79,180.46,4414800
GS,2020-07-13,183.48,186.97,181.72,183.37,4449600
GS,2020-07-14,185.61,188.13,181.73,187.87,5202000
GS,2020-07-15,196.97,197.73,188.47,190.41,12516700
GS,2020-07-16,187.43,193.54,187.43,188.45,5769600
GS,2020-07-17,188.65,188.89,185.45,185.59,3614300
GS,2020-07-20,184.99,187.14,184.57,185.85,2268700
GS,2020-07-21,186.33,187.7,184.7,186.13,3393500
GS,2020-07-22,184.79,185.23,180.27,180.84,4978400
GS,2020-07-23,180.05,180.86,177.37,178.23,4088600
GS,2020-07-24,178.21,179.9,176.73,176.86,3191500
GS,2020-07-27,175.66,179.24,175.21,178.23,2601200
GS,2020-07-28,177.25,178.73,176.53,177.0,2139600
GS,2020-07-29,177.07,178.99,175.24,177.84,2635000
GS,2020-07-30,175.14,175.57,172.33,175.16,3057900
GS,2020-07-31,175.43,175.43,172.51,173.78,2399700
GS,2020-08-03,174.25,175.47,172.53,175.04,2294600
GS,2020-08-04,175.0,177.08,174.24,177.01,1944700
GS,2020-08-05,178.36,179.8,178.22,179.54,2232400
GS,2020-08-06,179.96,181.1,178.94,179.31,1882400
GS,2020-08-07,178.63,183.3,177.72,182.83,3075000
GS,2020-08-10,183.99,184.91,182.63,183.81,2432800
GS,2020-08-11,186.74,190.45,184.82,185.28,4042700
GS,2020-08-12,188.48,189.58,183.71,186.22,2439400
GS,2020-08-13,184.71,186.28,182.33,182.94,2219900
GS,2020-08-14,182.12,183.9,181.38,182.57,2287600
GS,2020-08-17,181.72,182.47,177.8,178.27,3922600
GS,2020-08-18,178.6,178.72,176.54,176.72,3067900
GS,2020-08-19,177.68,180.93,177.13,178.23,2458500
GS,2020-08-20,176.24,178.45,175.87,177.2,1764200
GS,2020-08-21,175.67,178.52,175.42,177.71,1780900
GS,2020-08-24,178.3,182.1,176.73,182.02,3097400
GS,2020-08-25,184.34,184.78,180.11,180.84,2627600
GS,2020-08-26,180.74,181.97,179.99,181.91,2563200
GS,2020-08-27,181.44,186.99,181.2,184.48,3692400
GS,2020-08-28,186.01,186.11,181.8,182.34,3697400
GS,2020-08-31,181.49,182.3,179.84,180.94,3046200
GS,2020-09-01,179.82,182.56,179.3,181.46,2457000
GS,2020-09-02,181.75,186.29,181.38,185.5,3565200
GS,2020-09-03,187.01,190.09,181.79,183.31,3533500
GS,2020-09-04,186.26,188.43,181.34,186.3,3668900
GS,2020-09-08,185.04,185.43,177.76,178.83,4574700
GS,2020-09-09,180.34,180.9,178.43,178.6,4681400
GS,2020-09-10,179.93,181.36,176.24,176.65,2510300
GS,2020-09-11,176.85,178.32,175.71,177.45,2376400
GS,2020-09-14,179.55,179.55,177.23,177.82,2756900
GS,2020-09-15,178.4,178.92,174.85,174.87,3717600
GS,2020-09-16,175.3,179.99,174.93,177.24,3571400
GS,2020-09-17,175.06,176.54,171.79,172.07,4274800
GS,2020-09-18,172.23,173.68,169.91,172.1,9066300
GS,2020-09-21,167.72,171.49,165.57,171.34,4871300
GS,2020-09-22,171.34,173.23,166.42,169.24,3355800
GS,2020-09-23,169.57,170.38,164.16,164.38,3116100
GS,2020-09-24,166.9,174.39,165.2,172.32,5114600
GS,2020-09-25,170.42,172.57,167.46,172.18,3106000
GS,2020-09-28,174.68,178.29,174.12,175.82,3280100
GS,2020-09-29,175.01,175.55,172.6,173.8,2400000
GS,2020-09-30,175.47,179.36,175.19,177.49,3075800
GS,2020-10-01,177.99,179.4,174.76,175.36,2288700
GS,2020-10-02,172.52,177.26,172.48,176.55,2541200
GS,2020-10-05,178.34,179.15,176.28,178.23,2551600
GS,2020-10-06,180.39,182.02,176.55,177.6,2833100
GS,2020-10-07,180.08,181.05,177.67,179.82,2326600
GS,2020-10-08,181.19,183.84,180.27,183.69,2330600
GS,2020-10-09,184.37,185.3,182.0,183.3,3040900
GS,2020-10-12,183.18,189.79,183.18,189.11,3474200
GS,2020-10-13,189.01,189.1,184.74,186.18,3317300
