ticker,date,open,high,low,close,volume
HD,2020-01-02,189.49,190.08,188.42,189.99,3935700
HD,2020-01-03,187.81,190.01,187.47,189.36,3423200
HD,2020-01-06,187.25,190.28,187.17,190.25,5682800
HD,2020-01-07,189.85,190.77,187.6,189.0,5685400
HD,2020-01-08,189.25,192.85,189.13,191.83,4916200
HD,2020-01-09,192.57,195.08,191.88,194.77,4843600
HD,2020-01-10,194.39,195.03,192.9,193.93,4226600
HD,2020-01-13,194.18,194.18,192.6,193.17,6060900
HD,2020-01-14,192.43,194.56,192.28,192.71,3915100
HD,2020-01-15,192.26,194.59,192.13,194.25,3444300
HD,2020-01-16,195.41,197.95,194.95,197.91,5390800
HD,2020-01-17,198.6,201.18,197.99,200.58,7979200
HD,2020-01-21,200.26,202.1,199.85,201.48,4873500
HD,2020-01-22,202.21,204.58,201.42,201.44,4030800
HD,2020-01-23,200.77,203.1,199.49,202.09,4617900
HD,2020-01-24,202.79,203.63,199.42,200.66,4467500
HD,2020-01-27,197.38,201.07,197.38,199.96,3595600
HD,2020-01-28,200.51,203.47,200.1,202.27,3621900
HD,2020-01-29,203.17,204.02,201.87,202.41,2564000
HD,2020-01-30,200.66,201.79,200.29,201.35,4685700
HD,2020-01-31,201.49,201.73,197.11,197.29,5304700
HD,2020-02-03,199.19,201.99,198.37,200.26,5100900
HD,2020-02-04,202.42,204.43,202.42,203.26,3505100
HD,2020-02-05,205.07,206.13,204.0,205.95,3868600
HD,2020-02-06,205.85,207.07,205.4,206.58,3930300
HD,2020-02-07,206.58,207.18,204.57,205.25,2456100
HD,2020-02-10,204.64,208.11,204.28,208.11,2568000
HD,2020-02-11,208.11,209.7,207.75,209.0,2692400
HD,2020-02-12,209.42,209.57,206.58,208.96,3592100
HD,2020-02-13,208.42,210.7,207.93,209.62,2468100
HD,2020-02-14,210.56,212.08,209.86,211.93,2841600
HD,2020-02-18,211.77,212.87,210.32,210.99,2892600
HD,2020-02-19,211.83,212.34,210.19,210.73,2713300
HD,2020-02-20,210.77,213.74,209.44,213.65,3701800
HD,2020-02-21,213.2,213.95,211.04,212.2,3881100
