ticker,date,open,high,low,close,volume
INTC,2020-01-02,53.14,53.78,53.12,53.67,18056000
INTC,2020-01-03,52.76,53.54,52.76,53.01,15293900
INTC,2020-01-06,52.56,53.1,52.33,52.86,17755200
INTC,2020-01-07,52.73,52.75,51.95,51.98,21876100
INTC,2020-01-08,51.95,52.33,51.62,52.02,23133500
INTC,2020-01-09,52.09,52.49,51.89,52.31,18813300
INTC,2020-01-10,52.55,53.0,51.93,51.99,15200600
INTC,2020-01-13,52.19,52.73,52.11,52.56,16453300
INTC,2020-01-14,52.48,52.7,52.21,52.42,17051200
INTC,2020-01-15,52.31,52.62,51.82,51.99,18498800
INTC,2020-01-16,52.27,52.78,52.11,52.63,21365500
INTC,2020-01-17,52.91,52.93,52.26,52.57,21803400
INTC,2020-01-21,52.76,54.03,52.74,53.41,28358500
INTC,2020-01-22,53.84,55.44,53.78,55.33,29475100
INTC,2020-01-23,55.45,56.2,55.4,55.85,42778700
INTC,2020-01-24,58.72,61.12,58.62,60.4,84711000
INTC,2020-01-27,58.85,59.47,57.87,57.94,30764000
INTC,2020-01-28,58.66,59.61,58.17,59.37,30915400
INTC,2020-01-29,59.66,60.04,58.37,58.51,18055800
INTC,2020-01-30,57.9,58.66,57.27,58.63,18522400
INTC,2020-01-31,58.04,58.2,56.16,56.39,25268400
INTC,2020-02-03,56.86,57.37,56.72,56.82,16646600
INTC,2020-02-04,58.02,58.27,57.27,57.74,20970800
INTC,2020-02-05,58.83,59.63,58.33,59.4,23401400
INTC,2020-02-06,59.66,59.75,59.19,59.47,17408000
INTC,2020-02-07,59.27,59.66,58.51,58.52,18134600
INTC,2020-02-10,58.11,58.86,58.01,58.85,22299300
INTC,2020-02-11,59.24,60.02,59.01,59.75,17975600
INTC,2020-02-12,59.92,60.36,59.67,59.8,15586600
INTC,2020-02-13,59.38,59.97,59.16,59.78,11602700
INTC,2020-02-14,59.85,60.15,59.23,59.63,13405500
INTC,2020-02-18,59.09,59.12,58.4,58.63,12758400
INTC,2020-02-19,58.85,59.57,58.66,59.49,13551200
INTC,2020-02-20,59.43,59.65,57.23,58.02,26452600
INTC,2020-02-21,57.78,57.84,56.77,57.03,20775900
INTC,2020-02-24,54.61,55.64,54.36,54.75,26903100
INTC,2020-02-25,54.95,55.21,52.71,52.95,34495700
INTC,2020-02-26,53.28,53.91,52.54,52.88,26190100
INTC,2020-02-27,51.35,51.87,49.46,49.49,42226900
INTC,2020-02-28,48.13,49.98,47.51,49.21,60721700
INTC,2020-03-02,49.45,51.61,48.33,51.57,43140300
INTC,2020-03-03,51.44,52.32,49.11,49.61,49740300
INTC,2020-03-04,50.54,52.04,49.78,52.02,29223100
INTC,2020-03-05,50.58,52.0,50.18,50.49,29099200
INTC,2020-03-06,48.91,49.65,48.35,49.44,36259200
INTC,2020-03-09,46.02,46.72,44.32,45.08,56197000
INTC,2020-03-10,46.77,47.87,44.7,47.85,36569000
INTC,2020-03-11,46.44,47.46,45.22,45.79,38563500
INTC,2020-03-12,42.54,44.4,40.22,40.37,50661700
INTC,2020-03-13,42.78,48.75,42.32,48.25,48805100
INTC,2020-03-16,42.11,46.32,38.68,39.54,53878900
INTC,2020-03-17,40.56,45.77,40.07,44.39,52085200
INTC,2020-03-18,41.41,44.37,40.07,42.2,49309900
INTC,2020-03-19,42.41,43.64,40.03,40.72,44538000
INTC,2020-03-20,41.23,43.81,40.31,40.63,52344000
INTC,2020-03-23,40.79,44.76,40.7,43.95,46698500
INTC,2020-03-24,47.11,48.43,45.52,46.45,50019800
INTC,2020-03-25,46.52,47.68,44.24,45.44,41106100
INTC,2020-03-26,45.86,49.6,45.79,49.23,41459800
INTC,2020-03-27,47.35,48.43,46.16,46.42,31633500
INTC,2020-03-30,46.97,49.73,46.83,49.19,31628600
INTC,2020-03-31,48.81,49.46,47.18,47.97,48074700
INTC,2020-04-01,46.54,48.48,45.59,45.99,29586600
INTC,2020-04-02,45.47,48.36,45.4,48.18,27810000
INTC,2020-04-03,47.73,48.87,46.74,47.98,23906100
INTC,2020-04-06,50.2,52.1,49.75,51.79,32323400
INTC,2020-04-07,53.13,54.51,51.6,51.77,41410000
INTC,2020-04-08,52.29,52.75,51.33,52.28,26719500
INTC,2020-04-09,52.62,52.94,49.69,50.65,40499700
INTC,2020-04-13,50.15,52.1,50.15,52.03,23251900
INTC,2020-04-14,53.22,53.98,52.75,53.77,25674000
INTC,2020-04-15,52.96,53.04,51.76,52.18,22841600
INTC,2020-04-16,52.84,54.04,52.13,53.89,24433500
INTC,2020-04-17,54.98,55.07,53.04,53.51,27385600
INTC,2020-04-20,52.55,53.22,52.2,52.46,26420300
INTC,2020-04-21,51.51,51.95,49.58,49.96,25248000
INTC,2020-04-22,51.65,53.63,51.24,53.27,23350400
INTC,2020-04-23,52.89,53.27,52.13,52.34,35092000
INTC,2020-04-24,49.82,52.65,49.73,52.53,50187000
INTC,2020-04-27,52.94,53.04,51.76,52.72,25902200
