ticker,date,open,high,low,close,volume
JNJ,2020-01-02,123.21,123.33,122.54,123.29,5777000
JNJ,2020-01-03,121.2,122.78,120.78,121.86,5752400
JNJ,2020-01-06,121.63,121.8,120.65,121.71,7731300
JNJ,2020-01-07,121.63,122.85,119.41,122.45,7382900
JNJ,2020-01-08,122.36,123.3,121.37,122.44,6605800
JNJ,2020-01-09,123.11,123.34,122.46,122.8,6112700
JNJ,2020-01-10,123.1,123.47,122.39,122.52,5042600
JNJ,2020-01-13,122.88,123.14,122.23,123.06,4593200
JNJ,2020-01-14,122.51,123.83,122.24,123.75,7037500
JNJ,2020-01-15,123.65,124.5,123.52,124.17,4960300
JNJ,2020-01-16,124.51,125.71,123.48,125.17,6476000
JNJ,2020-01-17,125.35,126.2,124.95,125.99,9083600
JNJ,2020-01-21,125.49,126.84,125.43,126.08,9543900
JNJ,2020-01-22,123.91,126.0,123.32,125.22,10305300
JNJ,2020-01-23,125.04,125.66,123.96,125.45,8671900
JNJ,2020-01-24,125.49,125.81,124.95,125.28,9051900
JNJ,2020-01-27,124.6,126.24,124.16,125.64,7587100
JNJ,2020-01-28,125.39,127.18,125.13,126.27,7336600
JNJ,2020-01-29,126.23,127.7,125.96,127.15,6288600
JNJ,2020-01-30,126.72,127.12,125.89,127.0,6470600
JNJ,2020-01-31,126.48,126.69,125.55,125.74,8651700
JNJ,2020-02-03,126.2,127.11,126.05,126.84,5765200
JNJ,2020-02-04,127.95,129.02,127.71,128.05,6541400
JNJ,2020-02-05,128.15,130.09,127.8,130.06,5979900
JNJ,2020-02-06,130.28,130.49,129.01,129.68,6201200
JNJ,2020-02-07,129.52,129.62,128.0,128.29,5700300
JNJ,2020-02-10,128.11,128.31,127.45,128.27,4835600
JNJ,2020-02-11,128.63,128.7,127.99,128.37,3715300
JNJ,2020-02-12,128.27,128.51,127.47,127.61,5166800
JNJ,2020-02-13,126.83,127.57,126.59,126.77,5480200
JNJ,2020-02-14,127.17,127.23,125.98,126.8,5716300
JNJ,2020-02-18,127.09,127.32,125.9,125.97,7230700
JNJ,2020-02-19,126.03,126.49,125.49,125.8,6115200
JNJ,2020-02-20,125.52,126.17,124.5,125.32,7464700
JNJ,2020-02-21,125.08,126.9,124.62,126.63,7776800
JNJ,2020-02-24,124.53,126.65,123.46,124.03,10588900
JNJ,2020-02-25,124.09,124.74,122.26,122.95,10529000
JNJ,2020-02-26,123.55,124.29,122.05,122.13,10093800
JNJ,2020-02-27,121.18,123.06,118.11,118.25,12566700
JNJ,2020-02-28,115.06,116.7,111.2,114.31,19820300
JNJ,2020-03-02,114.56,119.11,113.91,119.02,11508200
JNJ,2020-03-03,119.0,119.84,113.14,115.25,13662500
JNJ,2020-03-04,117.03,122.1,116.57,121.96,10560500
JNJ,2020-03-05,119.68,121.28,118.87,120.71,11339200
JNJ,2020-03-06,117.71,121.56,116.8,120.73,12239100
JNJ,2020-03-09,115.88,118.73,114.67,115.98,13848600
JNJ,2020-03-10,118.98,120.66,114.1,120.4,12698100
JNJ,2020-03-11,117.38,117.94,111.78,112.03,17763400
JNJ,2020-03-12,108.22,113.7,105.83,106.6,21539200
JNJ,2020-03-13,109.92,114.68,105.95,114.15,20084200
JNJ,2020-03-16,105.04,113.7,104.07,108.06,18877900
JNJ,2020-03-17,109.27,116.26,108.64,116.1,18911800
JNJ,2020-03-18,111.37,115.32,109.41,114.72,17521100
JNJ,2020-03-19,114.74,114.74,107.23,107.99,18482300
JNJ,2020-03-20,107.81,108.33,100.41,101.91,19785100
JNJ,2020-03-23,99.45,100.78,92.79,94.47,20815200
JNJ,2020-03-24,100.95,101.7,96.78,101.3,17604800
JNJ,2020-03-25,101.08,105.37,99.2,101.49,13986100
JNJ,2020-03-26,102.49,108.04,102.32,107.59,15066800
JNJ,2020-03-27,103.4,108.48,102.49,104.69,12133200
JNJ,2020-03-30,109.19,113.89,108.38,113.06,21754000
JNJ,2020-03-31,114.74,115.36,110.54,111.46,15746100
JNJ,2020-04-01,108.55,110.7,106.68,109.49,12606100
JNJ,2020-04-02,109.75,113.9,108.14,113.18,11594500
JNJ,2020-04-03,112.52,114.57,111.84,114.05,10071200
JNJ,2020-04-06,116.46,119.83,115.21,118.8,14994400
JNJ,2020-04-07,118.88,120.73,116.67,116.86,11567100
JNJ,2020-04-08,117.09,122.51,116.71,121.77,10758200
JNJ,2020-04-09,122.41,123.61,119.24,120.05,11125400
JNJ,2020-04-13,119.0,120.27,117.17,118.81,8153200
JNJ,2020-04-14,123.61,125.31,122.44,124.13,13838000
JNJ,2020-04-15,123.72,125.73,122.01,125.51,11962300
JNJ,2020-04-16,126.07,128.08,124.48,127.22,12181700
JNJ,2020-04-17,129.19,129.46,127.16,129.22,10920000
JNJ,2020-04-20,128.29,130.05,127.58,128.92,12226200
JNJ,2020-04-21,127.6,128.9,126.29,127.23,9951100
JNJ,2020-04-22,129.89,131.75,128.97,130.04,11515600
JNJ,2020-04-23,131.11,133.45,130.65,132.19,10665000
JNJ,2020-04-24,132.24,132.86,130.6,131.63,8653400
JNJ,2020-04-27,131.59,132.64,130.9,131.15,8924000
JNJ,2020-04-28,128.56,130.14,128.1,128.68,8558700
JNJ,2020-04-29,128.67,128.89,126.79,127.71,9285200
JNJ,2020-04-30,126.19,127.87,125.09,127.54,14829600
JNJ,2020-05-01,127.18,127.22,124.77,126.05,7309000
JNJ,2020-05-04,126.46,126.72,125.03,126.03,7198400
JNJ,2020-05-05,126.65,128.16,126.35,127.08,6562300
JNJ,2020-05-06,127.5,127.77,125.84,125.87,6191600
