ticker,date,open,high,low,close,volume
LLY,2020-01-02,122.38,122.84,121.42,122.79,2204200
LLY,2020-01-03,121.02,123.03,120.95,122.38,1963500
LLY,2020-01-06,122.06,123.12,121.61,122.84,2102900
LLY,2020-01-07,122.32,123.46,122.32,123.07,2448300
LLY,2020-01-08,123.03,124.65,122.61,124.19,5188600
LLY,2020-01-09,124.97,126.65,124.46,126.24,4522800
LLY,2020-01-10,126.11,128.42,125.88,128.17,4177600
LLY,2020-01-13,128.36,130.02,128.07,129.04,5117100
LLY,2020-01-14,129.09,130.86,128.28,130.63,4685200
LLY,2020-01-15,130.57,131.6,130.04,131.06,3676500
LLY,2020-01-16,131.73,131.86,129.89,131.36,3794800
LLY,2020-01-17,130.85,131.64,129.43,129.64,5393200
LLY,2020-01-21,129.56,131.49,128.57,130.87,4849500
LLY,2020-01-22,131.19,132.12,130.67,131.48,2742100
LLY,2020-01-23,131.19,131.64,129.92,131.15,3138700
LLY,2020-01-24,131.75,131.88,128.82,129.16,3183300
LLY,2020-01-27,127.56,129.19,127.56,128.46,2826400
LLY,2020-01-28,128.81,129.92,128.38,129.34,2649100
LLY,2020-01-29,129.57,131.09,129.07,129.95,2815500
LLY,2020-01-30,128.34,133.48,128.26,132.51,5243400
LLY,2020-01-31,132.68,132.68,129.54,129.69,3913500
LLY,2020-02-03,130.52,131.49,129.73,130.96,5137800
LLY,2020-02-04,132.16,133.81,131.68,133.22,3177500
LLY,2020-02-05,134.47,136.86,134.24,136.85,4060900
LLY,2020-02-06,137.22,137.34,136.35,136.81,3285000
LLY,2020-02-07,136.73,136.73,135.03,135.98,2670400
LLY,2020-02-10,131.42,135.18,131.07,135.15,4892100
LLY,2020-02-11,135.35,135.47,132.98,133.98,2976400
LLY,2020-02-12,134.37,134.58,133.27,133.29,3953200
LLY,2020-02-13,133.37,134.19,132.37,132.38,3455500
LLY,2020-02-14,132.8,132.87,131.23,131.75,2273700
LLY,2020-02-18,131.65,132.53,131.2,131.65,2858200
LLY,2020-02-19,132.21,132.42,131.04,131.48,3082800
LLY,2020-02-20,132.22,133.33,131.82,132.57,3417000
LLY,2020-02-21,131.95,133.18,131.01,132.61,2900900
LLY,2020-02-24,130.03,132.19,128.71,128.98,4727400
LLY,2020-02-25,129.71,129.98,125.68,126.42,3401600
LLY,2020-02-26,127.0,127.92,124.46,124.66,4659000
LLY,2020-02-27,124.48,125.73,120.48,120.61,4292800
LLY,2020-02-28,117.99,118.38,113.44,117.75,7898300
LLY,2020-03-02,119.26,124.17,117.83,124.02,7355700
LLY,2020-03-03,124.43,126.64,120.14,121.66,6936600
LLY,2020-03-04,124.2,131.51,124.17,131.06,5301900
LLY,2020-03-05,129.19,132.49,128.4,130.84,6882100
LLY,2020-03-06,127.08,132.91,126.55,132.07,8010700
LLY,2020-03-09,125.12,131.57,124.46,126.71,5351300
LLY,2020-03-10,129.98,132.5,125.77,131.81,5961200
LLY,2020-03-11,130.2,132.42,128.27,130.72,7211800
LLY,2020-03-12,122.1,127.43,117.57,117.65,7836300
LLY,2020-03-13,124.12,130.11,119.98,130.11,6841700
LLY,2020-03-16,122.3,129.47,119.73,120.79,6619700
LLY,2020-03-17,124.36,134.05,122.39,133.69,8909200
LLY,2020-03-18,127.29,134.44,125.18,133.59,6734600
LLY,2020-03-19,133.03,133.48,122.41,124.25,6554800
LLY,2020-03-20,123.38,123.47,112.25,114.27,9113500
LLY,2020-03-23,112.92,118.45,109.29,111.14,7299300
LLY,2020-03-24,115.06,116.32,109.61,114.73,6827300
LLY,2020-03-25,112.14,117.76,111.29,113.84,6472100
LLY,2020-03-26,115.1,126.73,113.84,125.43,6723600
LLY,2020-03-27,121.97,128.47,121.55,125.2,4717400
LLY,2020-03-30,124.98,132.35,124.64,129.25,5057400
LLY,2020-03-31,127.86,132.59,125.59,129.51,7560100
LLY,2020-04-01,125.1,128.08,124.15,127.36,3297900
LLY,2020-04-02,126.36,133.32,124.2,132.74,4725000
LLY,2020-04-03,131.56,135.0,129.26,130.38,4013200
LLY,2020-04-06,132.82,133.97,130.98,132.21,4159900
LLY,2020-04-07,133.62,135.18,130.75,132.46,3900600
LLY,2020-04-08,132.62,137.47,131.17,136.51,4006600
LLY,2020-04-09,134.91,136.68,134.02,136.05,4415300
LLY,2020-04-13,135.34,136.85,133.39,134.83,2289000
LLY,2020-04-14,137.5,141.49,134.48,141.07,3809600
LLY,2020-04-15,139.05,143.21,138.65,141.14,3614400
LLY,2020-04-16,142.74,145.26,141.91,144.45,3512900
LLY,2020-04-17,145.1,147.2,142.87,146.84,3709900
LLY,2020-04-20,146.23,149.56,145.28,147.31,2562200
LLY,2020-04-21,145.09,145.45,141.35,142.53,4270200
LLY,2020-04-22,144.34,146.83,143.37,146.3,3278000
LLY,2020-04-23,146.74,151.76,143.77,149.31,5692900
LLY,2020-04-24,151.24,153.95,149.94,152.11,4414000
LLY,2020-04-27,153.11,153.58,150.05,150.58,3210300
LLY,2020-04-28,150.25,151.22,146.19,146.85,3270200
LLY,2020-04-29,147.28,147.53,144.4,144.86,3240700
