ticker,date,open,high,low,close,volume
MA,2020-01-02,290.07,293.03,289.14,292.9,3272400
MA,2020-01-03,289.1,291.96,288.27,290.04,2501300
MA,2020-01-06,287.08,290.91,285.78,290.81,3307200
MA,2020-01-07,291.31,292.89,289.51,289.83,3182000
MA,2020-01-08,290.77,296.73,290.51,294.94,3224400
MA,2020-01-09,298.02,300.59,297.77,298.81,3292600
MA,2020-01-10,301.21,301.56,298.46,300.81,2948000
MA,2020-01-13,302.83,305.13,302.48,304.72,3236400
MA,2020-01-14,305.65,305.89,299.54,300.3,4951400
MA,2020-01-15,301.8,305.22,300.68,303.79,4664200
MA,2020-01-16,306.93,309.67,304.5,309.64,3323300
MA,2020-01-17,310.73,313.24,308.61,312.88,4821000
MA,2020-01-21,311.68,314.82,310.79,311.21,5998600
MA,2020-01-22,314.13,315.91,313.33,313.51,3518500
MA,2020-01-23,314.18,314.42,311.59,314.16,4188300
MA,2020-01-24,315.7,316.2,310.95,312.89,3634700
MA,2020-01-27,304.61,308.73,302.1,305.26,4367500
MA,2020-01-28,305.29,310.82,304.96,309.61,3486200
MA,2020-01-29,312.25,313.64,306.22,309.66,4389400
MA,2020-01-30,308.38,313.89,307.42,313.66,3512100
MA,2020-01-31,312.38,313.66,304.03,305.42,5586800
MA,2020-02-03,308.19,314.64,307.83,313.72,4240100
MA,2020-02-04,317.31,320.7,315.43,318.16,4158200
MA,2020-02-05,323.85,323.85,313.38,317.39,3868000
MA,2020-02-06,318.36,320.2,316.77,318.34,3422000
MA,2020-02-07,317.08,318.87,315.02,316.11,2584200
MA,2020-02-10,314.78,319.28,314.67,319.28,3848100
MA,2020-02-11,323.85,324.35,318.68,319.9,3449300
MA,2020-02-12,319.81,323.32,318.26,323.03,2451000
MA,2020-02-13,321.25,326.58,321.07,324.66,3001000
MA,2020-02-14,326.23,329.69,325.81,329.6,2716300
MA,2020-02-18,330.25,331.68,329.06,329.88,3597300
MA,2020-02-19,332.54,335.68,331.22,333.09,3040300
MA,2020-02-20,334.23,335.69,326.91,332.98,4316000
MA,2020-02-21,331.15,332.44,324.44,328.39,4997100
MA,2020-02-24,306.94,318.38,303.39,313.86,7816000
MA,2020-02-25,310.64,312.47,290.75,292.81,12715700
MA,2020-02-26,291.95,297.64,287.97,288.12,9403300
MA,2020-02-27,275.54,287.55,271.59,276.3,13814600
MA,2020-02-28,265.74,280.72,264.44,280.59,12846000
MA,2020-03-02,288.94,296.74,279.8,296.53,9688100
MA,2020-03-03,304.12,304.12,281.15,282.28,8051100
MA,2020-03-04,289.15,292.72,283.0,292.29,6463800
MA,2020-03-05,285.86,288.77,278.64,281.05,6621300
MA,2020-03-06,273.28,279.23,269.34,277.45,7061500
MA,2020-03-09,256.18,269.94,252.48,253.29,8498300
MA,2020-03-10,267.22,271.52,254.11,271.23,8131400
MA,2020-03-11,263.86,264.92,254.54,260.78,8366800
MA,2020-03-12,236.39,253.75,232.91,233.46,15031500
MA,2020-03-13,250.16,261.04,237.33,261.02,9934900
MA,2020-03-16,226.68,249.15,221.63,227.8,12111500
MA,2020-03-17,232.47,242.16,224.24,229.96,12665200
MA,2020-03-18,214.94,221.47,206.12,220.34,11352800
MA,2020-03-19,216.55,230.56,204.51,219.59,9126400
MA,2020-03-20,228.16,228.16,203.01,204.38,10518600
MA,2020-03-23,196.51,208.5,193.33,196.53,11588700
MA,2020-03-24,208.73,230.5,207.84,229.18,11654800
MA,2020-03-25,239.65,257.43,232.36,247.94,12642700
MA,2020-03-26,249.31,256.96,244.21,254.42,9957900
MA,2020-03-27,241.91,247.54,236.55,239.41,7819300
MA,2020-03-30,237.66,245.79,236.5,244.82,5765800
MA,2020-03-31,244.05,244.98,233.05,233.52,10373900
MA,2020-04-01,223.25,229.21,219.54,221.0,6646200
MA,2020-04-02,220.79,231.4,219.78,230.93,6446600
MA,2020-04-03,229.09,231.89,222.64,229.14,4163000
MA,2020-04-06,243.61,258.22,241.69,257.09,8636700
MA,2020-04-07,272.23,273.45,249.87,250.45,8627300
MA,2020-04-08,254.16,263.23,250.68,262.33,5690100
