ticker,date,open,high,low,close,volume
MCD,2020-01-02,172.34,174.77,172.17,174.76,3554200
MCD,2020-01-03,173.55,174.56,173.08,174.15,2767600
MCD,2020-01-06,173.73,176.49,173.51,176.11,4660400
MCD,2020-01-07,175.7,176.41,174.52,176.37,4047400
MCD,2020-01-08,176.36,179.9,175.99,179.22,5284200
MCD,2020-01-09,180.05,182.23,179.39,181.34,5971600
MCD,2020-01-10,181.42,181.87,180.4,180.4,2336400
MCD,2020-01-13,180.5,180.85,179.09,179.74,2784200
MCD,2020-01-14,178.83,180.74,178.83,180.45,2622700
MCD,2020-01-15,180.45,183.09,180.45,182.58,3369400
MCD,2020-01-16,182.88,183.75,182.1,183.52,2726700
MCD,2020-01-17,184.02,185.19,183.96,184.5,3540400
MCD,2020-01-21,183.97,184.75,182.97,183.79,4100500
MCD,2020-01-22,185.53,185.97,184.01,184.03,2757400
MCD,2020-01-23,183.25,185.83,181.58,185.76,3378200
MCD,2020-01-24,186.42,186.42,183.56,183.86,3106300
MCD,2020-01-27,180.9,183.31,180.43,182.21,3389300
MCD,2020-01-28,182.69,184.7,182.66,183.12,3855200
MCD,2020-01-29,184.25,188.37,183.48,186.65,5734800
MCD,2020-01-30,186.26,188.65,185.24,188.16,3560700
MCD,2020-01-31,187.59,188.96,185.51,186.24,3920800
MCD,2020-02-03,187.12,188.77,186.46,187.29,3539200
MCD,2020-02-04,188.1,188.6,186.48,186.8,3367900
MCD,2020-02-05,187.69,187.81,185.4,186.58,2911400
MCD,2020-02-06,186.89,186.98,185.08,185.28,2903300
MCD,2020-02-07,185.01,185.25,183.73,184.18,2421600
MCD,2020-02-10,183.95,185.64,183.87,185.58,2318800
MCD,2020-02-11,186.26,187.88,185.96,187.77,2694500
MCD,2020-02-12,188.0,189.28,187.23,189.27,2844900
MCD,2020-02-13,188.62,190.08,188.17,189.24,2853400
MCD,2020-02-14,189.31,189.6,188.33,188.95,1720400
MCD,2020-02-18,187.93,188.91,187.72,188.13,2712600
MCD,2020-02-19,188.71,188.8,187.66,187.68,2229500
MCD,2020-02-20,188.13,188.57,185.2,187.2,2869400
MCD,2020-02-21,187.34,188.33,186.52,187.89,2791200
MCD,2020-02-24,183.29,187.29,182.88,185.84,4218800
MCD,2020-02-25,186.77,188.73,183.78,184.61,5053700
MCD,2020-02-26,185.3,186.75,182.56,182.87,4190800
MCD,2020-02-27,180.78,182.78,174.89,174.95,6406200
MCD,2020-02-28,171.66,173.8,165.37,170.06,11324000
MCD,2020-03-02,169.75,177.4,169.19,177.4,6154200
MCD,2020-03-03,176.92,180.13,172.68,174.74,5115200
MCD,2020-03-04,176.86,181.44,175.95,181.31,4260400
MCD,2020-03-05,177.48,178.59,171.95,173.7,4107200
MCD,2020-03-06,168.95,174.8,167.47,174.17,6360100
MCD,2020-03-09,164.37,170.32,161.24,163.66,7788500
MCD,2020-03-10,167.24,175.17,164.56,175.04,5835200
MCD,2020-03-11,168.98,171.44,162.76,164.88,5625100
MCD,2020-03-12,153.08,157.51,148.35,149.01,9079300
MCD,2020-03-13,156.13,157.19,147.32,155.14,8042600
MCD,2020-03-16,137.59,141.81,129.3,130.51,9341300
MCD,2020-03-17,129.64,130.92,118.24,129.29,13708200
MCD,2020-03-18,120.43,124.11,108.8,120.25,12627600
MCD,2020-03-19,118.41,135.61,112.29,130.94,12773400
MCD,2020-03-20,134.52,141.48,129.42,130.05,12000000
MCD,2020-03-23,125.2,134.19,119.55,120.08,10660400
MCD,2020-03-24,130.5,142.74,127.96,141.84,11678400
MCD,2020-03-25,144.51,150.08,139.45,142.74,9708700
MCD,2020-03-26,143.63,149.71,141.01,146.57,8259900
MCD,2020-03-27,142.57,148.66,139.45,143.65,6441400
MCD,2020-03-30,144.44,149.16,143.26,147.25,5621700
MCD,2020-03-31,146.12,148.46,144.51,144.82,4519900
MCD,2020-04-01,140.33,141.39,136.94,138.53,4668900
MCD,2020-04-02,135.75,141.84,135.75,141.45,4803200
MCD,2020-04-03,140.4,142.09,136.76,140.42,5050400
MCD,2020-04-06,148.19,155.78,147.35,155.06,8330900
MCD,2020-04-07,161.62,162.2,153.41,153.79,7848300
MCD,2020-04-08,153.28,157.14,152.48,155.45,5665700
MCD,2020-04-09,158.29,162.43,157.32,160.89,4901300
MCD,2020-04-13,160.0,160.15,154.94,157.75,3182500
MCD,2020-04-14,160.93,161.58,159.26,161.14,3863800
MCD,2020-04-15,156.55,158.5,155.26,155.76,4961500
MCD,2020-04-16,155.02,157.57,150.88,157.21,7120800
MCD,2020-04-17,159.68,163.61,157.85,162.99,6467600
MCD,2020-04-20,161.55,162.71,159.01,159.1,3856500
MCD,2020-04-21,155.35,157.12,154.23,155.53,4758300
MCD,2020-04-22,158.31,164.42,158.31,163.33,4243600
MCD,2020-04-23,163.04,164.07,158.81,159.44,5050100
MCD,2020-04-24,160.51,161.46,158.4,161.17,3319600
MCD,2020-04-27,162.16,164.98,161.83,162.81,4048200
MCD,2020-04-28,166.41,166.41,162.53,162.84,3805000
MCD,2020-04-29,165.12,166.77,163.68,164.5,3465200
MCD,2020-04-30,159.4,164.93,158.32,164.27,7127200
MCD,2020-05-01,161.15,162.5,159.53,159.98,3764800
MCD,2020-05-04,158.8,159.8,156.66,159.29,4027100
MCD,2020-05-05,160.74,161.03,156.87,156.98,3828400
MCD,2020-05-06,158.18,158.63,154.9,155.0,3916900
MCD,2020-05-07,157.21,159.02,156.16,158.63,3039600
MCD,2020-05-08,160.45,160.65,157.57,158.73,3411600
MCD,2020-05-11,157.1,160.17,156.35,158.42,2631300
MCD,2020-05-12,159.38,159.92,154.53,154.62,3610600
MCD,2020-05-13,154.3,154.65,149.78,151.36,4729100
MCD,2020-05-14,149.07,153.85,147.01,153.63,4868400
MCD,2020-05-15,151.56,153.02,150.36,152.23,6879600
MCD,2020-05-18,157.7,158.66,155.99,157.5,4653000
MCD,2020-05-19,157.75,158.93,155.96,157.27,3365000
MCD,2020-05-20,159.4,161.68,158.15,161.24,4920800
MCD,2020-05-21,161.31,162.45,159.5,162.1,2913600
MCD,2020-05-22,161.57,162.34,160.44,161.51,2475200
MCD,2020-05-26,166.05,166.99,161.36,161.89,3990900
MCD,2020-05-27,165.3,165.31,162.27,164.41,3993400
MCD,2020-05-28,165.9,166.83,163.54,165.3,3567600
MCD,2020-05-29,165.25,166.37,163.74,164.27,5717200
MCD,2020-06-01,164.62,165.61,163.64,165.23,2168200
