ticker,date,open,high,low,close,volume
MS,2020-01-02,42.14,42.85,42.12,42.83,7808000
MS,2020-01-03,42.16,42.35,41.84,42.14,6706000
MS,2020-01-06,41.71,42.01,41.53,41.99,7476700
MS,2020-01-07,42.01,42.13,41.74,41.91,4538100
MS,2020-01-08,41.94,42.63,41.9,42.45,6185200
MS,2020-01-09,42.94,43.01,42.65,42.85,7308000
MS,2020-01-10,42.92,43.19,42.73,42.97,7686800
MS,2020-01-13,42.97,43.44,42.86,43.44,8334200
MS,2020-01-14,43.67,43.83,43.36,43.51,9602000
MS,2020-01-15,43.2,43.57,42.89,43.57,11342500
MS,2020-01-16,46.13,47.21,45.8,46.46,34590700
MS,2020-01-17,46.31,47.39,46.24,47.34,15403900
MS,2020-01-21,45.99,46.49,45.42,46.03,20833900
MS,2020-01-22,46.24,46.51,45.97,45.98,10276800
MS,2020-01-23,45.45,45.8,45.11,45.71,10064500
MS,2020-01-24,45.71,45.77,44.53,44.9,9752000
MS,2020-01-27,43.62,44.19,43.51,43.71,10649100
MS,2020-01-28,44.28,44.81,43.94,44.46,9232900
MS,2020-01-29,44.84,44.9,44.18,44.18,9027800
MS,2020-01-30,43.59,44.62,43.41,44.59,8685900
MS,2020-01-31,44.08,44.14,42.99,43.3,11286900
MS,2020-02-03,43.61,44.4,43.56,43.58,8375100
MS,2020-02-04,44.53,45.24,44.51,44.76,9375100
MS,2020-02-05,45.45,45.69,45.05,45.56,8237500
MS,2020-02-06,45.92,45.97,45.24,45.58,6976900
MS,2020-02-07,45.24,45.66,45.09,45.59,7588000
MS,2020-02-10,45.3,45.87,45.25,45.86,5115100
MS,2020-02-11,46.18,46.6,46.14,46.21,7120800
MS,2020-02-12,46.58,46.94,46.49,46.54,7130000
MS,2020-02-13,46.23,46.39,45.98,46.34,5718400
MS,2020-02-14,46.31,46.49,46.01,46.26,4579300
MS,2020-02-18,46.23,46.36,45.52,46.0,6897800
MS,2020-02-19,46.28,46.75,45.97,46.65,6075300
MS,2020-02-20,44.74,45.99,44.4,44.53,58533500
MS,2020-02-21,44.32,44.4,43.16,43.43,29536400
MS,2020-02-24,41.68,41.83,40.77,41.16,28670400
MS,2020-02-25,41.41,41.55,39.4,39.79,25568400
MS,2020-02-26,39.95,40.22,38.85,39.14,22286100
MS,2020-02-27,37.9,39.11,37.41,37.62,26815200
MS,2020-02-28,36.35,37.74,36.2,37.31,36978800
MS,2020-03-02,37.37,38.51,36.79,38.51,23234100
MS,2020-03-03,38.42,38.87,36.34,36.79,30206600
MS,2020-03-04,37.41,37.55,36.63,37.48,21938100
