ticker,date,open,high,low,close,volume
MSFT,2020-01-02,150.76,152.61,150.33,152.51,22622100
MSFT,2020-01-03,150.32,151.87,150.08,150.61,21116200
MSFT,2020-01-06,149.14,151.06,148.6,151.0,20813700
MSFT,2020-01-07,151.27,151.6,149.37,149.62,21634100
MSFT,2020-01-08,150.9,152.68,149.97,152.0,27746500
MSFT,2020-01-09,153.66,154.02,152.89,153.9,21385000
MSFT,2020-01-10,154.59,154.97,153.04,153.19,20725900
MSFT,2020-01-13,153.59,155.06,153.11,155.03,21626500
MSFT,2020-01-14,155.14,155.34,153.55,153.94,23477400
MSFT,2020-01-15,154.4,155.66,154.36,154.94,21417900
MSFT,2020-01-16,156.05,157.84,155.74,157.78,23865400
MSFT,2020-01-17,158.96,159.01,157.07,158.66,34371700
MSFT,2020-01-21,158.26,159.69,158.02,158.09,29517200
MSFT,2020-01-22,158.94,159.03,157.31,157.33,24138800
MSFT,2020-01-23,157.79,158.37,156.92,158.3,19680800
MSFT,2020-01-24,159.05,159.07,156.14,156.7,24918100
MSFT,2020-01-27,153.01,155.13,152.11,154.08,32078100
MSFT,2020-01-28,155.51,157.39,154.83,157.1,24899900
MSFT,2020-01-29,159.36,160.22,157.32,159.55,34754500
MSFT,2020-01-30,165.26,165.26,162.16,164.05,51597500
MSFT,2020-01-31,163.51,163.69,161.01,161.63,36142700
MSFT,2020-02-03,161.82,165.68,161.79,165.57,30107000
MSFT,2020-02-04,168.19,171.51,167.4,171.02,36433300
MSFT,2020-02-05,174.73,174.89,169.4,170.81,39186300
MSFT,2020-02-06,171.83,174.53,170.96,174.35,27751400
MSFT,2020-02-07,173.61,176.25,173.26,174.6,33529100
MSFT,2020-02-10,174.31,179.3,173.99,179.17,35844300
MSFT,2020-02-11,181.02,181.07,174.23,175.12,53159900
MSFT,2020-02-12,176.2,176.46,172.66,175.38,47062900
MSFT,2020-02-13,173.83,176.82,173.63,174.43,35295800
MSFT,2020-02-14,173.99,176.04,173.42,175.99,23149500
MSFT,2020-02-18,176.23,178.22,176.13,177.77,27792200
MSFT,2020-02-19,179.05,179.16,177.53,178.3,29997500
MSFT,2020-02-20,177.99,178.28,172.42,175.58,36862400
MSFT,2020-02-21,174.39,174.71,168.76,170.03,48572600
MSFT,2020-02-24,159.73,166.18,155.41,162.7,68311100
MSFT,2020-02-25,165.85,166.46,159.62,160.02,68073300
MSFT,2020-02-26,161.58,164.96,160.15,162.01,56206100
MSFT,2020-02-27,155.49,159.03,150.41,150.6,93174900
MSFT,2020-02-28,145.11,155.86,144.72,154.25,97012700
MSFT,2020-03-02,157.39,164.63,154.53,164.51,71030800
MSFT,2020-03-03,165.47,166.61,154.48,156.63,71677000
MSFT,2020-03-04,160.42,162.52,157.68,162.38,49814400
MSFT,2020-03-05,158.09,162.68,157.75,158.3,47817300
MSFT,2020-03-06,154.82,155.29,148.52,153.83,72821100
MSFT,2020-03-09,143.76,150.19,142.81,143.4,70419300
MSFT,2020-03-10,150.58,153.31,145.27,153.21,65354400
MSFT,2020-03-11,149.6,150.14,143.91,146.27,56371600
MSFT,2020-03-12,138.34,146.11,131.94,132.4,93226400
MSFT,2020-03-13,140.43,154.15,133.99,151.22,92727400
MSFT,2020-03-16,133.29,142.19,128.53,128.93,87905900
MSFT,2020-03-17,133.29,140.43,128.53,139.55,81059800
MSFT,2020-03-18,131.39,139.0,128.55,133.67,81593200
MSFT,2020-03-19,135.93,142.95,132.34,135.87,85922700
MSFT,2020-03-20,139.0,140.05,129.35,130.77,84866200
MSFT,2020-03-23,130.44,133.83,126.17,129.46,78975200
