ticker,date,open,high,low,close,volume
NKE,2020-01-02,93.5,94.28,93.18,94.27,5644100
NKE,2020-01-03,92.79,94.09,92.53,94.01,4541800
NKE,2020-01-06,93.12,93.94,93.05,93.93,4612400
NKE,2020-01-07,93.91,94.77,92.99,93.89,6719900
NKE,2020-01-08,93.45,94.22,93.03,93.67,4942200
NKE,2020-01-09,94.03,94.47,93.53,93.61,5007500
NKE,2020-01-10,93.99,94.02,92.94,93.07,5135300
NKE,2020-01-13,93.17,94.4,93.0,94.24,6722400
NKE,2020-01-14,94.5,95.83,94.41,94.94,5088500
NKE,2020-01-15,95.24,95.66,94.53,94.82,4209200
NKE,2020-01-16,94.9,95.54,94.87,95.35,6571700
NKE,2020-01-17,95.41,96.44,95.32,96.42,6271200
NKE,2020-01-21,96.16,96.57,95.76,96.47,4854700
NKE,2020-01-22,96.86,97.43,96.32,96.39,5031400
NKE,2020-01-23,95.96,96.27,94.66,95.03,7102900
NKE,2020-01-24,95.56,95.83,93.78,94.12,3839300
NKE,2020-01-27,90.59,92.9,90.41,92.47,9841400
NKE,2020-01-28,92.56,93.21,91.8,92.62,5673200
NKE,2020-01-29,93.23,93.44,91.48,92.1,4503700
NKE,2020-01-30,91.34,92.01,89.82,90.57,7065100
NKE,2020-01-31,90.5,90.81,88.48,88.83,8780300
NKE,2020-02-03,91.32,93.09,90.92,91.57,9727000
NKE,2020-02-04,94.01,94.81,93.41,93.52,6559600
NKE,2020-02-05,93.87,94.06,91.81,92.74,6108300
NKE,2020-02-06,93.07,93.66,92.39,92.49,5641800
NKE,2020-02-07,92.07,92.61,91.29,91.73,4121800
NKE,2020-02-10,91.52,92.71,91.32,92.26,4213900
NKE,2020-02-11,92.31,92.57,91.73,92.26,4871800
NKE,2020-02-12,92.93,95.09,92.65,95.01,8075600
NKE,2020-02-13,94.56,95.69,93.79,95.35,5386800
NKE,2020-02-14,95.5,95.83,94.5,95.51,4305300
NKE,2020-02-18,95.01,95.36,93.73,94.09,4916200
NKE,2020-02-19,94.7,95.37,94.49,94.51,6200500
NKE,2020-02-20,94.51,94.67,92.75,94.58,6427600
NKE,2020-02-21,94.09,94.16,91.9,92.47,5750900
NKE,2020-02-24,88.13,89.54,87.86,88.47,8364200
NKE,2020-02-25,88.88,89.26,85.44,85.69,9602100
NKE,2020-02-26,85.86,87.31,84.86,84.86,9308400
NKE,2020-02-27,83.02,85.84,81.64,81.68,12825700
NKE,2020-02-28,79.58,82.76,78.76,82.68,16552400
NKE,2020-03-02,82.88,86.15,81.32,85.73,14102000
NKE,2020-03-03,85.78,87.86,83.78,84.11,14767600
NKE,2020-03-04,85.17,86.78,84.03,86.76,6904400
NKE,2020-03-05,84.42,84.8,83.19,83.79,8851100
NKE,2020-03-06,81.73,82.69,79.44,81.73,12336400
NKE,2020-03-09,75.75,80.23,74.85,77.8,13272700
NKE,2020-03-10,80.19,81.77,76.66,81.68,12755900
NKE,2020-03-11,77.7,78.28,75.91,77.7,16172000
NKE,2020-03-12,72.36,72.6,67.52,68.63,21534800
NKE,2020-03-13,72.33,72.33,66.38,69.91,21859600
NKE,2020-03-16,60.38,67.5,58.62,61.78,17976700
NKE,2020-03-17,62.45,67.83,57.72,64.6,17122100
NKE,2020-03-18,59.93,63.21,55.5,62.94,19498800
NKE,2020-03-19,62.01,67.26,59.34,65.06,16177200
NKE,2020-03-20,66.15,68.51,62.16,62.39,15761900
NKE,2020-03-23,60.12,61.86,56.04,58.09,17690000
NKE,2020-03-24,60.77,67.21,59.2,66.91,18849500
NKE,2020-03-25,74.1,77.23,70.48,73.08,27053200
NKE,2020-03-26,74.16,80.35,74.01,77.98,17200800
NKE,2020-03-27,75.57,79.31,73.55,76.99,14183400
NKE,2020-03-30,77.7,79.51,75.39,78.98,10960100
NKE,2020-03-31,78.75,79.3,76.22,76.53,9610100
NKE,2020-04-01,73.53,75.09,72.64,73.29,9771300
NKE,2020-04-02,73.07,75.48,71.37,74.13,12731300
NKE,2020-04-03,73.41,73.81,72.07,72.95,8476900
NKE,2020-04-06,75.77,78.66,75.12,78.28,11266500
NKE,2020-04-07,82.05,82.2,77.73,77.85,10468100
NKE,2020-04-08,78.35,79.34,77.34,78.9,6642700
NKE,2020-04-09,80.19,80.84,78.77,80.28,7773600
NKE,2020-04-13,79.36,79.54,77.83,78.13,5077600
NKE,2020-04-14,79.5,81.19,79.07,80.91,6397200
NKE,2020-04-15,78.5,79.44,77.43,78.66,8053900
NKE,2020-04-16,79.02,80.04,78.21,79.83,9373800
NKE,2020-04-17,82.32,83.48,81.73,83.17,8111400
NKE,2020-04-20,81.8,82.73,80.96,81.31,7244400
NKE,2020-04-21,79.54,80.38,78.71,78.81,6597000
NKE,2020-04-22,80.46,82.73,79.94,82.11,6463000
NKE,2020-04-23,82.27,82.82,80.72,80.8,5343500
NKE,2020-04-24,82.22,82.44,81.08,81.74,4450100
NKE,2020-04-27,81.75,83.13,80.76,82.67,6875100
NKE,2020-04-28,83.76,83.91,81.98,82.14,5145400
