ticker,date,open,high,low,close,volume
OXY,2020-01-02,38.0,38.96,37.95,38.86,13066400
OXY,2020-01-03,39.99,40.39,39.4,39.8,15097400
OXY,2020-01-06,40.14,41.48,39.88,41.12,16659700
OXY,2020-01-07,41.14,41.33,40.32,41.32,12084800
OXY,2020-01-08,41.56,41.78,40.41,41.05,12250900
OXY,2020-01-09,40.93,41.44,39.95,41.41,14635000
OXY,2020-01-10,41.3,42.18,41.04,41.89,10540000
OXY,2020-01-13,42.22,42.54,41.55,42.5,8456100
OXY,2020-01-14,42.76,43.29,42.63,43.12,12183900
OXY,2020-01-15,43.03,43.36,42.71,43.13,7085700
OXY,2020-01-16,43.08,43.43,42.55,42.6,9757600
OXY,2020-01-17,42.67,42.91,41.66,41.83,14379300
OXY,2020-01-21,41.41,41.48,40.44,40.45,10814200
OXY,2020-01-22,40.16,40.2,39.14,39.51,12953200
OXY,2020-01-23,38.9,39.01,38.52,38.81,10789800
OXY,2020-01-24,38.76,38.96,38.19,38.53,8797600
OXY,2020-01-27,37.44,37.79,37.14,37.64,9303900
OXY,2020-01-28,38.0,38.02,37.53,37.6,7206400
OXY,2020-01-29,37.7,37.9,36.93,36.94,6653900
OXY,2020-01-30,36.45,37.12,35.98,37.05,9509100
OXY,2020-01-31,36.6,36.84,36.04,36.25,16035700
OXY,2020-02-03,36.23,36.89,36.0,36.58,8727900
OXY,2020-02-04,37.37,37.82,36.86,36.96,7859600
OXY,2020-02-05,37.67,38.68,37.61,38.44,8613200
OXY,2020-02-06,38.62,38.74,37.94,38.44,6201500
OXY,2020-02-07,38.06,38.33,37.85,38.23,5030100
OXY,2020-02-10,37.87,37.93,36.67,36.96,7915400
OXY,2020-02-11,38.47,38.66,37.46,37.58,12132300
OXY,2020-02-12,38.7,38.89,38.13,38.78,8214600
OXY,2020-02-13,38.42,38.68,37.9,38.37,8402000
OXY,2020-02-14,38.4,38.55,37.69,37.97,6401500
OXY,2020-02-18,37.97,38.05,37.4,37.93,9519200
OXY,2020-02-19,38.21,38.99,37.9,38.8,7536300
OXY,2020-02-20,38.97,39.79,38.75,39.22,7728900
OXY,2020-02-21,38.84,38.85,38.18,38.44,8921100
OXY,2020-02-24,36.96,37.01,36.03,36.03,12503100
OXY,2020-02-25,36.09,36.16,32.86,33.03,22058600
OXY,2020-02-26,33.1,33.26,31.21,31.23,22683000
OXY,2020-02-27,30.27,30.64,28.44,29.03,23516900
OXY,2020-02-28,28.73,29.92,27.05,29.88,24168100
OXY,2020-03-02,30.65,30.72,28.93,30.07,17223700
OXY,2020-03-03,30.16,31.61,29.49,30.11,19991600
OXY,2020-03-04,30.35,30.35,29.1,30.06,14006600
OXY,2020-03-05,29.66,29.9,28.38,28.73,19218000
OXY,2020-03-06,27.53,27.57,23.98,24.52,38969100
OXY,2020-03-09,14.65,18.05,11.32,11.76,104930300
OXY,2020-03-10,14.48,14.58,11.83,13.48,110525300
OXY,2020-03-11,12.34,12.6,11.0,11.1,70436000
OXY,2020-03-12,9.62,13.95,8.88,11.18,73141800
OXY,2020-03-13,12.52,13.69,10.9,13.41,64910400
OXY,2020-03-16,10.72,12.86,10.53,11.3,37309700
OXY,2020-03-17,11.64,12.05,10.39,10.66,34731500
OXY,2020-03-18,9.83,10.19,8.46,9.9,41257200
OXY,2020-03-19,9.79,10.33,8.84,10.18,38092500
OXY,2020-03-20,10.48,10.51,8.98,9.62,50833300
OXY,2020-03-23,9.64,9.68,8.91,9.11,36784000
OXY,2020-03-24,9.78,10.13,9.12,10.08,42020600
OXY,2020-03-25,10.58,11.89,9.61,11.28,55409600
OXY,2020-03-26,11.33,14.38,11.28,12.06,70253700
OXY,2020-03-27,11.32,11.64,10.8,10.92,34675600
OXY,2020-03-30,10.64,10.77,9.59,10.35,44717600
OXY,2020-03-31,10.83,11.36,10.45,10.89,35568400
OXY,2020-04-01,10.38,10.5,9.52,10.1,39837200
OXY,2020-04-02,10.8,13.08,10.53,12.01,79141600
OXY,2020-04-03,13.01,13.35,10.82,12.22,92062300
OXY,2020-04-06,11.85,12.69,11.69,12.64,52068100
OXY,2020-04-07,13.33,14.29,12.81,13.01,54728600
OXY,2020-04-08,13.35,14.74,13.21,14.63,48988600
OXY,2020-04-09,15.7,17.18,13.42,14.44,110464100
OXY,2020-04-13,15.01,15.06,13.89,14.42,43697500
OXY,2020-04-14,14.48,14.88,13.77,14.01,40661000
OXY,2020-04-15,13.07,13.07,12.22,12.8,47465200
OXY,2020-04-16,12.82,12.85,11.43,11.47,40453900
OXY,2020-04-17,11.59,12.84,11.52,12.82,51691000
OXY,2020-04-20,11.32,12.43,11.19,11.84,74975500
OXY,2020-04-21,11.28,11.65,10.81,11.6,62591200
OXY,2020-04-22,12.3,12.57,11.99,12.24,44530500
OXY,2020-04-23,12.62,13.54,12.56,13.04,55054600
OXY,2020-04-24,13.33,13.64,12.68,12.99,40991300
OXY,2020-04-27,12.55,13.44,11.99,13.31,39972500
OXY,2020-04-28,13.6,14.35,13.45,14.27,46179400
OXY,2020-04-29,14.99,15.87,14.88,15.78,59582800
OXY,2020-04-30,15.88,16.21,14.9,15.61,44491700
OXY,2020-05-01,15.06,15.44,14.19,14.33,36902400
OXY,2020-05-04,13.51,14.64,13.32,14.59,37197400
OXY,2020-05-05,15.48,15.81,14.11,14.41,49502200
OXY,2020-05-06,14.58,15.01,12.59,12.6,57659000
OXY,2020-05-07,13.03,13.65,12.88,13.05,35565400
OXY,2020-05-08,13.46,14.15,13.26,14.12,31255200
OXY,2020-05-11,14.0,14.34,13.77,14.13,22899400
OXY,2020-05-12,14.35,14.46,13.69,13.71,27103700
OXY,2020-05-13,13.78,13.78,12.49,12.64,35258100
OXY,2020-05-14,12.37,13.31,11.99,12.94,32064000
OXY,2020-05-15,12.87,13.43,12.7,13.0,27756400
OXY,2020-05-18,13.92,14.32,13.79,14.17,39883800
OXY,2020-05-19,14.28,14.28,13.5,13.51,28708600
OXY,2020-05-20,13.86,14.25,13.69,14.1,29203100
OXY,2020-05-21,14.11,14.26,13.34,13.4,35671400
OXY,2020-05-22,13.32,13.39,12.85,13.29,26334300
OXY,2020-05-26,13.82,13.89,13.36,13.54,28033000
OXY,2020-05-27,13.82,13.82,12.99,13.56,31403000
OXY,2020-05-28,13.53,13.57,12.75,12.83,39856900
OXY,2020-05-29,12.73,12.73,11.96,12.18,61295900
OXY,2020-06-01,12.13,13.07,11.91,12.99,36714900
OXY,2020-06-02,13.18,13.87,13.08,13.87,40165900
OXY,2020-06-03,14.43,14.68,14.14,14.53,41191600
OXY,2020-06-04,14.18,14.76,13.72,14.62,39027900
OXY,2020-06-05,16.83,19.61,16.75,19.55,119073400
OXY,2020-06-08,22.13,23.04,20.69,22.94,131285800
OXY,2020-06-09,21.39,22.06,19.26,21.8,71936800
OXY,2020-06-10,20.71,21.02,19.51,19.52,50740500
OXY,2020-06-11,16.78,18.04,16.23,16.37,61262900
OXY,2020-06-12,17.76,18.44,16.61,17.41,44937900
OXY,2020-06-15,16.32,18.31,16.09,17.92,46134000
OXY,2020-06-16,19.26,19.71,18.0,19.09,57505000
OXY,2020-06-17,18.73,18.86,17.91,17.91,38371600
OXY,2020-06-18,17.71,19.12,17.55,18.51,36051700
OXY,2020-06-19,19.48,19.72,18.51,18.55,70262400
OXY,2020-06-22,18.68,18.92,18.24,18.73,30116700
OXY,2020-06-23,19.06,19.31,18.47,18.62,33856800
OXY,2020-06-24,18.1,18.18,16.63,16.94,32322000
OXY,2020-06-25,16.75,17.78,16.51,17.44,23327600
OXY,2020-06-26,17.12,17.27,16.32,16.64,31831900
OXY,2020-06-29,16.79,16.95,16.32,16.8,24504500
OXY,2020-06-30,16.72,17.27,16.25,17.22,26525200
OXY,2020-07-01,17.24,17.72,16.38,16.38,32856700
OXY,2020-07-02,16.86,17.53,16.57,16.73,28133200
OXY,2020-07-06,17.13,17.44,16.73,17.11,23933200
OXY,2020-07-07,16.84,16.88,16.13,16.14,20117700
OXY,2020-07-08,16.25,16.44,15.72,16.26,20482300
OXY,2020-07-09,16.18,16.24,15.3,15.32,22124600
OXY,2020-07-10,15.11,15.76,15.01,15.72,17584200
OXY,2020-07-13,15.77,15.82,15.05,15.2,21665700
OXY,2020-07-14,15.01,15.77,14.82,15.69,19740500
OXY,2020-07-15,16.27,16.68,15.9,16.16,22801400
OXY,2020-07-16,15.9,16.37,15.59,16.0,15463000
OXY,2020-07-17,16.03,16.32,15.2,15.32,21065900
OXY,2020-07-20,15.29,15.48,14.75,14.76,21260200
OXY,2020-07-21,15.17,16.96,15.12,16.38,44440800
OXY,2020-07-22,16.11,16.13,15.67,15.95,16994300
OXY,2020-07-23,15.72,16.07,15.59,15.83,14044100
OXY,2020-07-24,15.83,16.26,15.65,15.75,12779100
OXY,2020-07-27,15.74,15.9,15.44,15.71,13963300
OXY,2020-07-28,15.51,15.79,15.35,15.38,12859500
OXY,2020-07-29,15.55,16.03,15.48,16.02,16384000
OXY,2020-07-30,15.57,15.65,14.82,14.84,29336400
OXY,2020-07-31,15.57,15.57,14.5,14.81,15439000
OXY,2020-08-03,14.82,14.83,14.21,14.35,22888000
OXY,2020-08-04,14.25,15.05,14.24,14.81,21703200
OXY,2020-08-05,15.45,15.52,14.92,15.0,24570500
OXY,2020-08-06,14.97,15.06,14.48,14.54,18745100
OXY,2020-08-07,14.55,14.64,14.08,14.54,20961300
OXY,2020-08-10,14.74,15.51,14.7,15.51,26718500
OXY,2020-08-11,15.47,15.75,14.21,14.26,41894000
OXY,2020-08-12,14.58,14.63,13.97,14.04,31774800
OXY,2020-08-13,14.07,14.35,13.68,13.74,28459100
OXY,2020-08-14,13.64,13.85,13.51,13.77,21267200
OXY,2020-08-17,13.61,13.65,12.92,13.09,31108800
OXY,2020-08-18,13.11,13.35,13.01,13.13,16758400
OXY,2020-08-19,13.11,13.29,12.94,13.0,18143400
OXY,2020-08-20,12.72,12.92,12.47,12.61,21869700
OXY,2020-08-21,12.6,12.63,12.17,12.38,22666000
OXY,2020-08-24,12.35,12.92,12.26,12.81,18722900
OXY,2020-08-25,12.99,13.2,12.52,12.71,16296300
OXY,2020-08-26,12.63,12.67,12.18,12.19,19787700
OXY,2020-08-27,12.25,12.36,11.97,12.27,20130100
