ticker,date,open,high,low,close,volume
PFE,2020-01-02,27.61,27.64,27.31,27.49,16514072
PFE,2020-01-03,27.2,27.57,27.16,27.35,14922848
PFE,2020-01-06,27.27,27.4,27.19,27.31,15771951
PFE,2020-01-07,27.48,27.49,27.17,27.22,20108107
PFE,2020-01-08,27.23,27.55,27.22,27.44,16403507
PFE,2020-01-09,27.59,27.59,27.25,27.32,21971895
PFE,2020-01-10,27.38,27.84,27.38,27.74,21557357
PFE,2020-01-13,27.83,27.94,27.54,27.68,15392405
PFE,2020-01-14,27.7,28.16,27.61,28.15,20919160
PFE,2020-01-15,28.23,28.71,28.22,28.57,23925800
PFE,2020-01-16,28.65,28.66,28.32,28.53,16216422
PFE,2020-01-17,28.5,28.67,28.39,28.46,23083970
PFE,2020-01-21,28.37,28.56,28.23,28.34,23115696
PFE,2020-01-22,28.32,28.39,28.08,28.23,18097812
PFE,2020-01-23,28.23,28.68,28.19,28.6,27148510
PFE,2020-01-24,28.76,28.78,27.85,27.97,34143698
PFE,2020-01-27,27.68,28.4,27.57,28.21,31964026
PFE,2020-01-28,27.62,27.74,26.66,26.79,70202408
PFE,2020-01-29,26.78,26.96,26.38,26.4,34165726
PFE,2020-01-30,26.33,26.38,26.04,26.31,32316589
PFE,2020-01-31,26.21,26.58,26.19,26.43,33894005
PFE,2020-02-03,26.58,27.0,26.47,26.62,20875735
PFE,2020-02-04,27.02,27.14,26.7,26.75,31150865
PFE,2020-02-05,26.86,27.37,26.84,27.09,29443490
PFE,2020-02-06,27.28,27.32,26.99,27.15,21047748
PFE,2020-02-07,27.22,27.25,26.92,27.0,21903596
PFE,2020-02-10,27.12,27.12,26.77,26.83,19998385
PFE,2020-02-11,26.89,27.06,26.8,27.03,16027335
PFE,2020-02-12,27.03,27.1,26.77,26.78,22944315
PFE,2020-02-13,26.67,26.67,26.18,26.21,22099745
PFE,2020-02-14,26.24,26.29,25.85,25.91,21006747
PFE,2020-02-18,25.94,26.02,25.74,25.77,17988513
PFE,2020-02-19,25.83,25.9,25.7,25.71,17750941
PFE,2020-02-20,25.34,25.59,25.13,25.44,42953135
PFE,2020-02-21,25.38,25.42,25.21,25.35,32425256
PFE,2020-02-24,24.87,25.12,24.55,24.6,37969296
PFE,2020-02-25,24.61,24.65,23.92,24.08,41878898
PFE,2020-02-26,24.3,24.99,24.14,24.64,47920005
PFE,2020-02-27,24.44,25.34,24.2,24.2,55444827
PFE,2020-02-28,23.77,24.09,23.08,23.72,66057447
PFE,2020-03-02,24.06,24.8,23.74,24.75,42034469
PFE,2020-03-03,24.97,25.39,24.03,24.34,46174475
