ticker,date,open,high,low,close,volume
PYPL,2020-01-02,109.22,110.95,109.02,110.49,7418800
PYPL,2020-01-03,109.24,110.17,108.51,108.51,7098300
PYPL,2020-01-06,107.32,109.97,107.19,109.92,6764500
PYPL,2020-01-07,111.24,111.3,109.28,109.42,6898700
PYPL,2020-01-08,110.15,112.38,109.57,111.56,8293600
PYPL,2020-01-09,112.73,113.3,111.33,112.31,5944700
PYPL,2020-01-10,113.38,113.45,112.01,112.67,6965100
PYPL,2020-01-13,113.72,115.61,113.6,115.01,9652500
PYPL,2020-01-14,115.25,115.32,113.86,114.38,7182000
PYPL,2020-01-15,114.87,115.68,114.35,114.59,5955200
PYPL,2020-01-16,115.65,115.73,114.59,115.13,4770900
PYPL,2020-01-17,116.18,116.43,115.2,115.77,9730400
PYPL,2020-01-21,115.04,116.12,114.84,115.88,8746200
PYPL,2020-01-22,116.46,117.18,115.2,115.23,5305300
PYPL,2020-01-23,117.13,117.67,115.53,117.62,8533900
PYPL,2020-01-24,118.18,119.32,116.24,116.71,7124000
PYPL,2020-01-27,113.37,115.71,112.05,114.97,7002300
PYPL,2020-01-28,115.56,116.94,114.45,116.25,6433000
PYPL,2020-01-29,117.2,117.26,114.89,116.39,9236800
PYPL,2020-01-30,112.53,116.93,112.16,116.85,13653300
PYPL,2020-01-31,116.48,117.05,112.89,113.63,9467200
PYPL,2020-02-03,114.04,116.97,113.79,116.24,8234700
PYPL,2020-02-04,117.77,120.06,117.03,119.8,7396800
PYPL,2020-02-05,120.92,121.91,118.62,119.44,7595300
PYPL,2020-02-06,119.81,120.32,119.19,119.61,4020300
PYPL,2020-02-07,119.32,119.39,118.14,118.61,4166300
PYPL,2020-02-10,118.29,119.87,118.23,119.78,4868000
PYPL,2020-02-11,120.48,120.72,118.13,118.57,4677400
PYPL,2020-02-12,118.58,119.63,117.6,118.29,6482300
PYPL,2020-02-13,117.77,120.82,117.53,120.23,6066300
PYPL,2020-02-14,120.61,122.72,120.52,122.71,5769900
PYPL,2020-02-18,122.3,122.71,121.4,121.99,5085700
PYPL,2020-02-19,122.35,124.16,122.02,123.62,4878600
PYPL,2020-02-20,123.57,124.02,120.12,122.15,7212900
PYPL,2020-02-21,121.44,121.57,118.26,119.21,5894500
PYPL,2020-02-24,114.03,116.52,113.26,116.17,10139300
PYPL,2020-02-25,115.4,116.15,109.08,109.41,13636100
PYPL,2020-02-26,109.56,112.37,108.35,108.86,10301800
PYPL,2020-02-27,106.05,111.79,106.05,107.59,15461900
PYPL,2020-02-28,104.02,108.48,103.48,107.74,17213100
PYPL,2020-03-02,107.21,112.79,106.28,112.6,13367000
PYPL,2020-03-03,112.56,114.3,108.01,109.51,11912300
PYPL,2020-03-04,111.78,115.12,110.36,115.03,8245200
PYPL,2020-03-05,111.77,114.63,110.98,111.92,7671500
PYPL,2020-03-06,107.7,111.31,107.33,110.63,8524300
PYPL,2020-03-09,102.48,106.74,99.48,101.4,12458900
PYPL,2020-03-10,105.06,109.49,102.93,109.49,11748500
PYPL,2020-03-11,106.4,107.5,101.74,103.66,10756400
PYPL,2020-03-12,96.34,104.54,94.28,96.74,20114400
PYPL,2020-03-13,100.29,110.34,99.55,109.9,19170600
PYPL,2020-03-16,93.78,102.92,91.02,92.51,16204900
PYPL,2020-03-17,94.28,100.85,90.31,97.64,17969400
PYPL,2020-03-18,91.64,94.88,85.95,91.25,16073300
PYPL,2020-03-19,91.35,97.83,86.84,93.47,12181600
PYPL,2020-03-20,95.42,96.01,86.01,86.48,14874400
PYPL,2020-03-23,86.09,87.95,81.88,85.06,12969700
PYPL,2020-03-24,89.19,97.77,89.19,97.07,13936500
PYPL,2020-03-25,97.21,100.19,95.05,95.49,11814400
PYPL,2020-03-26,96.09,100.7,95.41,100.4,9451200
PYPL,2020-03-27,96.78,96.88,92.85,93.26,11312000
PYPL,2020-03-30,95.28,98.03,94.15,96.81,8948600
PYPL,2020-03-31,96.16,99.2,94.65,95.52,9881400
PYPL,2020-04-01,92.51,94.45,90.17,91.17,9628400
PYPL,2020-04-02,90.89,94.46,90.71,93.3,7077200
PYPL,2020-04-03,92.58,92.74,89.67,92.18,7699500
PYPL,2020-04-06,97.57,102.26,96.04,101.44,11999000
PYPL,2020-04-07,105.01,105.98,99.67,100.05,10291500
PYPL,2020-04-08,101.38,105.26,100.52,104.82,9385900
PYPL,2020-04-09,105.39,108.45,104.54,105.6,10894900
PYPL,2020-04-13,104.61,106.04,102.1,105.74,7716200
PYPL,2020-04-14,108.75,110.72,107.68,109.53,8417900
PYPL,2020-04-15,107.21,108.84,106.17,107.7,7821000
PYPL,2020-04-16,109.25,109.27,106.32,108.06,9575600
PYPL,2020-04-17,110.05,111.86,109.8,111.59,11069800
PYPL,2020-04-20,110.64,114.04,109.77,111.91,10730700
PYPL,2020-04-21,110.86,112.59,107.16,107.29,11736600
PYPL,2020-04-22,110.04,115.73,109.66,114.92,12874300
PYPL,2020-04-23,115.67,118.11,114.73,114.97,7563200
PYPL,2020-04-24,115.2,120.19,115.13,119.9,10677500
PYPL,2020-04-27,120.97,122.1,119.78,120.25,6678200
PYPL,2020-04-28,121.38,121.72,115.64,115.87,9192300
PYPL,2020-04-29,119.02,123.74,118.37,123.29,9891500
PYPL,2020-04-30,121.07,123.17,120.34,122.72,7569800
PYPL,2020-05-01,119.57,122.42,119.15,120.33,5613800
PYPL,2020-05-04,120.98,123.89,120.03,123.37,7674400
PYPL,2020-05-05,124.65,127.64,124.56,125.14,9241900
PYPL,2020-05-06,126.76,129.29,125.83,128.01,14031200
PYPL,2020-05-07,139.6,146.86,138.96,145.95,35487900
PYPL,2020-05-08,142.92,146.06,141.78,144.63,13159500
PYPL,2020-05-11,142.63,144.93,141.85,143.63,10273400
PYPL,2020-05-12,143.67,145.31,140.59,140.7,9757600
PYPL,2020-05-13,139.88,144.77,139.29,143.4,11142600
PYPL,2020-05-14,141.74,144.37,141.1,144.08,9272900
PYPL,2020-05-15,142.57,145.55,141.3,145.17,8361200
PYPL,2020-05-18,147.78,148.84,145.65,145.9,8576400
PYPL,2020-05-19,146.41,149.37,144.89,145.05,7779100
PYPL,2020-05-20,147.66,150.73,147.56,150.59,7811300
PYPL,2020-05-21,150.23,150.39,147.7,147.88,5612700
PYPL,2020-05-22,147.92,150.65,147.02,150.51,5724100
PYPL,2020-05-26,153.76,154.19,145.95,146.66,10267500
PYPL,2020-05-27,145.14,146.06,139.7,145.62,9554800
PYPL,2020-05-28,144.4,151.59,144.18,148.45,10026700
PYPL,2020-05-29,150.15,154.97,148.59,154.65,9861900
PYPL,2020-06-01,154.54,155.61,152.7,154.17,5658300
PYPL,2020-06-02,155.64,157.24,154.25,157.13,6344400
PYPL,2020-06-03,157.13,157.91,154.76,156.42,6732800
PYPL,2020-06-04,156.34,159.11,153.28,154.24,7554500
PYPL,2020-06-05,152.63,155.98,149.65,155.64,8446100
PYPL,2020-06-08,153.92,155.85,152.76,155.73,5494400
PYPL,2020-06-09,155.43,157.85,155.24,156.5,7265600
PYPL,2020-06-10,157.24,160.52,157.24,159.54,5881800
PYPL,2020-06-11,157.97,159.13,152.56,152.69,9041700
PYPL,2020-06-12,156.7,156.85,151.54,154.9,7038100
PYPL,2020-06-15,152.28,157.56,151.87,157.19,5115000
