ticker,date,open,high,low,close,volume
SHOP,2020-01-02,40.4,40.82,39.84,40.78,13967000
SHOP,2020-01-03,40.16,40.84,39.7,40.43,10317000
SHOP,2020-01-06,39.86,41.35,39.54,41.33,16860000
SHOP,2020-01-07,41.58,42.25,41.01,41.45,15529000
SHOP,2020-01-08,41.39,42.25,41.19,41.81,15501000
SHOP,2020-01-09,42.31,43.17,42.18,43.02,17844000
SHOP,2020-01-10,43.25,43.86,42.77,42.92,18041000
SHOP,2020-01-13,43.5,44.67,43.38,44.03,19998000
SHOP,2020-01-14,44.28,44.59,43.05,44.12,15055000
SHOP,2020-01-15,44.19,45.3,44.12,44.85,16329000
SHOP,2020-01-16,45.27,45.38,44.66,45.13,14669000
SHOP,2020-01-17,45.27,45.89,45.2,45.49,18692000
SHOP,2020-01-21,45.5,47.29,45.41,46.54,21393000
SHOP,2020-01-22,47.0,47.68,46.32,46.48,23584000
SHOP,2020-01-23,46.48,47.3,46.0,46.92,24450000
SHOP,2020-01-24,47.4,47.65,45.78,46.55,21411000
SHOP,2020-01-27,44.76,45.99,43.67,45.11,22474000
SHOP,2020-01-28,45.35,46.87,45.11,46.77,15361000
SHOP,2020-01-29,47.34,48.0,47.04,47.17,18085000
SHOP,2020-01-30,47.05,47.81,46.47,47.69,15071000
SHOP,2020-01-31,48.06,48.29,46.3,46.57,21802000
SHOP,2020-02-03,46.83,47.49,45.72,46.94,18507000
SHOP,2020-02-04,47.64,48.77,47.18,48.55,17798000
SHOP,2020-02-05,49.35,49.5,46.8,47.56,21317000
SHOP,2020-02-06,47.32,47.57,46.25,47.3,16732000
SHOP,2020-02-07,47.2,48.17,46.68,47.87,11944000
SHOP,2020-02-10,47.91,49.17,47.65,49.17,18650000
SHOP,2020-02-11,49.41,49.99,48.91,49.28,26930000
SHOP,2020-02-12,56.89,59.39,52.9,53.12,97794000
SHOP,2020-02-13,53.3,55.48,53.07,53.3,45225000
SHOP,2020-02-14,54.1,54.22,52.33,53.12,22082000
SHOP,2020-02-18,53.4,54.89,53.2,53.64,24464000
SHOP,2020-02-19,54.4,54.97,53.86,54.32,17858000
SHOP,2020-02-20,54.27,54.72,50.74,53.56,24669000
SHOP,2020-02-21,53.12,53.46,51.16,52.07,19258000
SHOP,2020-02-24,48.2,50.4,47.6,49.1,32880000
SHOP,2020-02-25,50.0,50.24,45.65,46.65,34084000
SHOP,2020-02-26,45.92,48.4,45.9,47.12,25320000
SHOP,2020-02-27,45.23,46.79,42.79,43.84,37168000
SHOP,2020-02-28,42.26,46.33,42.05,46.33,34554000
SHOP,2020-03-02,48.32,48.88,46.16,48.84,32555000
SHOP,2020-03-03,50.15,50.3,46.75,47.69,31572000
SHOP,2020-03-04,48.9,51.4,48.6,51.22,26945000
SHOP,2020-03-05,49.5,51.24,49.12,49.82,24602000
SHOP,2020-03-06,48.0,49.12,45.91,47.21,29135000
SHOP,2020-03-09,43.08,44.61,41.65,41.83,29866000
SHOP,2020-03-10,44.5,45.05,42.06,45.03,28641000
SHOP,2020-03-11,43.53,44.2,40.63,42.23,28126000
SHOP,2020-03-12,37.1,40.36,36.61,37.78,44194000
SHOP,2020-03-13,40.4,40.64,36.3,39.09,33144000
SHOP,2020-03-16,33.9,36.2,32.15,32.23,41799000
SHOP,2020-03-17,33.0,35.8,30.77,35.51,42408000
SHOP,2020-03-18,32.63,35.86,30.53,33.68,35224000
SHOP,2020-03-19,33.62,34.57,31.6,33.25,32472000
SHOP,2020-03-20,34.5,37.25,34.2,34.61,42957000
SHOP,2020-03-23,34.65,38.42,33.51,37.54,36509000
SHOP,2020-03-24,41.28,43.3,40.67,43.0,35047000
SHOP,2020-03-25,43.59,47.06,43.21,44.66,35632000
SHOP,2020-03-26,45.44,47.05,43.53,44.74,30938000
SHOP,2020-03-27,42.76,43.34,41.2,42.16,25693000
SHOP,2020-03-30,42.35,43.49,41.2,43.04,15988000
SHOP,2020-03-31,42.81,43.96,41.4,41.69,19501000
SHOP,2020-04-01,40.3,40.6,38.15,38.47,22727000
SHOP,2020-04-02,35.0,36.59,33.46,34.63,52055000
SHOP,2020-04-03,35.8,36.38,34.5,35.76,26159000
SHOP,2020-04-06,38.0,39.36,36.93,39.26,27666000
SHOP,2020-04-07,40.9,40.9,37.4,37.85,32142000
SHOP,2020-04-08,38.3,41.76,38.13,41.45,33532000
SHOP,2020-04-09,42.25,43.9,41.3,41.77,29354000
SHOP,2020-04-13,42.37,45.34,41.78,44.74,31202000
SHOP,2020-04-14,46.7,50.15,46.13,49.61,37466000
SHOP,2020-04-15,48.11,50.04,47.71,49.72,26843000
SHOP,2020-04-16,50.85,52.91,50.2,52.64,37049000
SHOP,2020-04-17,54.05,59.18,53.9,59.04,61417000
SHOP,2020-04-20,58.5,64.5,58.4,62.99,68305000
SHOP,2020-04-21,64.7,66.57,55.6,58.5,110507000
SHOP,2020-04-22,61.6,63.5,60.32,62.66,50241000
SHOP,2020-04-23,63.13,63.98,61.04,62.05,43839000
SHOP,2020-04-24,62.4,65.2,60.56,64.32,54456000
SHOP,2020-04-27,66.26,66.26,62.3,62.86,40300000
SHOP,2020-04-28,63.4,63.98,61.01,63.37,36857000
SHOP,2020-04-29,63.7,64.56,62.11,64.0,24039000
SHOP,2020-04-30,62.5,64.6,62.3,63.23,24460000
SHOP,2020-05-01,61.5,62.79,59.5,61.36,25212000
SHOP,2020-05-04,62.06,65.89,61.7,65.89,27598000
SHOP,2020-05-05,67.0,70.47,66.2,68.61,51437000
SHOP,2020-05-06,67.29,73.92,66.9,73.35,69252000
SHOP,2020-05-07,71.99,73.87,71.5,72.28,46034000
SHOP,2020-05-08,70.56,72.1,70.3,70.9,40787000
SHOP,2020-05-11,70.7,75.25,70.38,75.03,36738000
SHOP,2020-05-12,76.9,77.1,73.39,74.23,36961000
SHOP,2020-05-13,75.0,76.86,71.73,75.44,43696000
SHOP,2020-05-14,74.99,75.81,73.3,75.43,28475000
SHOP,2020-05-15,75.43,77.48,75.12,76.7,30235000
SHOP,2020-05-18,77.0,77.07,73.3,73.8,36674000
SHOP,2020-05-19,74.54,76.5,71.32,75.3,52644000
SHOP,2020-05-20,76.8,77.8,75.17,77.8,32390000
SHOP,2020-05-21,79.19,80.99,78.21,80.24,41365000
