ticker,date,open,high,low,close,volume
SLB,2020-01-02,34.97,35.14,34.59,34.67,9147400
SLB,2020-01-03,35.39,35.51,34.52,35.01,9752000
SLB,2020-01-06,35.05,35.46,34.69,35.23,15534100
SLB,2020-01-07,34.98,35.05,34.29,35.05,10971700
SLB,2020-01-08,34.76,34.9,33.93,34.01,11327600
SLB,2020-01-09,34.11,34.6,33.43,34.4,12186000
SLB,2020-01-10,34.29,34.6,34.1,34.38,8089700
SLB,2020-01-13,34.38,34.39,33.63,33.86,11665600
SLB,2020-01-14,33.64,34.12,33.13,34.12,13958700
SLB,2020-01-15,33.83,33.97,32.92,33.08,13737700
SLB,2020-01-16,33.29,33.6,33.1,33.47,11771100
SLB,2020-01-17,33.67,34.5,32.95,33.12,17644600
SLB,2020-01-21,32.48,32.56,31.84,31.89,16710200
SLB,2020-01-22,31.76,31.78,31.27,31.66,12796800
SLB,2020-01-23,31.13,31.53,30.7,31.44,11844000
SLB,2020-01-24,31.26,31.26,30.51,30.87,10408600
SLB,2020-01-27,29.82,29.98,29.23,29.31,17360600
SLB,2020-01-28,29.53,29.54,28.9,29.31,10938000
SLB,2020-01-29,29.6,29.89,29.1,29.11,9003800
SLB,2020-01-30,28.6,29.41,28.48,29.38,10489600
SLB,2020-01-31,28.9,29.22,28.64,28.92,16887900
SLB,2020-02-03,28.86,29.09,28.65,28.88,9202500
SLB,2020-02-04,29.54,29.97,29.3,29.41,12373600
SLB,2020-02-05,30.01,30.78,29.97,30.27,11399900
SLB,2020-02-06,30.4,30.4,29.71,29.78,7980300
SLB,2020-02-07,29.34,30.0,29.24,29.71,8582100
SLB,2020-02-10,29.45,29.66,29.18,29.65,7197400
SLB,2020-02-11,29.91,30.08,29.66,30.03,8825600
SLB,2020-02-12,30.85,30.99,30.16,30.7,9094900
SLB,2020-02-13,30.51,30.67,29.75,30.36,11718000
SLB,2020-02-14,30.49,30.54,29.9,30.15,7904500
SLB,2020-02-18,29.69,29.77,28.8,29.47,11792800
SLB,2020-02-19,29.67,30.08,29.46,30.03,6592300
SLB,2020-02-20,30.21,30.4,29.59,29.63,7836000
SLB,2020-02-21,29.31,29.38,28.79,29.24,7246300
SLB,2020-02-24,27.93,28.02,26.98,27.09,16714900
SLB,2020-02-25,27.14,27.19,25.59,25.7,18709700
SLB,2020-02-26,25.92,26.05,24.86,24.86,19240700
SLB,2020-02-27,24.11,24.77,23.49,23.51,23765700
SLB,2020-02-28,22.61,23.79,22.29,23.73,26830600
SLB,2020-03-02,24.22,24.34,22.92,24.34,23253000
SLB,2020-03-03,24.19,24.44,23.01,23.48,22020400
SLB,2020-03-04,23.83,23.98,23.0,23.72,16155900
SLB,2020-03-05,22.89,22.99,22.11,22.62,15754600
SLB,2020-03-06,21.79,22.04,20.6,20.89,23793200
SLB,2020-03-09,15.68,15.68,11.31,15.16,86148000
SLB,2020-03-10,16.76,16.84,15.0,15.93,40409000
SLB,2020-03-11,15.17,15.89,14.93,15.22,33291900
SLB,2020-03-12,13.68,14.62,12.62,12.63,47922900
SLB,2020-03-13,13.77,14.16,12.54,14.15,29182100
SLB,2020-03-16,12.28,14.05,11.61,12.62,24971100
SLB,2020-03-17,12.73,12.75,11.48,12.26,25536500
SLB,2020-03-18,11.39,12.02,10.41,10.55,28198200
SLB,2020-03-19,10.66,12.51,10.4,12.15,25449300
SLB,2020-03-20,12.52,12.77,11.47,12.51,32875200
SLB,2020-03-23,12.41,12.64,11.04,11.24,24393500
SLB,2020-03-24,11.86,13.08,11.82,12.83,25812600
SLB,2020-03-25,13.13,13.9,11.89,12.79,24201200
SLB,2020-03-26,12.71,13.7,12.59,13.59,22180200
