ticker,date,open,high,low,close,volume
UNH,2020-01-02,266.59,268.14,262.79,265.24,2543400
UNH,2020-01-03,260.5,264.68,257.86,262.56,2711400
UNH,2020-01-06,261.16,264.48,260.46,264.38,3079100
UNH,2020-01-07,263.61,264.33,260.78,262.79,2492900
UNH,2020-01-08,264.34,269.67,263.01,268.33,3379200
UNH,2020-01-09,266.87,269.51,266.35,266.8,2838200
UNH,2020-01-10,268.48,268.48,264.98,267.63,2477900
UNH,2020-01-13,266.94,267.01,258.46,259.21,6994900
UNH,2020-01-14,258.99,261.38,257.76,261.38,6056300
UNH,2020-01-15,262.09,271.72,262.07,268.79,6081300
UNH,2020-01-16,270.23,272.94,268.35,272.72,3710300
UNH,2020-01-17,272.05,272.68,268.31,270.66,4632200
UNH,2020-01-21,269.22,274.35,268.43,272.52,4962800
UNH,2020-01-22,273.85,273.98,269.64,272.58,3117600
UNH,2020-01-23,272.05,272.57,269.01,271.55,3169600
UNH,2020-01-24,270.54,271.98,264.39,265.52,3678500
UNH,2020-01-27,261.16,261.23,253.97,257.62,4399400
UNH,2020-01-28,257.45,261.5,256.9,259.23,4341000
UNH,2020-01-29,257.54,259.52,254.71,256.54,3963800
UNH,2020-01-30,255.58,255.58,250.21,254.8,4211800
UNH,2020-01-31,252.25,252.8,245.91,247.06,5532600
UNH,2020-02-03,249.49,251.05,245.58,248.49,5646800
UNH,2020-02-04,251.44,257.08,251.08,254.67,4290200
UNH,2020-02-05,258.99,269.32,258.84,268.17,5761000
UNH,2020-02-06,269.32,269.57,262.98,265.21,3044000
UNH,2020-02-07,265.58,266.05,261.99,262.27,3425900
UNH,2020-02-10,259.56,262.33,258.85,260.28,3147400
UNH,2020-02-11,260.12,264.4,259.26,263.69,2992200
UNH,2020-02-12,267.51,276.58,266.61,275.2,6701900
UNH,2020-02-13,272.17,277.39,272.17,274.04,3565500
UNH,2020-02-14,274.05,275.64,269.6,270.94,2485600
UNH,2020-02-18,271.74,275.08,271.14,273.98,3241700
UNH,2020-02-19,275.1,278.13,274.52,276.86,3021100
UNH,2020-02-20,274.95,275.82,270.13,273.98,2885500
UNH,2020-02-21,272.47,274.32,270.78,273.34,2987100
UNH,2020-02-24,260.16,262.06,251.77,251.9,8790600
UNH,2020-02-25,254.04,255.7,237.59,238.85,8171200
UNH,2020-02-26,240.05,244.69,234.6,238.49,6806600
UNH,2020-02-27,234.34,237.72,228.58,230.26,7604300
UNH,2020-02-28,223.26,233.14,222.44,231.2,9961000
UNH,2020-03-02,233.36,247.78,226.99,247.66,8866300
UNH,2020-03-03,249.69,254.23,235.07,237.04,9188100
UNH,2020-03-04,262.98,268.27,255.91,262.45,14533000
UNH,2020-03-05,255.36,262.45,253.85,256.59,5908400
UNH,2020-03-06,249.75,258.41,246.56,257.42,5361900
UNH,2020-03-09,239.82,255.21,235.08,247.96,8070700
UNH,2020-03-10,253.65,257.44,247.11,253.91,7366000
UNH,2020-03-11,249.16,258.66,247.8,251.89,7744600
UNH,2020-03-12,235.77,246.86,226.7,227.08,10496600
UNH,2020-03-13,237.69,248.83,220.65,247.76,9308400
UNH,2020-03-16,222.15,223.75,203.96,204.95,10303500
UNH,2020-03-17,210.22,226.56,207.91,222.42,9642200
UNH,2020-03-18,205.6,210.79,182.32,197.69,12917500
UNH,2020-03-19,197.61,205.94,190.29,200.18,8065200
UNH,2020-03-20,203.26,211.88,185.3,188.15,9364100
UNH,2020-03-23,184.01,187.39,170.96,177.47,10654500
UNH,2020-03-24,184.1,200.61,181.24,200.18,8894400
UNH,2020-03-25,199.53,225.42,196.72,213.56,10014000
UNH,2020-03-26,213.14,234.93,211.57,232.59,7517600
UNH,2020-03-27,221.26,229.14,216.98,220.81,4879500
UNH,2020-03-30,220.98,231.41,220.98,228.85,5329000
UNH,2020-03-31,221.75,231.81,221.31,227.12,5450000
UNH,2020-04-01,217.38,224.6,214.43,216.14,4548800
UNH,2020-04-02,214.3,220.4,205.85,218.98,4636800
UNH,2020-04-03,217.05,217.98,206.98,209.01,4650300
UNH,2020-04-06,218.58,227.04,214.13,226.17,6365900
UNH,2020-04-07,236.62,242.9,224.53,225.9,4984100
UNH,2020-04-08,225.58,245.14,224.28,243.92,6390200
UNH,2020-04-09,241.35,246.26,238.25,240.55,4923300
UNH,2020-04-13,238.67,241.31,235.14,239.99,2964900
UNH,2020-04-14,244.99,248.7,243.17,246.36,4778900
UNH,2020-04-15,251.67,257.73,246.52,256.54,7841800
UNH,2020-04-16,258.14,273.22,255.02,271.79,7738900
UNH,2020-04-17,274.12,276.87,261.47,264.63,5857500
UNH,2020-04-20,259.83,263.21,256.16,256.96,4072600
UNH,2020-04-21,250.41,255.01,248.86,249.72,3977500
UNH,2020-04-22,254.63,258.49,252.01,252.29,3663300
UNH,2020-04-23,254.15,262.71,253.68,259.86,4420500
UNH,2020-04-24,261.65,265.85,258.65,265.29,3265000
UNH,2020-04-27,267.04,270.36,264.69,267.74,3706200
UNH,2020-04-28,271.4,271.63,260.13,262.62,3862900
UNH,2020-04-29,265.94,266.62,260.56,261.97,4258400
UNH,2020-04-30,261.06,268.67,260.03,266.36,7631700
UNH,2020-05-01,262.65,263.2,254.64,259.12,3526100
UNH,2020-05-04,259.1,262.24,256.93,261.87,2894200
UNH,2020-05-05,264.08,269.58,261.65,266.88,2501300
UNH,2020-05-06,268.76,271.11,262.69,262.99,2579200
UNH,2020-05-07,265.08,266.2,259.12,259.56,3162300
UNH,2020-05-08,263.65,264.12,260.16,261.38,3200000
UNH,2020-05-11,260.07,264.21,259.8,262.92,3490700
UNH,2020-05-12,265.73,266.98,262.02,262.02,4214300
UNH,2020-05-13,259.1,260.84,250.96,253.19,5474100
UNH,2020-05-14,251.3,266.35,251.04,264.67,5704600
UNH,2020-05-15,266.31,273.22,264.77,264.99,12182800
UNH,2020-05-18,271.84,272.97,265.95,267.18,4015100
