ticker,date,open,high,low,close,volume
UPS,2020-01-02,92.65,92.88,90.72,91.95,4158100
UPS,2020-01-03,90.52,92.0,90.41,91.89,2477800
UPS,2020-01-06,90.89,91.51,90.04,91.48,3381600
UPS,2020-01-07,91.22,91.67,90.59,91.33,1952300
UPS,2020-01-08,90.84,92.55,90.79,91.85,2016000
UPS,2020-01-09,92.14,92.77,91.63,92.06,2151500
UPS,2020-01-10,92.17,92.17,91.01,91.22,2545000
UPS,2020-01-13,91.42,92.29,91.25,91.92,1826200
UPS,2020-01-14,91.92,93.04,91.87,92.33,2598600
UPS,2020-01-15,92.52,93.45,92.33,92.85,3168400
UPS,2020-01-16,93.3,93.78,92.98,93.38,2426800
UPS,2020-01-17,93.48,93.88,93.04,93.37,3403400
UPS,2020-01-21,93.07,93.33,91.92,92.42,2960700
UPS,2020-01-22,92.74,93.88,92.31,92.32,2425300
UPS,2020-01-23,92.14,92.21,90.97,92.06,2493700
UPS,2020-01-24,92.15,92.2,91.27,91.85,2015400
UPS,2020-01-27,90.5,90.89,89.24,90.48,2903800
UPS,2020-01-28,90.89,91.61,90.1,90.83,2039600
UPS,2020-01-29,91.14,92.11,90.8,91.14,2845400
UPS,2020-01-30,88.38,89.02,84.51,85.03,9473000
UPS,2020-01-31,84.9,84.95,81.16,81.5,7234300
UPS,2020-02-03,82.01,82.26,80.04,80.33,5627100
UPS,2020-02-04,81.36,81.77,80.79,81.39,4858700
UPS,2020-02-05,82.38,83.92,82.15,83.49,4439900
UPS,2020-02-06,83.93,84.86,83.06,83.86,3861800
UPS,2020-02-07,83.49,83.74,81.09,81.19,5754400
UPS,2020-02-10,81.41,81.68,80.01,81.15,4669400
UPS,2020-02-11,81.42,83.02,81.26,82.56,2806300
UPS,2020-02-12,83.27,84.06,83.05,83.09,2493300
UPS,2020-02-13,82.66,83.56,82.17,82.86,2768300
UPS,2020-02-14,82.66,83.6,82.41,83.41,2694600
UPS,2020-02-18,83.41,84.18,83.22,83.78,3371600
UPS,2020-02-19,84.23,84.23,83.41,84.05,2663200
UPS,2020-02-20,83.83,84.72,83.41,83.83,3171200
UPS,2020-02-21,83.15,83.24,80.89,81.04,6034600
UPS,2020-02-24,79.32,79.62,77.62,78.31,7300400
UPS,2020-02-25,78.77,78.89,74.12,74.66,7609100
UPS,2020-02-26,75.6,75.84,74.09,74.52,7411700
UPS,2020-02-27,72.76,74.06,71.47,71.75,9143800
UPS,2020-02-28,70.47,72.63,69.71,71.95,11498000
UPS,2020-03-02,73.19,74.06,71.09,73.75,8738800
UPS,2020-03-03,75.42,76.33,72.01,72.59,9263400
UPS,2020-03-04,73.38,76.23,72.7,76.19,6644800
UPS,2020-03-05,73.77,74.94,73.1,73.94,5277200
UPS,2020-03-06,71.77,75.12,71.67,74.74,5598400
UPS,2020-03-09,70.32,73.15,69.25,69.32,8648300
UPS,2020-03-10,71.94,73.9,69.32,73.8,8914200
UPS,2020-03-11,71.42,72.49,69.42,69.96,5557200
UPS,2020-03-12,65.37,73.5,65.2,68.51,9412800
UPS,2020-03-13,72.35,75.22,69.58,74.92,10918900
UPS,2020-03-16,68.27,74.91,67.98,69.22,9006300
UPS,2020-03-17,70.8,77.29,69.8,76.96,10476100
UPS,2020-03-18,72.35,80.98,71.81,78.92,11152100
UPS,2020-03-19,78.45,82.53,75.9,76.53,7690300
UPS,2020-03-20,76.45,77.71,72.28,74.31,7355300
UPS,2020-03-23,74.88,76.43,71.76,73.07,7117800
UPS,2020-03-24,74.68,76.88,73.28,75.74,6067100
UPS,2020-03-25,76.04,77.75,72.39,75.14,5682000
UPS,2020-03-26,75.14,79.53,74.37,79.34,6373900
UPS,2020-03-27,76.01,79.15,75.53,77.54,4671100
UPS,2020-03-30,78.02,78.56,76.26,77.79,3994200
UPS,2020-03-31,77.05,77.37,74.07,74.28,5391300
UPS,2020-04-01,72.28,73.85,70.83,71.87,5762800
UPS,2020-04-02,71.37,74.39,70.25,73.98,4039900
UPS,2020-04-03,73.28,74.26,70.62,71.56,4471900
UPS,2020-04-06,74.11,76.71,73.48,76.08,5642700
UPS,2020-04-07,76.53,77.48,73.7,73.87,5113900
UPS,2020-04-08,77.12,79.11,74.55,78.55,6628400
UPS,2020-04-09,78.38,79.53,76.43,78.47,5588500
UPS,2020-04-13,78.38,79.71,78.07,78.25,3355100
UPS,2020-04-14,79.96,80.97,79.16,80.62,4093100
UPS,2020-04-15,79.46,79.49,77.87,79.45,3721200
UPS,2020-04-16,79.65,81.49,79.19,81.28,4303400
UPS,2020-04-17,81.23,82.49,79.37,81.7,5850100
UPS,2020-04-20,80.89,81.9,80.34,80.46,4359500
UPS,2020-04-21,79.8,81.19,79.71,80.0,3793800
UPS,2020-04-22,80.7,80.92,77.43,77.61,5099500
UPS,2020-04-23,78.21,79.7,77.97,79.07,4061800
UPS,2020-04-24,79.66,79.87,78.39,79.65,2792400
UPS,2020-04-27,80.31,82.28,79.35,81.54,4362300
UPS,2020-04-28,78.91,78.97,76.47,76.67,10400900
UPS,2020-04-29,76.41,77.24,74.83,76.42,9974000
UPS,2020-04-30,76.01,76.12,73.8,75.26,6262500
UPS,2020-05-01,74.13,74.51,72.55,73.07,5415600
UPS,2020-05-04,72.84,72.99,71.24,71.91,4784400
UPS,2020-05-05,72.78,74.62,72.67,73.71,5001000
UPS,2020-05-06,74.06,75.08,73.71,73.89,3630300
UPS,2020-05-07,74.73,74.95,73.51,73.81,3309800
UPS,2020-05-08,74.37,75.52,74.19,75.4,3418000
UPS,2020-05-11,74.91,75.42,74.02,74.67,3118400
UPS,2020-05-12,75.34,75.66,73.81,73.83,3504600
UPS,2020-05-13,73.59,74.13,71.86,72.15,3690800
UPS,2020-05-14,71.56,72.99,70.64,72.9,4031700
UPS,2020-05-15,72.23,73.06,72.07,72.38,3990600
UPS,2020-05-18,74.21,77.16,73.99,76.41,5509500
UPS,2020-05-19,76.27,77.5,75.86,76.67,3674300
UPS,2020-05-20,77.52,78.29,76.7,77.27,3291700
UPS,2020-05-21,76.91,77.91,76.81,77.37,5452100
UPS,2020-05-22,77.76,78.39,76.89,77.71,2406600
UPS,2020-05-26,78.86,79.49,77.76,77.99,5563700
UPS,2020-05-27,78.56,80.14,77.87,80.04,4436400
UPS,2020-05-28,80.34,81.23,79.0,80.12,5460800
UPS,2020-05-29,79.81,80.67,79.02,80.11,5962400
UPS,2020-06-01,79.93,80.09,79.03,79.77,2510300
UPS,2020-06-02,80.14,81.29,79.52,81.28,2860500
UPS,2020-06-03,82.43,83.73,82.02,83.28,3633800
UPS,2020-06-04,83.0,83.41,82.18,82.91,2768400
UPS,2020-06-05,84.35,86.1,84.1,85.69,5026800
UPS,2020-06-08,85.7,88.77,85.7,88.74,4561100
UPS,2020-06-09,87.64,87.74,85.59,86.63,4567900
UPS,2020-06-10,86.68,86.84,84.86,85.67,3793300
UPS,2020-06-11,83.13,83.32,80.71,80.72,5306100
UPS,2020-06-12,82.68,82.73,80.31,81.53,3334400
UPS,2020-06-15,80.28,85.31,80.01,84.88,6440200
UPS,2020-06-16,86.64,87.43,83.38,85.03,4283300
UPS,2020-06-17,85.57,87.21,85.3,85.96,4413500
UPS,2020-06-18,85.6,87.19,85.34,86.43,3204500
UPS,2020-06-19,87.02,87.61,85.46,86.59,9027100
UPS,2020-06-22,86.04,86.41,84.75,85.89,4385700
UPS,2020-06-23,86.94,89.08,86.78,88.87,5565900
UPS,2020-06-24,88.31,89.6,87.15,87.98,5471300
UPS,2020-06-25,87.79,88.9,87.06,88.8,2987000
UPS,2020-06-26,88.89,89.1,86.1,86.23,5489000
UPS,2020-06-29,87.55,88.49,86.64,87.96,3395200
UPS,2020-06-30,87.98,90.0,87.27,89.33,3954900
UPS,2020-07-01,94.69,96.34,91.79,91.93,8982100
UPS,2020-07-02,92.89,93.1,91.79,91.88,3442900
UPS,2020-07-06,92.93,93.03,92.08,92.68,3445900
UPS,2020-07-07,91.72,92.76,91.49,91.95,2194700
UPS,2020-07-08,92.01,92.61,91.58,91.97,3051600
UPS,2020-07-09,91.99,92.43,91.36,91.95,2366200
UPS,2020-07-10,92.15,92.93,91.58,92.45,2281800
