ticker,date,open,high,low,close,volume
V,2020-01-02,180.78,182.83,180.51,182.81,8733000
V,2020-01-03,180.22,182.66,179.75,181.36,4899700
V,2020-01-06,179.82,180.98,179.02,180.96,10109500
V,2020-01-07,181.35,181.83,180.4,180.48,4392300
V,2020-01-08,181.25,184.13,180.59,183.57,5712000
V,2020-01-09,184.61,185.49,184.15,184.85,6748000
V,2020-01-10,185.09,186.11,184.71,185.34,6586400
V,2020-01-13,185.98,187.09,185.83,186.84,11290500
V,2020-01-14,188.18,188.39,186.65,187.52,6236500
V,2020-01-15,188.43,191.45,187.78,191.11,10831100
V,2020-01-16,192.26,192.74,191.09,192.21,9983700
V,2020-01-17,192.99,195.85,191.28,195.8,12518900
V,2020-01-21,195.25,199.33,194.94,198.28,14861700
V,2020-01-22,198.49,200.99,198.28,198.86,8065000
V,2020-01-23,198.86,199.34,196.37,197.54,8520800
V,2020-01-24,198.4,198.95,195.33,196.09,7812900
V,2020-01-27,191.3,194.49,190.44,192.92,7198900
V,2020-01-28,193.59,194.98,193.01,194.03,7215700
V,2020-01-29,195.42,196.97,193.7,195.95,7041700
V,2020-01-30,195.13,199.43,194.48,199.16,8571900
V,2020-01-31,192.73,195.11,189.64,190.32,16699600
V,2020-02-03,191.25,193.46,191.16,192.08,10885900
V,2020-02-04,194.65,196.01,193.44,194.71,10205900
V,2020-02-05,196.56,196.66,191.26,193.99,8672400
V,2020-02-06,194.22,195.73,193.68,194.21,7001200
V,2020-02-07,193.2,194.97,192.35,193.92,5691100
V,2020-02-10,193.19,197.17,193.08,197.03,6239500
V,2020-02-11,198.48,198.64,194.78,195.07,10231900
V,2020-02-12,196.09,199.1,196.09,198.42,7355800
V,2020-02-13,197.92,199.69,197.38,198.67,9495300
V,2020-02-14,199.52,201.91,199.25,201.44,6548800
V,2020-02-18,201.16,202.6,200.55,202.31,7651500
V,2020-02-19,203.57,205.15,202.81,204.33,5927500
V,2020-02-20,203.2,204.69,199.51,202.55,8531900
V,2020-02-21,201.06,201.37,198.69,200.02,9231500
V,2020-02-24,189.56,195.19,185.84,190.42,13316800
V,2020-02-25,190.42,191.47,179.82,180.47,18539000
V,2020-02-26,182.0,185.36,179.16,179.33,14214700
V,2020-02-27,174.45,178.5,172.42,172.43,17536600
V,2020-02-28,166.47,174.65,165.7,174.11,22659000
V,2020-03-02,178.48,184.34,175.39,184.23,17434500
V,2020-03-03,185.07,185.87,176.73,177.91,15226400
V,2020-03-04,182.35,186.3,178.33,186.11,10789100
V,2020-03-05,183.19,183.84,177.82,179.09,10106900
V,2020-03-06,175.81,178.16,172.4,176.6,15183200
V,2020-03-09,164.0,172.01,161.22,163.93,20486400
V,2020-03-10,171.91,174.92,164.64,174.91,16119400
V,2020-03-11,170.17,171.21,163.03,165.67,14598200
V,2020-03-12,151.83,164.76,150.38,153.34,27467700
V,2020-03-13,161.62,168.9,155.38,168.43,19948900
V,2020-03-16,144.78,158.35,141.75,145.61,23692000
V,2020-03-17,149.19,156.81,142.97,151.24,22298000
V,2020-03-18,142.21,144.34,133.91,142.23,22787500
V,2020-03-19,140.73,150.63,135.51,145.84,19362800
V,2020-03-20,148.3,151.6,139.54,140.65,18692100
V,2020-03-23,135.38,137.32,128.29,130.03,30344100
V,2020-03-24,138.74,148.71,137.54,148.02,24488300
V,2020-03-25,152.61,161.1,147.11,154.97,20619600
V,2020-03-26,155.26,162.39,154.98,161.77,17062900
V,2020-03-27,154.3,160.07,151.49,154.76,14950700
V,2020-03-30,154.26,158.89,153.93,158.6,15714500
V,2020-03-31,159.42,161.11,153.78,154.34,20613100
V,2020-04-01,149.74,151.42,145.05,146.66,12595200
V,2020-04-02,146.11,151.68,144.92,150.76,14051100
V,2020-04-03,149.01,151.08,144.26,145.46,11994700
V,2020-04-06,153.28,163.54,151.59,162.31,16479100
V,2020-04-07,170.28,171.27,161.02,161.49,15379000
V,2020-04-08,163.81,168.59,160.86,167.58,11146500
V,2020-04-09,168.85,169.73,165.57,166.38,12231800
V,2020-04-13,165.01,165.07,159.16,161.88,14043700
V,2020-04-14,165.8,168.04,163.64,167.27,9980500
V,2020-04-15,161.6,162.23,158.01,158.97,12118700
V,2020-04-16,160.07,160.93,153.07,155.58,20308200
V,2020-04-17,162.51,163.79,158.01,162.4,15375800
V,2020-04-20,160.29,160.38,156.33,157.31,10505200
V,2020-04-21,155.18,155.73,152.45,153.77,10562100
V,2020-04-22,157.73,160.64,156.06,159.58,14502500
V,2020-04-23,160.81,163.24,159.21,159.38,11411300
V,2020-04-24,161.35,161.65,157.11,160.28,8391400
V,2020-04-27,161.55,165.09,161.45,164.53,9903300
V,2020-04-28,167.63,167.64,163.21,164.04,8614400
V,2020-04-29,169.4,174.58,168.69,174.14,12862800
V,2020-04-30,174.13,174.18,170.18,171.2,11331600
V,2020-05-01,167.11,172.08,166.93,168.18,10109600
V,2020-05-04,165.67,169.49,164.49,168.73,9386200
V,2020-05-05,171.55,173.48,170.76,170.93,13513000
V,2020-05-06,172.15,172.91,170.39,171.25,8540500
V,2020-05-07,174.1,177.19,174.06,175.03,9262200
V,2020-05-08,177.24,177.93,175.89,177.3,6470100
V,2020-05-11,176.13,176.85,173.79,175.83,8683100
V,2020-05-12,175.83,176.24,171.82,171.91,8219700
V,2020-05-13,171.27,173.76,167.95,169.92,13377100
V,2020-05-14,168.82,173.72,166.78,173.57,9695100
V,2020-05-15,172.69,176.68,171.63,176.06,10785900
V,2020-05-18,180.39,185.02,179.88,183.63,11802200
V,2020-05-19,183.4,186.62,181.57,181.69,7446800
V,2020-05-20,185.18,187.09,184.62,186.01,9545600
V,2020-05-21,185.66,185.78,182.33,182.9,11338100
V,2020-05-22,183.27,183.62,181.57,183.13,5807600
V,2020-05-26,187.87,188.32,184.95,185.4,9662200
V,2020-05-27,186.44,186.44,180.89,185.01,7650300
V,2020-05-28,185.7,190.26,184.91,186.39,8352200
V,2020-05-29,186.62,188.77,185.45,187.33,10211900
V,2020-06-01,186.83,187.95,185.68,186.48,6011300
