ticker,date,open,high,low,close,volume
WFC,2020-01-02,45.91,46.07,45.62,45.83,16803100
WFC,2020-01-03,45.28,45.72,45.1,45.55,15608800
WFC,2020-01-06,44.97,45.36,44.95,45.27,13200300
WFC,2020-01-07,45.23,45.23,44.74,44.9,13278600
WFC,2020-01-08,45.05,45.47,45.02,45.03,16585600
WFC,2020-01-09,45.36,45.36,44.74,44.96,20817400
WFC,2020-01-10,45.01,45.1,44.74,44.76,13777600
WFC,2020-01-13,44.76,44.76,44.19,44.43,25197600
WFC,2020-01-14,42.83,43.26,41.99,42.03,56668300
WFC,2020-01-15,41.63,41.64,40.91,41.2,47148000
WFC,2020-01-16,41.32,42.05,40.79,41.99,37020200
WFC,2020-01-17,42.09,42.14,41.38,41.93,29669200
WFC,2020-01-21,41.85,42.53,41.61,41.73,30858300
WFC,2020-01-22,41.8,41.85,41.17,41.4,20367700
WFC,2020-01-23,41.26,41.31,40.91,41.11,17297900
WFC,2020-01-24,41.09,41.1,40.23,40.56,21239600
WFC,2020-01-27,39.98,40.43,39.85,40.16,18156200
WFC,2020-01-28,40.51,40.75,40.31,40.39,16673300
WFC,2020-01-29,40.43,40.84,40.29,40.3,16166300
WFC,2020-01-30,40.22,40.88,40.11,40.85,14760200
WFC,2020-01-31,40.43,40.46,39.86,40.02,23080400
WFC,2020-02-03,40.28,40.69,40.1,40.17,15471100
WFC,2020-02-04,40.67,40.79,40.29,40.29,14973300
WFC,2020-02-05,40.84,41.27,40.74,41.19,20141800
WFC,2020-02-06,41.74,41.79,41.23,41.34,18259200
WFC,2020-02-07,41.13,41.36,40.91,41.22,13174600
WFC,2020-02-10,41.08,41.24,40.86,41.16,18124800
WFC,2020-02-11,41.43,41.65,41.31,41.35,13686100
WFC,2020-02-12,41.55,41.78,41.15,41.18,16668100
WFC,2020-02-13,41.03,41.52,40.97,41.46,12530000
WFC,2020-02-14,41.48,41.64,41.15,41.55,15526400
WFC,2020-02-18,41.34,41.46,40.09,40.49,22423800
WFC,2020-02-19,40.72,40.8,40.48,40.58,15602500
WFC,2020-02-20,40.5,40.85,40.22,40.79,15965500
WFC,2020-02-21,40.91,41.23,40.59,41.1,21729100
WFC,2020-02-24,40.14,40.46,39.86,39.97,23075900
WFC,2020-02-25,39.89,40.22,38.74,38.88,31110100
WFC,2020-02-26,39.19,39.34,38.03,38.04,27372600
WFC,2020-02-27,37.33,38.19,36.56,36.6,41180000
WFC,2020-02-28,35.6,36.08,34.25,35.2,71703000
WFC,2020-03-02,35.31,36.43,34.0,36.42,44231200
WFC,2020-03-03,36.24,36.97,34.49,34.92,45091000
WFC,2020-03-04,35.34,35.7,34.43,35.67,33881500
WFC,2020-03-05,34.47,34.48,33.24,33.52,45037900
WFC,2020-03-06,31.88,32.47,31.31,31.96,56766500
WFC,2020-03-09,29.06,29.71,27.76,27.99,53277200
WFC,2020-03-10,29.84,30.23,27.82,30.23,40078700
WFC,2020-03-11,29.34,29.53,27.58,27.86,44769500
WFC,2020-03-12,25.69,26.59,23.37,23.44,68447600
WFC,2020-03-13,25.98,27.37,23.93,26.62,78365700
WFC,2020-03-16,22.7,25.19,22.66,22.83,57466700
WFC,2020-03-17,23.81,26.39,22.31,25.53,58112800
WFC,2020-03-18,23.87,24.89,23.18,24.23,51904100
