ticker,date,open,high,low,close,volume
WMT,2020-01-02,36.41,36.72,36.36,36.43,20294700
WMT,2020-01-03,36.23,36.39,36.02,36.11,16197600
WMT,2020-01-06,35.96,36.17,35.77,36.04,19336500
WMT,2020-01-07,35.92,36.0,35.59,35.7,20540700
WMT,2020-01-08,35.63,35.76,35.44,35.58,17627400
WMT,2020-01-09,35.58,35.95,35.56,35.95,16691100
WMT,2020-01-10,35.91,35.94,35.53,35.65,18164400
WMT,2020-01-13,35.65,35.7,35.34,35.5,18337800
WMT,2020-01-14,35.37,35.6,35.27,35.59,19757400
WMT,2020-01-15,35.11,35.49,35.08,35.31,22362600
WMT,2020-01-16,35.38,35.51,35.31,35.5,16108200
WMT,2020-01-17,35.55,35.63,35.12,35.21,30135000
WMT,2020-01-21,35.1,35.44,35.08,35.41,22061100
WMT,2020-01-22,35.29,35.7,35.28,35.56,14778300
WMT,2020-01-23,35.6,35.63,35.24,35.48,12915300
WMT,2020-01-24,35.53,35.54,34.97,35.03,13150200
WMT,2020-01-27,34.67,35.6,34.52,35.49,21055200
WMT,2020-01-28,35.53,35.81,35.52,35.72,15810600
WMT,2020-01-29,35.7,35.88,35.5,35.5,11326500
WMT,2020-01-30,35.41,35.75,35.33,35.71,13744500
WMT,2020-01-31,35.47,35.61,34.89,35.07,23327400
WMT,2020-02-03,35.2,35.35,34.95,35.0,13041300
WMT,2020-02-04,35.3,35.61,35.19,35.31,15696600
WMT,2020-02-05,35.41,35.82,35.18,35.78,17048700
WMT,2020-02-06,35.79,35.91,35.55,35.63,16058700
WMT,2020-02-07,35.57,35.77,35.46,35.67,11068800
WMT,2020-02-10,35.46,35.83,35.24,35.3,18434700
WMT,2020-02-11,35.36,35.38,35.06,35.35,17390400
WMT,2020-02-12,35.38,35.66,35.35,35.49,14206800
WMT,2020-02-13,35.49,36.0,35.4,35.97,15999600
WMT,2020-02-14,36.04,36.32,35.89,36.11,24391800
WMT,2020-02-18,36.29,36.74,35.95,36.65,34539600
WMT,2020-02-19,36.61,36.74,36.05,36.05,21563400
WMT,2020-02-20,35.9,36.18,35.8,36.05,15068700
WMT,2020-02-21,35.97,36.38,35.93,36.32,18726300
WMT,2020-02-24,35.98,36.29,35.52,35.63,19848000
WMT,2020-02-25,35.64,35.86,34.94,35.04,23292900
WMT,2020-02-26,35.14,35.28,34.81,34.85,20019900
WMT,2020-02-27,34.48,34.94,33.8,33.82,28476900
WMT,2020-02-28,32.99,33.24,31.97,32.98,52369200
WMT,2020-03-02,32.96,35.66,32.87,35.5,51222600
WMT,2020-03-03,35.56,36.0,34.41,34.59,33340800
WMT,2020-03-04,34.99,35.79,34.76,35.77,24625200
WMT,2020-03-05,35.04,35.92,34.89,35.51,25638300
WMT,2020-03-06,34.88,36.12,34.62,35.91,29411100
WMT,2020-03-09,34.87,36.95,34.53,35.89,59243400
WMT,2020-03-10,36.18,36.97,35.2,36.69,37797300
WMT,2020-03-11,36.0,36.46,34.55,35.05,31620000
WMT,2020-03-12,32.48,34.15,31.54,31.87,56323200
WMT,2020-03-13,33.16,35.1,31.82,34.95,42962100
WMT,2020-03-16,32.22,34.1,31.24,32.7,36753900
WMT,2020-03-17,34.54,36.53,33.84,36.53,52806000
WMT,2020-03-18,35.23,39.23,35.07,37.55,77355900
WMT,2020-03-19,38.29,39.07,36.19,36.75,57100500
WMT,2020-03-20,36.77,37.78,34.43,35.07,55423500
WMT,2020-03-23,35.13,36.16,34.52,35.16,39366000
WMT,2020-03-24,35.65,36.11,34.25,35.39,42705000
WMT,2020-03-25,34.76,35.08,33.24,33.66,53287500
WMT,2020-03-26,33.66,34.11,32.88,33.79,58250700
WMT,2020-03-27,33.88,34.55,33.41,33.72,36160500
WMT,2020-03-30,34.42,35.63,34.13,35.44,29212500
WMT,2020-03-31,35.17,35.75,34.66,34.96,26258400
WMT,2020-04-01,34.51,35.55,34.4,35.12,28269600
WMT,2020-04-02,34.82,36.65,34.56,36.51,29515500
WMT,2020-04-03,36.06,36.89,36.01,36.76,28625100
WMT,2020-04-06,36.63,38.89,36.6,38.79,47768700
WMT,2020-04-07,38.15,38.92,37.43,37.53,41369700
WMT,2020-04-08,38.06,38.09,37.1,37.49,27876600
WMT,2020-04-09,36.37,37.8,36.2,37.47,32828700
WMT,2020-04-13,37.31,38.67,37.28,38.55,24194100
WMT,2020-04-14,39.11,39.93,38.78,39.69,34098900
WMT,2020-04-15,39.69,39.96,39.11,39.62,22435200
WMT,2020-04-16,39.69,40.9,39.46,40.71,31882200
WMT,2020-04-17,40.45,40.91,39.91,40.65,30915300
WMT,2020-04-20,40.73,41.04,39.92,39.95,24401700
WMT,2020-04-21,40.02,40.31,39.43,39.75,27900600
WMT,2020-04-22,40.0,40.73,39.66,40.49,19448100
WMT,2020-04-23,39.95,40.33,39.3,39.55,28839900
WMT,2020-04-24,39.8,39.96,39.55,39.83,17343600
WMT,2020-04-27,40.0,40.09,39.43,39.47,17923800
WMT,2020-04-28,39.47,40.07,39.29,39.38,20732100
WMT,2020-04-29,38.63,38.69,37.71,38.03,44612100
WMT,2020-04-30,37.87,37.98,37.24,37.4,40497900
WMT,2020-05-01,37.38,38.06,37.16,37.82,31143900
WMT,2020-05-04,38.1,38.27,37.45,38.06,17807700
WMT,2020-05-05,38.09,38.54,37.92,38.38,19337400
WMT,2020-05-06,38.52,38.61,37.8,37.94,17309100
WMT,2020-05-07,38.15,38.31,37.55,37.67,27345600
WMT,2020-05-08,37.93,38.01,37.58,37.99,20830800
WMT,2020-05-11,38.02,38.42,38.01,38.22,25341900
WMT,2020-05-12,38.47,38.83,38.25,38.25,19100100
WMT,2020-05-13,38.17,39.01,38.04,38.23,29175300
WMT,2020-05-14,38.58,38.67,37.49,38.14,22233000
WMT,2020-05-15,38.16,38.92,38.04,38.92,31770000
WMT,2020-05-18,39.4,39.73,38.97,39.45,38633700
WMT,2020-05-19,40.71,40.79,38.57,38.61,74746200
WMT,2020-05-20,39.09,39.12,38.51,38.77,32246400
WMT,2020-05-21,38.59,38.98,38.4,38.63,22448100
WMT,2020-05-22,38.66,38.74,38.25,38.42,22359600
WMT,2020-05-26,38.42,38.79,38.21,38.28,23730600
WMT,2020-05-27,38.31,38.47,37.4,37.85,31073700
WMT,2020-05-28,38.23,38.61,38.06,38.22,24424800
WMT,2020-05-29,38.39,38.54,37.68,38.34,29311200
WMT,2020-06-01,38.15,38.45,37.81,38.31,20550300
WMT,2020-06-02,38.19,38.37,37.95,38.3,19187700
WMT,2020-06-03,38.29,38.32,37.91,38.16,20262900
WMT,2020-06-04,37.95,38.29,37.65,37.74,24015000
WMT,2020-06-05,37.88,37.91,37.06,37.57,39337200
WMT,2020-06-08,36.95,37.47,36.92,37.47,28344300
WMT,2020-06-09,37.58,37.7,37.26,37.5,20746200
WMT,2020-06-10,37.57,37.86,37.43,37.44,28141500
WMT,2020-06-11,37.39,37.88,36.92,37.11,34162800
WMT,2020-06-12,37.24,37.32,36.18,36.39,32359200
WMT,2020-06-15,36.59,36.68,36.16,36.49,32703300
WMT,2020-06-16,37.02,37.15,36.63,36.98,25167600
WMT,2020-06-17,37.04,37.12,36.59,36.78,20166900
WMT,2020-06-18,36.63,36.79,36.36,36.46,20070000
WMT,2020-06-19,36.74,37.18,36.39,37.04,40078800
WMT,2020-06-22,37.38,37.73,37.21,37.6,27338400
WMT,2020-06-23,37.93,37.96,37.38,37.41,19727700
WMT,2020-06-24,37.31,37.43,36.95,37.18,20614800
WMT,2020-06-25,37.01,37.13,36.58,36.99,20569800
WMT,2020-06-26,36.96,37.34,36.47,36.56,26991600
WMT,2020-06-29,36.62,36.98,36.53,36.79,16511400
WMT,2020-06-30,36.84,37.12,36.63,37.02,20509200
